ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,ApplicationTest,co.mobiwise.maskprogress.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\co\mobiwise\maskprogress\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L148,MainActivity,co.mobiwise.maskprogress.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\co\mobiwise\maskprogress\MainActivity.java,15,1,135,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,12,4,0,0,9,15,0.0,0.0,0,0,0,5,0.0,0,1,2,0,0,2,87,108,6,0,6,0,6,0,4,0,6,48,0,4,0,96,121,6,0,6,0,9,0,7,0,9,48,0,7,0,0,0,31,1,12,1,0,8,2,0,0,0,27,3,0,1,0,1,0,0,1
L165,Music,co.mobiwise.maskprogress.Music,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\co\mobiwise\maskprogress\Music.java,6,1,15,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,1,0.5,0.272727,3,3,1,1,0.272727,3,0,0,0,0,0,8,10,2,0,2,0,1,0,1,0,1,2,0,1,0,8,10,2,0,2,0,1,0,1,0,1,2,0,1,0,0,0,3,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
L270,ExampleUnitTest,co.mobiwise.maskprogress.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\co\mobiwise\maskprogress\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L300,ApplicationTest,co.mobiwise.library.ApplicationTest,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\co\mobiwise\library\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L183,MaskProgressView,co.mobiwise.library.MaskProgressView,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\co\mobiwise\library\MaskProgressView.java,31,1,710,2,0.0380273,1,6,2,0.0294118,0.043956,20,16,1,3,3,61,3,2,3,2,29,0.631579,0.347092,185,173,12,7,0.33935,188,0,0,0,0,0,348,656,32,1,32,1,27,0,18,5,27,200,0,18,5,366,680,36,1,36,1,31,4,22,5,31,204,4,22,5,0,0,56,8,27,3,9,21,1,0,0,3,34,3,0,0,0,5,0,0,12
L710,ExampleUnitTest,co.mobiwise.library.ExampleUnitTest,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\co\mobiwise\library\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L209,MainActivity$1,co.mobiwise.maskprogress.MainActivity$1,L186,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\co\mobiwise\maskprogress\MainActivity.java,45,87,55,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,8,11,0,0,0,0,2,0,2,0,2,0,0,2,0,8,11,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,8,0,2,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0
L223,MainActivity$2,co.mobiwise.maskprogress.MainActivity$2,L186,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\co\mobiwise\maskprogress\MainActivity.java,56,87,61,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
L530,MaskProgressView$1,co.mobiwise.library.MaskProgressView$1,L418,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\co\mobiwise\library\MaskProgressView.java,269,76,293,10,0.0,0,0,0,0.0,0.0,0,0,4,2,2,7,3,0,0,2,6,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,19,25,0,0,0,0,4,0,4,0,4,4,0,4,0,19,25,0,0,0,0,4,0,4,0,4,4,0,4,0,0,0,12,0,4,0,0,1,1,0,0,0,11,3,0,0,0,0,0,0,0
