ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L430,ApplicationTest,com.du.android.recyclerview.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\androidTest\java\com\du\android\recyclerview\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L188,DragDropTouchListener,com.du.android.recyclerview.DragDropTouchListener,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\DragDropTouchListener.java,59,1,350,2,0,0,0,0,0,0,0,0,1,2,2,47,0,3,1,0,19,0.428571,0.213115,52,48,3,4,0.205534,52,0,0,1,1,0,192,282,15,2,15,2,19,0,6,1,19,122,0,6,1,201,292,15,2,15,2,20,0,7,1,20,127,0,7,1,0,0,42,2,7,2,0,6,0,0,0,1,40,0,0,0,0,0,0,0,2
L315,ItemTouchListenerAdapter,com.du.android.recyclerview.ItemTouchListenerAdapter,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\ItemTouchListenerAdapter.java,36,1,100,2,0,0,0,0,0,0,0,0,2,1,1,12,1,1,1,2,9,0.142857,0.2,12,12,1,6,0.1875,12,0,0,0,0,0,48,60,3,1,3,1,7,0,6,0,7,24,0,6,0,52,65,3,1,3,1,9,0,8,0,9,24,0,8,0,0,0,25,0,9,0,0,5,1,0,0,3,24,1,0,0,0,0,0,0,0
L229,"RecyclerViewAdapter<T extends Object, H extends ViewHolder>",com.du.android.recyclerview.RecyclerViewAdapter,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\RecyclerViewAdapter.java,30,1,85,2,0,0,0,0,0,0,0,0,2,1,1,12,0,3,4,0,8,0.111111,0.122449,6,6,1,8,0.122449,6,0,0,1,1,0,43,56,1,2,1,2,8,0,8,1,8,20,0,8,1,43,56,1,2,1,2,8,0,8,1,8,20,0,8,1,0,0,20,1,3,0,0,2,1,0,0,1,19,1,0,0,0,0,0,0,0
L192,SwipeToDismissTouchListener,com.du.android.recyclerview.SwipeToDismissTouchListener,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\SwipeToDismissTouchListener.java,54,1,328,2,0,0,0,0,0,0,0,0,1,2,1,48,3,3,4,3,13,0.4,0.175966,41,34,2,3,0.161538,42,0,0,0,0,0,192,243,18,0,18,0,10,0,4,1,10,114,0,4,1,218,275,25,0,25,0,15,7,9,1,15,120,7,9,1,0,0,59,2,15,2,0,6,0,2,0,6,43,0,0,0,0,3,0,0,14
L152,ApplicationTest,com.du.android.recyclerview.sample.ApplicationTest,L133,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\du\android\recyclerview\sample\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L166,DemoActivity,com.du.android.recyclerview.sample.DemoActivity,L133,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\du\android\recyclerview\sample\DemoActivity.java,41,1,252,2,0,0,0,0,0,0,0,0,5,1,1,12,7,2,0,8,18,0.0,0.0,0,0,0,9,0.0,0,1,1,0,0,1,76,114,4,0,4,0,10,0,8,0,10,36,0,8,0,152,212,24,6,8,2,23,3,18,0,48,66,3,32,2,0,0,78,0,4,0,0,3,4,0,0,0,64,1,0,0,0,0,0,0,10
L340,SwipeToDismissTouchListener$PendingDismissData,com.du.android.recyclerview.SwipeToDismissTouchListener$PendingDismissData,L192,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\SwipeToDismissTouchListener.java,307,5,323,6,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,14,17,3,0,3,0,2,3,2,0,2,4,3,2,0,14,17,3,0,3,0,2,3,2,0,2,4,3,2,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
L195,DemoActivity$DemoModel,com.du.android.recyclerview.sample.DemoActivity$DemoModel,L166,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\du\android\recyclerview\sample\DemoActivity.java,51,5,59,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,9,2,0,2,0,1,2,1,0,1,1,2,1,0,7,9,2,0,2,0,1,2,1,0,1,1,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L212,DemoActivity$DemoViewHolder,com.du.android.recyclerview.sample.DemoActivity$DemoViewHolder,L166,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\du\android\recyclerview\sample\DemoActivity.java,61,5,70,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,10,1,0,1,0,1,1,1,0,1,2,1,1,0,7,10,1,0,1,0,1,1,1,0,1,2,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
L184,DemoActivity$RecyclerViewAdapterImpl,com.du.android.recyclerview.sample.DemoActivity$RecyclerViewAdapterImpl,L166,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\du\android\recyclerview\sample\DemoActivity.java,73,5,127,6,0,0,0,0,0,0,0,0,2,1,1,10,3,3,3,3,10,0.0,0.0,0,0,0,7,0.0,0,1,1,0,0,1,41,55,2,4,1,2,7,0,6,0,15,18,0,14,1,41,55,2,4,1,2,7,0,6,0,15,18,0,14,1,0,0,18,0,2,0,0,2,1,0,0,0,17,0,0,0,0,0,0,0,0
L592,DragDropTouchListener$1,com.du.android.recyclerview.DragDropTouchListener$1,L577,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\DragDropTouchListener.java,239,108,250,14,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,11,12,0,0,0,0,1,0,1,0,1,5,0,1,0,11,12,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L880,SwipeToDismissTouchListener$1,com.du.android.recyclerview.SwipeToDismissTouchListener$1,L824,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\core\src\main\java\com\du\android\recyclerview\SwipeToDismissTouchListener.java,218,54,226,14,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.125,1,0,0,2,0.125,1,0,0,0,0,0,7,9,0,0,0,0,1,0,1,0,1,2,0,1,0,7,9,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L328,DemoActivity$1,com.du.android.recyclerview.sample.DemoActivity$1,L302,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\du\android\recyclerview\sample\DemoActivity.java,148,136,162,10,0,0,0,0,0,0,0,0,2,1,1,3,6,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,13,15,0,0,0,0,2,0,2,0,2,4,0,2,0,13,15,0,0,0,0,2,0,2,0,2,4,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L351,DemoActivity$2,com.du.android.recyclerview.sample.DemoActivity$2,L302,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\du\android\recyclerview\sample\DemoActivity.java,168,79,180,10,0,0,0,0,0,0,0,0,2,1,1,3,4,0,0,2,4,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0,1,12,13,15,2,0,0,2,0,0,0,19,5,0,6,1,12,13,15,2,0,0,2,0,0,0,19,5,0,6,1,0,0,8,0,2,0,0,1,1,0,0,0,7,1,0,0,0,0,0,0,0
