ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L325,DimensionUtils,jahirfiquitiva.libs.fabsmenu.DimensionUtils,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\DimensionUtils.java,23,1,56,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,0,2,2,0,2,0.0,0.636364,21,21,0,1,0.636364,21,0,0,0,0,0,12,34,0,0,0,0,2,0,0,0,2,6,0,0,0,12,34,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
L130,FABsMenu,jahirfiquitiva.libs.fabsmenu.FABsMenu,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\FABsMenu.java,62,1,1179,2,0.0686116,2,12,4,0.0429338,0.0437637,48,40,8,4,3,198,13,9,5,29,118,0.0136986,0.0143043,11,6,1,72,0.0140237,13,0,0,0,0,0,758,939,40,22,40,22,89,6,72,28,89,384,6,72,28,914,1118,48,23,48,23,110,8,86,30,113,452,8,89,30,0,4,317,6,40,0,16,27,5,3,2,19,260,0,3,0,0,1,0,0,31
L757,FABsMenuLayout,jahirfiquitiva.libs.fabsmenu.FABsMenuLayout,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\FABsMenuLayout.java,35,1,167,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,23,1,2,4,1,20,0.0,0.0,0,0,0,19,0.0,0,0,0,0,0,0,100,122,5,3,5,3,19,0,18,4,19,35,0,18,4,111,133,5,3,5,3,20,0,19,4,20,41,0,19,4,0,0,47,1,1,0,0,1,0,0,0,1,46,0,0,0,0,0,0,0,1
L173,FABsMenuListener,jahirfiquitiva.libs.fabsmenu.FABsMenuListener,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\FABsMenuListener.java,19,1,29,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,1,5,6,1,4,0.0,0.0,0,0,0,4,0.0,0,0,0,2,2,0,9,11,0,0,0,0,3,0,3,0,3,1,0,3,0,9,11,0,0,0,0,3,0,3,0,3,1,0,3,0,0,0,10,2,2,0,0,2,1,0,0,0,9,2,0,0,0,0,0,0,0
L957,FABSnackbarBehavior,jahirfiquitiva.libs.fabsmenu.FABSnackbarBehavior,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\FABSnackbarBehavior.java,47,1,110,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,12,0,4,3,0,6,0.2,0.369863,27,27,1,4,0.369863,27,0,0,0,0,0,46,64,1,1,1,1,6,0,4,0,6,19,0,4,0,46,64,1,1,1,1,6,0,4,0,6,19,0,4,0,0,0,12,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0
L649,LabelView,jahirfiquitiva.libs.fabsmenu.LabelView,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\LabelView.java,30,1,110,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,13,0,2,5,0,12,0.0,0.0,0,0,0,13,0.0,0,0,0,0,0,0,68,81,3,2,3,2,12,0,12,7,12,29,0,12,7,68,81,3,2,3,2,12,0,12,7,12,29,0,12,7,0,3,28,0,1,0,0,0,0,0,0,1,27,0,3,0,0,0,0,0,1
L389,MenuFAB,jahirfiquitiva.libs.fabsmenu.MenuFAB,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\MenuFAB.java,28,1,80,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9,2,1,1,4,13,0.0,0.0,0,0,0,10,0.0,0,1,1,0,0,1,44,53,16,9,0,1,9,0,9,5,36,9,0,31,14,44,53,16,9,0,1,9,0,9,5,36,9,0,31,14,0,0,22,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1
L194,TitleFAB,jahirfiquitiva.libs.fabsmenu.TitleFAB,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\TitleFAB.java,39,1,367,2,0.122605,2,12,4,0.139818,0.133333,46,36,1,2,2,57,3,8,15,4,31,0.0,0.0470588,12,4,0,23,0.0425532,12,0,0,1,1,0,243,297,16,8,16,8,27,0,22,9,27,112,0,22,9,270,329,17,8,17,8,32,0,27,9,32,122,0,27,9,0,2,105,1,9,0,22,9,1,0,0,1,73,0,2,0,0,0,0,0,9
L408,TouchDelegateGroup,jahirfiquitiva.libs.fabsmenu.TouchDelegateGroup,L308,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\jahirfiquitiva\libs\fabsmenu\TouchDelegateGroup.java,27,1,89,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,15,0,1,5,0,6,0.0,0.0188679,1,0,0,7,0.0188679,1,0,0,0,0,0,52,63,4,0,4,0,6,0,6,1,6,27,0,6,1,52,63,4,0,4,0,6,0,6,1,6,27,0,6,1,0,0,15,1,3,2,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0
L124,MainActivity,jahirfiquitiva.apps.fabsmenu.demo.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\jahirfiquitiva\apps\fabsmenu\demo\MainActivity.java,36,1,158,2,0.248963,1,2,2,0.195122,0.24,24,24,3,2,1,6,4,5,5,9,13,0.0,0.031746,2,0,0,3,0.0654206,7,0,0,0,0,0,61,77,1,0,1,0,4,0,2,0,4,39,0,2,0,100,123,1,0,1,0,13,0,11,0,16,50,0,14,0,0,0,84,0,3,0,36,0,2,0,0,3,46,0,0,0,0,0,0,0,0
