ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L120,Secured,controllers.Secured,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\controllers\Secured.java,8,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,6,2,2,0,2,4,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,18,22,0,1,0,1,2,0,2,0,2,8,0,2,0,18,22,0,1,0,1,2,0,2,0,2,8,0,2,0,0,0,7,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
L146,SecurityController,controllers.SecurityController,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\controllers\SecurityController.java,13,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,3,4,2,3,6,0.25,0.030303,1,1,1,3,0.025,1,0,0,0,0,0,32,45,3,1,3,1,3,2,3,0,3,16,2,3,0,39,55,5,1,5,1,3,4,3,0,3,16,4,3,0,0,0,20,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,8
L178,TodoController,controllers.TodoController,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\controllers\TodoController.java,12,1,34,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,3,0,0,2,4,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,19,23,1,1,1,1,2,0,2,0,2,8,0,2,0,19,23,1,1,1,1,2,0,2,0,2,8,0,2,0,0,0,7,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
L191,SecurityControllerTest,controllers.SecurityControllerTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\test\controllers\SecurityControllerTest.java,18,1,92,2,0.0,0,0,0,0.0,0.0,0,0,6,0,0,6,3,0,0,3,9,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,55,75,0,0,0,0,6,0,6,0,6,35,0,6,0,55,75,0,0,0,0,6,0,6,0,6,35,0,6,0,0,1,16,2,8,8,0,0,1,0,0,0,15,0,3,0,0,0,0,0,0
L213,TodoControllerTest,controllers.TodoControllerTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\test\controllers\TodoControllerTest.java,15,1,88,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,6,4,0,0,1,7,0.0,0.0178571,1,0,0,7,0.0178571,1,0,0,0,0,0,55,74,0,3,0,3,6,0,6,0,6,32,0,6,0,55,74,0,3,0,3,6,0,6,0,6,32,0,6,0,0,0,16,1,16,17,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0
L185,Todo,models.Todo,L227,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\models\Todo.java,10,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,4,2,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,21,26,3,0,3,0,2,3,2,0,2,4,3,2,0,21,26,3,0,3,0,2,3,2,0,2,4,3,2,0,0,0,11,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,4
L137,User,models.User,L227,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\models\User.java,16,1,125,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,14,1,7,21,0,11,0.0,0.0117647,1,0,0,12,0.0117647,1,0,0,0,0,0,84,110,9,3,9,3,11,5,11,2,11,24,5,11,2,84,110,9,3,9,3,11,5,11,2,11,24,5,11,2,0,4,30,4,8,1,0,8,1,0,0,3,23,0,4,0,0,0,0,0,6
L320,UserTest,models.UserTest,L227,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\test\models\UserTest.java,12,1,111,2,0.196721,1,2,2,0.2,0.213333,20,16,8,1,1,9,1,0,0,6,14,0.0,0.025974,2,0,0,9,0.025974,2,0,0,0,0,0,75,100,0,0,0,0,8,0,8,0,8,47,0,8,0,75,100,0,0,0,0,8,0,8,0,8,47,0,8,0,0,0,35,4,19,19,15,0,1,0,0,1,19,0,3,0,0,0,0,0,0
L197,DemoData,utils.DemoData,L352,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\utils\DemoData.java,10,1,45,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,4,2,3,0,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,26,36,5,0,5,0,1,5,1,0,1,13,5,1,0,26,36,5,0,5,0,1,5,1,0,1,13,5,1,0,0,0,9,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,4
L365,DemoDataModule,utils.DemoDataModule,L352,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\utils\DemoDataModule.java,5,1,9,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
