ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L131,ApplicationTest,com.github.hujiaweibujidao.example.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\androidTest\java\com\github\hujiaweibujidao\example\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L145,MainActivityTest,com.github.hujiaweibujidao.example.MainActivityTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\androidTest\java\com\github\hujiaweibujidao\example\MainActivityTest.java,10,1,24,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,0,0,0,0,3,0.25,0.230769,3,3,1,3,0.230769,3,0,0,0,0,0,10,15,0,0,0,0,3,0,3,1,3,2,0,3,1,10,15,0,0,0,0,3,0,3,1,3,2,0,3,1,0,0,10,3,2,1,0,0,1,0,0,2,9,2,0,0,0,0,0,0,0
L976,ExampleUnitTest,com.github.hujiaweibujidao.example.ExampleUnitTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\test\java\com\github\hujiaweibujidao\example\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L1007,ApplicationTest,com.github.hujiaweibujidao.yava.ApplicationTest,L980,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\github\hujiaweibujidao\yava\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1010,AbstractFunction,com.github.hujiaweibujidao.yava.AbstractFunction,L980,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\github\hujiaweibujidao\yava\AbstractFunction.java,9,1,20,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,2,0,1,3,0.333333,0.230769,3,3,1,2,0.230769,3,1,1,1,1,1,10,12,0,2,0,1,2,0,2,0,3,2,0,3,0,10,12,0,2,0,1,2,0,2,0,3,2,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L1245,Functions,com.github.hujiaweibujidao.yava.Functions,L980,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\github\hujiaweibujidao\yava\Functions.java,7,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,2,0,1,0.5,0.333333,3,3,1,1,0.230769,3,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,10,11,0,2,0,1,2,0,2,0,4,2,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L1259,ExampleUnitTest,com.github.hujiaweibujidao.yava.ExampleUnitTest,L980,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\github\hujiaweibujidao\yava\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L188,Bounce2Activity,com.github.hujiaweibujidao.example.activity.Bounce2Activity,L172,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\github\hujiaweibujidao\example\activity\Bounce2Activity.java,19,1,80,2,0.551331,1,1,1,0.5,0.517857,31,29,1,0,0,3,1,4,3,0,3,1.0,0.0851064,4,4,1,0,0.0666667,4,0,0,0,0,0,43,49,5,0,5,0,3,0,0,0,3,26,0,0,0,56,62,5,0,5,0,6,0,3,0,6,30,0,3,0,0,0,65,0,5,0,42,5,0,0,0,0,23,0,0,0,0,0,0,0,0
L281,BounceActivity,com.github.hujiaweibujidao.example.activity.BounceActivity,L172,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\github\hujiaweibujidao\example\activity\BounceActivity.java,20,1,111,2,0.465979,2,5,2,0.456522,0.464286,42,39,1,0,0,3,0,4,3,0,3,1.0,0.0816327,4,4,1,0,0.0860215,8,0,0,0,0,0,45,51,5,0,5,0,3,0,0,0,3,26,0,0,0,85,92,5,1,5,1,8,0,5,0,8,48,0,5,0,0,0,92,0,13,1,59,11,0,0,0,0,33,0,1,0,0,0,0,0,0
L346,CustomActivity,com.github.hujiaweibujidao.example.activity.CustomActivity,L172,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\github\hujiaweibujidao\example\activity\CustomActivity.java,19,1,90,2,0.491525,1,1,1,0.430556,0.439394,31,29,1,0,0,3,2,4,3,1,4,1.0,0.0625,3,3,1,0,0.0434783,3,0,0,0,0,0,45,51,5,0,5,0,3,0,0,0,3,26,0,0,0,66,72,5,2,5,2,8,0,5,0,8,32,0,5,0,0,0,75,0,5,0,42,5,0,0,0,0,33,0,0,0,0,0,0,0,0
