ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L137,ViewCompatImpl,com.jensdriller.libs.undobar.ViewCompatImpl,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\api15\java\com\jensdriller\libs\undobar\ViewCompatImpl.java,9,1,45,2,0.402174,1,1,1,0.324324,0.387097,12,12,1,0,0,4,2,1,1,1,5,0.0,0.129032,4,0,0,1,0.114286,4,1,1,0,0,1,27,33,2,0,1,0,4,0,0,1,5,7,0,0,1,31,37,2,0,1,0,5,0,1,1,6,8,0,1,1,0,0,37,0,3,0,21,3,0,0,0,0,16,0,0,0,0,0,0,0,0
L207,ViewCompatImpl,com.jensdriller.libs.undobar.ViewCompatImpl,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\api8\java\com.jensdriller.libs.undobar\ViewCompatImpl.java,11,1,46,2,0.406593,1,1,1,0.333333,0.4,12,12,1,0,0,4,2,0,0,1,5,0.0,0.133333,4,0,0,1,0.117647,4,1,1,0,0,1,26,32,2,0,1,0,4,0,0,1,5,7,0,0,1,30,36,2,0,1,0,5,0,1,1,6,8,0,1,1,0,0,37,0,3,0,21,3,0,0,0,0,16,0,0,0,0,0,0,0,0
L225,MaxWidthRelativeLayout,com.jensdriller.libs.undobar.MaxWidthRelativeLayout,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\MaxWidthRelativeLayout.java,10,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,0,1,4,0,6,0.0,0.0,0,0,0,5,0.0,0,0,0,1,1,0,36,43,1,0,1,0,6,0,4,0,6,17,0,4,0,36,43,1,0,1,0,6,0,4,0,6,17,0,4,0,0,0,15,0,2,1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0
L292,UndoBar,com.jensdriller.libs.undobar.UndoBar,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\UndoBar.java,16,1,638,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,45,6,7,5,10,41,0.954545,0.470405,151,148,21,1,0.483696,267,0,0,0,0,0,170,370,17,1,17,1,31,2,21,10,31,72,2,21,10,285,623,32,2,32,2,55,6,43,21,55,116,6,43,21,0,2,48,1,17,2,0,16,0,0,0,0,25,0,2,0,0,0,0,0,23
L345,UndoBarView,com.jensdriller.libs.undobar.UndoBarView,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\UndoBarView.java,11,1,110,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,12,2,1,2,5,16,0.0,0.0,0,0,0,7,0.0,0,1,1,0,0,1,52,67,3,0,2,0,11,0,6,4,17,21,0,10,4,78,100,5,0,4,0,16,1,9,4,22,28,1,13,4,0,0,48,0,7,0,0,7,1,0,0,0,41,0,0,0,0,0,0,0,6
L138,ViewCompat,com.jensdriller.libs.undobar.ViewCompat,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\ViewCompat.java,5,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,4,6,0,4,0.0,0.0,0,0,0,1,0.0,0,0,0,2,2,0,9,16,1,0,1,0,4,0,0,1,4,1,0,0,1,12,19,1,0,1,0,5,0,1,1,5,1,0,1,1,0,0,16,0,4,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0
L357,UndoBar$1,com.jensdriller.libs.undobar.UndoBar$1,L292,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\UndoBar.java,92,59,98,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L368,UndoBar$2,com.jensdriller.libs.undobar.UndoBar$2,L292,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\UndoBar.java,101,80,107,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L602,UndoBar$Builder,com.jensdriller.libs.undobar.UndoBar$Builder,L292,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\UndoBar.java,455,5,637,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,17,3,2,1,10,27,0.944444,0.487805,80,80,17,1,0.487805,80,0,0,0,0,0,84,183,10,0,10,0,17,0,17,11,17,37,0,17,11,84,183,10,0,10,0,17,0,17,11,17,37,0,17,11,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
L731,UndoBarView$SavedState,com.jensdriller.libs.undobar.UndoBarView$SavedState,L345,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jensdriller\libs\undobar\UndoBarView.java,77,2,109,3,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,2,2,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,18,23,2,0,2,0,3,1,1,0,3,5,1,1,0,26,33,2,0,2,0,5,1,3,0,5,7,1,3,0,0,0,21,0,1,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,4
