ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L139,ExampleInstrumentedTest,com.example.administrator.sharebutton.ExampleInstrumentedTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\androidTest\java\com\example\administrator\sharebutton\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L162,MainActivity,com.example.administrator.sharebutton.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\MainActivity.java,7,1,28,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,12,14,2,0,2,0,1,0,0,0,1,4,0,0,0,20,22,2,0,2,0,2,0,1,0,2,8,0,1,0,0,0,10,0,4,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0
L165,ShareButtonView,com.example.administrator.sharebutton.ShareButtonView,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,26,1,420,2,0.0597015,1,2,2,0.0506329,0.0607903,20,20,1,1,1,19,0,16,2,0,18,0.142857,0.0149254,4,4,1,6,0.012012,4,0,0,0,0,0,264,330,51,2,51,2,18,0,6,0,18,158,0,6,0,329,395,51,2,51,2,32,0,20,0,32,181,0,20,0,0,0,142,3,17,2,29,8,0,0,0,8,109,0,0,0,0,2,0,0,4
L511,ExampleUnitTest,com.example.administrator.sharebutton.ExampleUnitTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\test\java\com\example\administrator\sharebutton\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L191,MainActivity$1,com.example.administrator.sharebutton.MainActivity$1,L172,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\MainActivity.java,17,72,26,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
L440,ShareButtonView$1,com.example.administrator.sharebutton.ShareButtonView$1,L437,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,256,82,262,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L451,ShareButtonView$2,com.example.administrator.sharebutton.ShareButtonView$2,L437,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,268,82,274,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L454,ShareButtonView$3,com.example.administrator.sharebutton.ShareButtonView$3,L437,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,279,94,285,10,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L457,ShareButtonView$4,com.example.administrator.sharebutton.ShareButtonView$4,L437,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,290,94,295,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L460,ShareButtonView$5,com.example.administrator.sharebutton.ShareButtonView$5,L437,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,300,96,306,10,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L464,ShareButtonView$6,com.example.administrator.sharebutton.ShareButtonView$6,L437,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ShareButton\app\src\main\java\com\example\administrator\sharebutton\ShareButtonView.java,312,91,317,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
