ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ApplicationTest,com.kayvan.permissionutil.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\kayvan\permissionutil\ApplicationTest.java,9,1,14,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L147,MainActivity,com.kayvan.permissionutil.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\kayvan\permissionutil\MainActivity.java,17,1,110,2,0,0,0,0,0,0,0,0,2,1,1,15,5,5,5,9,19,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,58,73,9,0,9,0,10,2,6,0,10,21,2,6,0,79,94,9,0,9,0,15,2,6,0,15,31,2,6,0,0,0,55,0,1,0,0,1,1,0,0,0,48,0,0,0,0,0,0,0,6
L285,ExampleUnitTest,com.kayvan.permissionutil.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\kayvan\permissionutil\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L224,Func,com.github.kayvannj.permission_utils.Func,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\PermissionUtils\src\main\java\com\github\kayvannj\permission_utils\Func.java,6,1,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,1,1.0,0.5,3,3,1,0,0.5,3,0,0,4,4,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
L250,Func2,com.github.kayvannj.permission_utils.Func2,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\PermissionUtils\src\main\java\com\github\kayvannj\permission_utils\Func2.java,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,1,1,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L326,Func3,com.github.kayvannj.permission_utils.Func3,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\PermissionUtils\src\main\java\com\github\kayvannj\permission_utils\Func3.java,6,1,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1.0,0.5,3,3,1,0,0.5,3,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
L175,PermissionUtil,com.github.kayvannj.permission_utils.PermissionUtil,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\PermissionUtils\src\main\java\com\github\kayvannj\permission_utils\PermissionUtil.java,27,1,244,2,0,0,0,0,0,0,0,0,2,0,0,2,1,1,5,1,3,0.333333,0.652174,15,15,1,2,0.230769,48,0,0,0,0,0,8,12,0,0,0,0,2,0,2,0,2,2,0,2,0,160,218,12,0,12,0,16,0,13,0,16,86,0,13,0,0,0,36,4,4,8,0,0,1,2,0,0,30,0,0,0,0,0,0,0,3
L367,SinglePermission,com.github.kayvannj.permission_utils.SinglePermission,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\PermissionUtils\src\main\java\com\github\kayvannj\permission_utils\SinglePermission.java,6,1,46,2,0,0,0,0,0,0,0,0,1,0,0,9,0,1,3,0,8,0.111111,0.0909091,3,3,1,8,0.0909091,3,0,0,0,0,0,30,41,3,2,3,2,8,0,8,3,8,9,0,8,3,30,41,3,2,3,2,8,0,8,3,8,9,0,8,3,0,0,19,0,1,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0
L457,ExampleUnitTest,com.github.kayvannj.permission_utils.ExampleUnitTest,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\PermissionUtils\src\test\java\com\github\kayvannj\permission_utils\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L229,MainActivity$2,com.kayvan.permissionutil.MainActivity$2,L214,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\kayvan\permissionutil\MainActivity.java,48,119,52,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0,1,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
