ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L144,ApplicationTest,rb.popview.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\rb\popview\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L158,ExampleUnitTest,rb.popview.ExampleUnitTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\rb\popview\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L176,ApplicationTest,rb.popview.ApplicationTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\androidTest\java\rb\popview\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.666667,0.375,3,3,2,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L179,Particle,rb.popview.Particle,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\main\java\rb\popview\Particle.java,11,1,37,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,0,1,1,0,2,0.333333,0.107143,3,3,1,2,0.107143,3,0,0,0,0,0,25,27,9,0,9,0,2,0,2,0,2,10,0,2,0,25,27,9,0,9,0,2,0,2,0,2,10,0,2,0,0,0,10,0,11,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,3
L233,PopAnimator,rb.popview.PopAnimator,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\main\java\rb\popview\PopAnimator.java,19,1,182,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,20,1,2,4,2,9,0.166667,0.0261438,4,3,1,5,0.0261438,4,0,0,0,0,0,149,164,19,1,19,1,7,0,5,0,7,101,0,5,0,149,164,19,1,19,1,7,0,5,0,7,101,0,5,0,0,0,22,2,16,4,0,6,0,2,0,5,17,0,0,0,0,3,0,0,3
L378,PopField,rb.popview.PopField,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\main\java\rb\popview\PopField.java,22,1,156,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,14,2,7,4,5,17,0.111111,0.0294118,3,3,1,8,0.0243902,3,0,0,0,0,0,99,114,2,0,2,0,12,0,8,0,12,58,0,8,0,120,135,2,0,2,0,15,0,11,0,15,70,0,11,0,0,0,44,0,2,0,0,0,1,0,0,2,42,0,0,0,0,0,0,0,1
L549,PopUtils,rb.popview.PopUtils,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\main\java\rb\popview\PopUtils.java,11,1,66,2,0.447368,1,4,2,0.375,0.42,21,21,2,2,2,9,0,1,4,0,4,0.25,0.0566038,3,3,1,3,0.0566038,3,0,0,0,0,0,50,56,2,0,2,0,4,0,3,0,4,29,0,3,0,50,56,2,0,2,0,4,0,3,0,4,29,0,3,0,0,0,24,2,3,1,12,2,1,0,0,1,11,0,1,0,0,0,0,0,0
L608,ExampleUnitTest,rb.popview.ExampleUnitTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\test\java\rb\popview\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.333333,3,3,2,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L618,MainActivity,rb.popviewsample.MainActivity,L612,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\rb\popviewsample\MainActivity.java,13,1,65,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,4,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,21,26,1,0,1,0,1,0,0,0,1,11,0,0,0,48,53,1,0,1,0,5,0,4,0,5,27,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
L444,PopField$1,rb.popview.PopField$1,L431,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popview\src\main\java\rb\popview\PopField.java,57,49,62,4,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
