ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L218,ApplicationTest,com.kymjs.gallery.ApplicationTest,L200,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\androidTest\java\com\kymjs\gallery\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L221,GifRequest,com.kymjs.gallery.GifRequest,L200,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\main\java\com\kymjs\gallery\GifRequest.java,36,1,91,2,0,0,0,0,0,0,0,0,2,1,1,10,0,1,1,0,7,0.166667,0.115385,6,6,1,5,0.115385,6,0,0,0,0,0,46,56,2,3,2,3,7,0,5,0,7,15,0,5,0,46,56,2,3,2,3,7,0,5,0,7,15,0,5,0,0,0,18,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0
L679,HackyViewPager,com.kymjs.gallery.HackyViewPager,L200,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\main\java\com\kymjs\gallery\HackyViewPager.java,44,1,88,2,0,0,0,0,0,0,0,0,1,2,2,10,0,1,0,0,7,0.125,0.357143,20,20,1,7,0.357143,20,0,0,0,0,0,36,45,1,0,1,0,7,0,7,1,7,14,0,7,1,36,45,1,0,1,0,7,0,7,1,7,14,0,7,1,0,0,15,1,1,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0
L713,KJGalleryActivity,com.kymjs.gallery.KJGalleryActivity,L200,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\main\java\com\kymjs\gallery\KJGalleryActivity.java,30,1,96,2,0,0,0,0,0,0,0,0,1,1,1,7,2,1,0,1,6,0.166667,0.0625,3,3,1,5,0.0508475,3,0,0,0,0,0,45,54,5,0,5,0,5,2,5,1,5,21,2,5,1,56,67,5,0,5,0,8,2,8,1,8,22,2,8,1,0,0,27,0,2,0,0,0,1,0,0,0,22,2,0,0,0,0,0,0,4
L751,SamplePagerAdapter,com.kymjs.gallery.SamplePagerAdapter,L200,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\main\java\com\kymjs\gallery\SamplePagerAdapter.java,27,1,241,2,0,0,0,0,0,0,0,0,4,1,1,32,1,4,2,1,12,0.285714,0.2,33,28,2,5,0.176166,34,0,0,0,0,0,132,185,6,3,6,3,11,3,6,0,11,70,3,6,0,159,215,6,3,6,3,16,3,11,0,16,80,3,11,0,0,0,48,1,6,2,0,1,2,1,0,3,40,0,0,0,0,1,0,0,5
L138,ApplicationTest,com.kymjs.kjgallery.app.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\app\src\androidTest\java\com\kymjs\kjgallery\app\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L152,MainActivity,com.kymjs.kjgallery.app.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\app\src\main\java\com\kymjs\kjgallery\app\MainActivity.java,24,1,56,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,2,0.0,0.153846,4,0,0,1,0.133333,4,0,0,0,0,0,22,29,1,0,1,0,2,0,0,0,2,4,0,0,0,26,33,1,0,1,0,3,0,1,0,3,5,0,1,0,0,0,11,0,1,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0
L193,ExampleUnitTest,com.kymjs.kjgallery.app.ExampleUnitTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\app\src\test\java\com\kymjs\kjgallery\app\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L267,GifDecoder,com.kymjs.gallery.gifview.GifDecoder,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\main\java\com\kymjs\gallery\gifview\GifDecoder.java,49,1,819,2,0,0,0,0,0,0,0,0,1,5,5,123,1,1,4,0,27,0.833333,0.30984,233,142,10,2,0.313878,242,0,0,0,0,0,519,754,38,8,38,8,27,3,11,1,27,359,3,11,1,529,771,49,8,49,8,27,14,11,1,27,359,14,11,1,0,2,47,6,9,7,0,2,0,8,0,3,19,0,2,0,0,3,0,0,20
L567,GifImageView,com.kymjs.gallery.gifview.GifImageView,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\KJGallery\gallery\src\main\java\com\kymjs\gallery\gifview\GifImageView.java,27,1,194,2,0,0,0,0,0,0,0,0,1,4,4,31,2,2,0,8,23,0.0666667,0.0806452,10,8,1,14,0.0699301,10,0,0,0,0,0,114,148,11,4,11,4,15,0,14,3,15,53,0,14,3,133,168,11,4,11,4,18,0,17,3,18,61,0,17,3,0,1,51,1,1,0,0,0,0,3,0,1,46,0,1,0,0,1,0,0,2
