ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L136,ApplicationTest,com.jaeger.library.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\jaeger\library\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L160,SelectableTextHelper,com.jaeger.library.SelectableTextHelper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jaeger\library\SelectableTextHelper.java,29,1,503,2,0.0424107,1,8,2,0.0505263,0.0583942,24,24,1,2,2,30,6,13,9,9,20,0.25,0.0402685,6,6,1,3,0.0214286,9,0,0,0,0,0,143,174,21,1,21,1,11,0,3,1,11,77,0,3,1,411,475,41,3,41,3,40,0,29,4,40,214,0,29,4,0,0,153,1,31,2,25,11,1,0,0,18,119,1,0,0,0,0,0,0,8
L180,SelectionInfo,com.jaeger.library.SelectionInfo,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jaeger\library\SelectionInfo.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,1.0,0.545455,6,6,1,0,0.545455,6,0,0,0,0,0,5,5,3,0,3,0,0,3,0,0,0,0,3,0,0,5,5,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
L616,TextLayoutUtil,com.jaeger.library.TextLayoutUtil,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jaeger\library\TextLayoutUtil.java,13,1,113,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,18,0,3,4,0,5,0.2,0.351064,33,6,1,4,0.351064,33,0,0,0,0,0,61,101,0,3,0,3,5,0,4,0,5,38,0,4,0,61,101,0,3,0,3,5,0,4,0,5,38,0,4,0,0,0,11,0,3,1,0,1,1,1,0,1,9,0,0,0,0,0,0,0,0
L649,ExampleUnitTest,com.jaeger.library.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\jaeger\library\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L677,ApplicationTest,com.jaeger.selectabletexthelper.ApplicationTest,L656,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\com\jaeger\selectabletexthelper\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L680,MainActivity,com.jaeger.selectabletexthelper.MainActivity,L656,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\jaeger\selectabletexthelper\MainActivity.java,10,1,44,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,0,0,3,5,0.0,0.04,1,0,0,1,0.0357143,1,0,0,0,0,0,24,31,4,0,4,0,2,0,0,0,2,8,0,0,0,27,35,4,0,4,0,3,0,1,0,3,8,0,1,0,0,0,12,6,1,2,0,0,0,0,0,4,12,1,0,0,0,0,0,0,0
L708,ExampleUnitTest,com.jaeger.selectabletexthelper.ExampleUnitTest,L656,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\test\java\com\jaeger\selectabletexthelper\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L363,SelectableTextHelper$7,com.jaeger.library.SelectableTextHelper$7,L160,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jaeger\library\SelectableTextHelper.java,147,69,161,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,1,0,1,8,0,1,0,15,15,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L176,SelectableTextHelper$OperateWindow,com.jaeger.library.SelectableTextHelper$OperateWindow,L160,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\jaeger\library\SelectableTextHelper.java,253,5,320,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,3,4,7,1,5,0.2,0.0681818,3,3,1,4,0.046875,3,0,0,0,0,0,41,48,4,0,4,0,4,0,4,0,4,23,0,4,0,61,68,4,0,4,0,6,0,6,0,6,35,0,6,0,0,0,21,0,6,0,0,2,0,0,0,4,21,0,0,0,0,0,0,0,0
