ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L141,ExampleInstrumentedTest,com.etiennelawlor.discreteslider.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\etiennelawlor\discreteslider\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L574,ExampleUnitTest,com.etiennelawlor.discreteslider.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\etiennelawlor\discreteslider\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L578,ExampleInstrumentedTest,com.etiennelawlor.discreteslider.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\com\etiennelawlor\discreteslider\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.428571,6,5,2,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L722,ExampleUnitTest,com.etiennelawlor.discreteslider.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\test\java\com\etiennelawlor\discreteslider\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.454545,5,5,2,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L590,MainActivity,com.etiennelawlor.discreteslider.activities.MainActivity,L582,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\etiennelawlor\discreteslider\activities\MainActivity.java,14,1,37,2,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1,2,1.0,0.2,5,4,1,0,0.2,5,0,0,0,0,0,20,24,0,0,0,0,1,0,0,0,1,7,0,0,0,20,24,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
L609,MainFragment,com.etiennelawlor.discreteslider.fragments.MainFragment,L606,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\etiennelawlor\discreteslider\fragments\MainFragment.java,28,1,154,2,0,0,0,0,0,0,0,0,4,2,2,9,3,3,2,5,12,0.571429,0.263736,24,12,4,3,0.224299,24,0,0,0,0,0,67,110,2,0,2,0,7,0,6,0,7,36,0,6,0,83,127,2,0,2,0,9,0,8,0,9,46,0,8,0,0,0,21,0,8,0,0,7,1,0,0,0,20,1,0,0,0,0,0,0,0
L176,DiscreteSeekBar,com.etiennelawlor.discreteslider.library.ui.DiscreteSeekBar,L165,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\etiennelawlor\discreteslider\library\ui\DiscreteSeekBar.java,15,1,116,2,0,0,0,0,0,0,0,0,1,0,0,8,1,3,3,0,7,0.285714,0.28,14,13,2,5,0.197802,18,0,0,0,0,0,36,61,7,0,7,0,7,0,6,3,7,12,0,6,3,73,102,7,0,7,0,11,0,10,3,11,32,0,10,3,0,0,25,1,5,0,0,1,1,0,0,1,23,0,0,0,0,4,0,0,1
L284,DiscreteSlider,com.etiennelawlor.discreteslider.library.ui.DiscreteSlider,L165,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\etiennelawlor\discreteslider\library\ui\DiscreteSlider.java,18,1,187,2,0,0,0,0,0,0,0,0,1,2,1,21,5,3,3,10,27,0.117647,0.0820896,11,10,2,15,0.0890411,13,0,0,0,0,0,123,160,14,3,14,3,17,0,16,10,17,64,0,16,10,133,170,14,3,14,3,19,0,18,10,19,67,0,18,10,0,2,46,6,3,0,0,0,0,0,0,9,41,0,2,0,0,0,0,0,5
L291,DiscreteSliderBackdrop,com.etiennelawlor.discreteslider.library.ui.DiscreteSliderBackdrop,L165,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\etiennelawlor\discreteslider\library\ui\DiscreteSliderBackdrop.java,18,1,147,2,0,0,0,0,0,0,0,0,4,1,1,20,1,1,6,1,16,0.2,0.1,11,10,2,8,0.1,11,0,0,0,0,0,99,130,12,0,12,0,15,0,9,8,15,35,0,9,8,99,130,12,0,12,0,15,0,9,8,15,35,0,9,8,0,0,31,0,14,0,0,0,1,0,0,7,27,1,0,0,0,6,0,0,3
L547,DisplayUtility,com.etiennelawlor.discreteslider.library.utilities.DisplayUtility,L544,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\etiennelawlor\discreteslider\library\utilities\DisplayUtility.java,11,1,24,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,8,0,1,1.0,0.357143,5,4,2,0,0.357143,5,0,0,0,0,0,9,14,0,0,0,0,1,0,1,0,1,5,0,1,0,9,14,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
