ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L137,ExampleInstrumentedTest,com.huanju.chajianhuatest.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\huanju\chajianhuatest\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L374,MainActivity,com.huanju.chajianhuatest.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\huanju\chajianhuatest\MainActivity.java,38,1,125,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,4,0,0,0,0,3,1.0,0.28,14,5,2,0,0.2125,17,0,0,0,0,0,36,58,0,0,0,0,3,0,1,0,3,21,0,1,0,63,88,0,0,0,0,6,0,4,0,6,35,0,4,0,0,0,21,4,0,2,0,0,1,0,0,2,20,0,0,0,0,0,0,0,0
L462,MyApplication,com.huanju.chajianhuatest.MyApplication,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\huanju\chajianhuatest\MyApplication.java,20,1,99,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,0,2,2,0,5,0.2,0.318841,22,4,1,4,0.318841,22,0,0,0,0,0,47,80,5,4,5,4,5,1,4,0,5,24,1,4,0,47,80,5,4,5,4,5,1,4,0,5,24,1,4,0,0,0,13,3,0,2,0,0,0,0,0,1,9,0,0,0,0,0,0,0,4
L516,MyHookHelper,com.huanju.chajianhuatest.MyHookHelper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\huanju\chajianhuatest\MyHookHelper.java,21,1,170,2,0.158385,1,1,1,0.0733333,0.104478,11,7,2,2,2,11,2,1,1,2,9,1.0,0.528169,75,55,3,0,0.528169,75,0,0,0,0,0,67,150,0,3,0,3,7,0,2,1,7,39,0,2,1,67,150,0,3,0,3,7,0,2,1,7,39,0,2,1,0,0,9,4,0,2,8,0,1,0,0,2,0,0,0,0,0,0,0,0,0
L564,MyInstrumentation,com.huanju.chajianhuatest.MyInstrumentation,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\huanju\chajianhuatest\MyInstrumentation.java,19,1,80,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,1,1,0,2,0.333333,0.113208,6,3,1,2,0.113208,6,0,0,0,0,0,47,62,2,0,2,0,2,0,2,0,2,36,0,2,0,47,62,2,0,2,0,2,0,2,0,2,36,0,2,0,0,0,7,5,0,2,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0
L369,ZhanKengActivitiy,com.huanju.chajianhuatest.ZhanKengActivitiy,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\huanju\chajianhuatest\ZhanKengActivitiy.java,10,1,16,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,1.0,0.333333,3,3,1,0,0.333333,3,0,0,0,0,0,6,7,0,0,0,0,1,0,0,0,1,1,0,0,0,6,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
L604,ExampleUnitTest,com.huanju.chajianhuatest.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\huanju\chajianhuatest\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L631,ExampleInstrumentedTest,com.huanju.chajiandemo.ExampleInstrumentedTest,L608,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chajiandemo\src\androidTest\java\com\huanju\chajiandemo\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L635,MainActivity,com.huanju.chajiandemo.MainActivity,L608,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chajiandemo\src\main\java\com\huanju\chajiandemo\MainActivity.java,8,1,22,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,9,11,0,0,0,0,1,0,0,0,1,3,0,0,0,13,15,0,0,0,0,2,0,1,0,2,4,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L644,TestActivity,com.huanju.chajiandemo.TestActivity,L608,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\chajiandemo\src\main\java\com\huanju\chajiandemo\TestActivity.java,19,1,53,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,0,1,0,0,3,1.0,0.1,3,3,1,0,0.0882353,3,0,0,0,0,0,27,31,0,0,0,0,3,0,0,0,3,15,0,0,0,31,35,0,0,0,0,4,0,1,0,4,16,0,1,0,0,0,14,1,0,0,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0
