ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L123,DesignSpec,org.lucasr.dspec.DesignSpec,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\dspec\DesignSpec.java,120,1,645,2,0.171956,3,30,9,0.18251,0.213904,96,80,1,3,3,71,4,5,6,3,26,0.714286,0.289474,132,132,15,6,0.266667,136,0,0,0,0,0,324,468,31,3,31,3,23,0,20,9,23,181,0,20,9,374,526,42,3,42,3,27,11,24,9,27,198,11,24,9,0,4,113,2,13,2,52,13,0,2,1,0,35,0,4,0,0,0,0,0,23
L439,DesignSpecFrameLayout,org.lucasr.dspec.DesignSpecFrameLayout,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\dspec\DesignSpecFrameLayout.java,36,1,81,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,1,4,4,2,8,0.166667,0.217391,10,10,1,5,0.217391,10,0,0,0,0,0,36,46,1,1,1,1,6,0,5,0,6,15,0,5,0,36,46,1,1,1,1,6,0,5,0,6,15,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L489,RawResource,org.lucasr.dspec.RawResource,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\dspec\RawResource.java,31,1,60,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,5,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,25,30,0,1,0,1,1,0,1,0,1,15,0,1,0,25,30,0,1,0,1,1,0,1,0,1,15,0,1,0,0,0,5,0,2,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0
L182,DesignSpec$Keyline,org.lucasr.dspec.DesignSpec$Keyline,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\dspec\DesignSpec.java,162,5,184,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,1,2,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,19,23,2,0,2,0,2,2,2,0,2,8,2,2,0,19,23,2,0,2,0,2,2,2,0,2,8,2,2,0,0,1,11,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4
L202,DesignSpec$Spacing,org.lucasr.dspec.DesignSpec$Spacing,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\dspec\DesignSpec.java,186,5,212,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,2,1,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,23,27,3,0,3,0,2,3,2,0,2,9,3,2,0,23,27,3,0,3,0,2,3,2,0,2,9,3,2,0,0,1,11,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4
L531,MainActivity,org.lucasr.dspec.sample.MainActivity,L520,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\org\lucasr\dspec\sample\MainActivity.java,30,1,87,2,0.767442,1,3,3,0.62069,0.705882,36,36,2,0,0,2,3,3,0,5,7,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,30,37,2,0,2,0,2,0,1,0,2,8,0,1,0,51,58,2,0,2,0,5,0,4,0,5,20,0,4,0,0,0,65,0,2,0,42,2,1,0,0,0,22,0,0,0,0,0,0,0,0
L557,SimpleAdapter,org.lucasr.dspec.sample.SimpleAdapter,L520,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\org\lucasr\dspec\sample\SimpleAdapter.java,32,1,136,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,6,2,1,1,1,6,0.0,0.0136986,1,1,0,6,0.010989,1,0,0,0,0,0,72,85,3,4,3,4,5,0,5,0,5,14,0,5,0,90,105,9,4,9,4,7,0,5,0,7,18,0,5,0,0,0,24,0,10,1,0,9,0,0,0,0,23,0,0,0,0,0,0,0,1
L606,SimpleAdapter$Item,org.lucasr.dspec.sample.SimpleAdapter$Item,L557,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\org\lucasr\dspec\sample\SimpleAdapter.java,71,5,81,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,10,11,3,0,3,0,1,0,0,0,1,3,0,0,0,10,11,3,0,3,0,1,0,0,0,1,3,0,0,0,0,0,5,0,4,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0
L620,SimpleAdapter$Holder,org.lucasr.dspec.sample.SimpleAdapter$Holder,L557,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\org\lucasr\dspec\sample\SimpleAdapter.java,83,5,91,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,8,9,3,0,3,0,1,0,0,0,1,1,0,0,0,8,9,3,0,3,0,1,0,0,0,1,1,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
L582,MainActivity$1,org.lucasr.dspec.sample.MainActivity$1,L562,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\org\lucasr\dspec\sample\MainActivity.java,49,84,57,18,1.0,1,1,1,1.0,1.0,9,9,1,0,0,1,3,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
