ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L128,DexProxyBuilder,org.lucasr.probe.DexProxyBuilder,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\DexProxyBuilder.java,51,1,485,2,0.287785,2,4,4,0.23908,0.250825,104,76,1,1,1,17,3,1,1,2,15,1.0,0.166667,56,43,1,0,0.155989,56,0,0,0,0,0,280,408,7,1,7,1,13,0,0,0,13,189,0,0,0,303,435,17,3,17,3,16,8,0,0,16,193,8,0,0,0,0,74,0,3,1,29,2,0,0,0,0,35,0,0,0,0,0,0,0,10
L182,Interceptor,org.lucasr.probe.Interceptor,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\Interceptor.java,46,1,153,2,0.0,0,0,0,0.0,0.0,0,0,6,0,0,13,1,6,5,7,20,1.0,0.596639,71,71,7,0,0.596639,71,0,0,2,2,0,48,108,0,0,0,0,13,0,6,1,13,20,0,6,1,48,108,0,0,0,0,13,0,6,1,13,20,0,6,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
L720,Probe,org.lucasr.probe.Probe,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\Probe.java,68,1,107,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,3,2,3,1,6,1.0,0.64,48,48,3,0,0.64,48,0,0,0,0,0,27,40,2,2,2,2,5,0,2,0,5,11,0,2,0,27,40,2,2,2,2,5,0,2,0,5,11,0,2,0,0,0,6,0,3,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0
L754,ProbeViewFactory,org.lucasr.probe.ProbeViewFactory,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\ProbeViewFactory.java,38,1,100,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,14,4,1,1,8,12,0.333333,0.193548,12,9,1,2,0.193548,12,0,0,0,0,0,50,63,5,0,5,0,4,0,2,0,4,19,0,2,0,50,63,5,0,5,0,4,0,2,0,4,19,0,2,0,0,0,11,1,1,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
L825,ViewClassUtil,org.lucasr.probe.ViewClassUtil,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\ViewClassUtil.java,28,1,79,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,0,2,2,0,4,1.0,0.326923,17,17,1,0,0.326923,17,0,0,0,0,0,35,52,1,0,1,0,4,0,0,0,4,11,0,0,0,35,52,1,0,1,0,4,0,0,0,4,11,0,0,0,0,0,4,0,6,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0
L876,ViewProxyBuilder<T extends View>,org.lucasr.probe.ViewProxyBuilder,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\ViewProxyBuilder.java,46,1,170,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,21,4,2,1,3,11,1.0,0.208696,24,16,1,0,0.208696,24,0,0,0,0,0,91,125,7,1,7,1,8,0,0,0,8,45,0,0,0,91,125,7,1,7,1,8,0,0,0,8,45,0,0,0,0,0,19,1,6,1,0,6,0,0,0,0,18,0,0,0,0,0,0,0,1
L428,Filter$Compose,org.lucasr.probe.Filter$Compose,L415,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\Filter.java,37,5,59,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,5,1,0,0,1,4,0.25,0.136364,3,3,1,3,0.136364,3,1,1,0,0,1,19,23,1,0,1,0,3,0,3,0,3,8,0,3,0,19,23,1,0,1,0,3,0,3,0,3,8,0,3,0,0,0,9,0,4,2,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
L450,Filter$ViewId,org.lucasr.probe.Filter$ViewId,L415,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\Filter.java,64,5,93,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,5,1,0,0,0,3,0.25,0.111111,3,3,1,3,0.111111,3,1,1,0,0,1,24,30,2,0,2,0,3,0,3,0,3,10,0,3,0,24,30,2,0,2,0,3,0,3,0,3,10,0,3,0,0,0,9,0,4,2,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
L478,Filter$ParentId,org.lucasr.probe.Filter$ParentId,L415,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\Filter.java,98,5,126,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,6,1,0,0,0,3,0.25,0.115385,3,3,1,3,0.115385,3,1,1,0,0,1,23,29,1,0,1,0,3,0,3,0,3,11,0,3,0,23,29,1,0,1,0,3,0,3,0,3,11,0,3,0,0,0,9,0,4,2,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
L494,Filter$ClassName,org.lucasr.probe.Filter$ClassName,L415,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\org\lucasr\probe\Filter.java,131,5,158,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,6,1,0,0,0,3,0.25,0.115385,3,3,1,3,0.115385,3,1,1,0,0,1,23,28,1,0,1,0,3,0,3,0,3,11,0,3,0,23,28,1,0,1,0,3,0,3,0,3,11,0,3,0,0,0,9,0,5,3,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0
