ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,com.lucasurbas.listitemview.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\androidTest\java\com\lucasurbas\listitemview\ExampleInstrumentedTest.java,17,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,11,0,0,0,0,1,0,1,0,1,2,0,1,0,8,11,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L156,ListItemView,com.lucasurbas.listitemview.ListItemView,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\ListItemView.java,46,1,1012,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,113,6,4,13,17,68,0.897436,0.260083,187,183,35,4,0.241975,196,0,0,0,0,0,532,855,48,9,48,9,51,5,38,20,51,288,5,38,20,614,967,65,9,65,9,59,6,44,20,59,327,6,44,20,0,1,89,1,50,1,0,49,2,0,1,0,62,1,1,0,0,0,0,0,24
L1128,ExampleUnitTest,com.lucasurbas.listitemview.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\test\java\com\lucasurbas\listitemview\ExampleUnitTest.java,12,1,18,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L1157,ExampleInstrumentedTest,com.lucasurbas.listitemviewsample.ExampleInstrumentedTest,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\com\lucasurbas\listitemviewsample\ExampleInstrumentedTest.java,17,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,11,0,0,0,0,1,0,1,0,1,2,0,1,0,8,11,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L1161,AnimationHelper,com.lucasurbas.listitemviewsample.AnimationHelper,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\lucasurbas\listitemviewsample\AnimationHelper.java,21,1,159,2,0.573099,2,7,5,0.510791,0.546154,71,71,1,1,1,19,1,2,3,7,14,0.125,0.0225564,3,3,1,7,0.0225564,3,0,0,0,0,0,130,139,1,0,1,0,7,0,7,1,7,46,0,7,1,130,139,1,0,1,0,7,0,7,1,7,46,0,7,1,0,0,43,0,0,0,26,0,0,0,0,0,17,0,0,0,0,0,0,0,0
L1192,CheckableAttrsActivity,com.lucasurbas.listitemviewsample.CheckableAttrsActivity,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\lucasurbas\listitemviewsample\CheckableAttrsActivity.java,24,1,284,2,0.507719,11,20,17,0.59387,0.493421,155,75,5,1,1,14,2,0,0,12,19,0.333333,0.0379747,6,5,1,2,0.0379747,6,0,0,0,0,0,152,261,17,0,17,0,7,0,2,0,7,59,0,2,0,152,261,17,0,17,0,7,0,2,0,7,59,0,2,0,0,0,39,1,15,1,19,13,1,0,0,2,15,0,0,0,0,0,0,0,4
L1255,CircleTransform,com.lucasurbas.listitemviewsample.CircleTransform,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\lucasurbas\listitemviewsample\CircleTransform.java,14,1,49,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,0,0,0,0,2,0.333333,0.15625,5,5,1,2,0.15625,5,0,0,0,0,0,27,36,0,0,0,0,2,0,2,0,2,17,0,2,0,27,36,0,0,0,0,2,0,2,0,2,17,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L1282,GeneralAttrsActivity,com.lucasurbas.listitemviewsample.GeneralAttrsActivity,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\lucasurbas\listitemviewsample\GeneralAttrsActivity.java,25,1,279,2,0.2528,10,13,13,0.372549,0.225806,95,35,3,1,1,17,2,0,0,11,17,0.333333,0.0372671,6,5,1,2,0.0372671,6,0,0,0,0,0,155,255,21,0,21,0,6,0,2,0,6,67,0,2,0,155,255,21,0,21,0,6,0,2,0,6,67,0,2,0,0,0,30,1,17,3,12,15,1,0,0,0,13,0,0,0,0,0,0,0,4
L1341,MainActivity,com.lucasurbas.listitemviewsample.MainActivity,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\lucasurbas\listitemviewsample\MainActivity.java,15,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,1.0,0.157895,3,3,1,0,0.157895,3,0,0,0,0,0,16,25,2,0,2,0,1,0,0,0,1,5,0,0,0,16,25,2,0,2,0,1,0,0,0,1,5,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
L1350,ExampleUnitTest,com.lucasurbas.listitemviewsample.ExampleUnitTest,L1132,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\test\java\com\lucasurbas\listitemviewsample\ExampleUnitTest.java,12,1,18,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L487,ListItemView$SavedState,com.lucasurbas.listitemview.ListItemView$SavedState,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\ListItemView.java,923,5,1011,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,0,2,2,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,62,82,17,0,17,0,3,1,1,0,3,35,1,1,0,68,89,17,0,17,0,5,1,3,0,5,37,1,3,0,0,0,24,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,7
L1047,ViewUtils,com.lucasurbas.listitemview.util.ViewUtils,L759,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\util\ViewUtils.java,26,1,112,2,0.0,0,0,0,0.0,0.0,0,0,4,1,1,13,0,4,13,0,9,0.444444,0.208955,14,14,4,5,0.179487,14,0,0,0,0,0,53,74,0,1,0,1,9,0,8,2,9,24,0,8,2,64,87,0,1,0,1,10,0,9,2,10,30,0,9,2,0,0,24,0,1,0,0,0,1,0,0,0,23,1,0,0,0,0,0,0,0
L655,ListItemView$1,com.lucasurbas.listitemview.ListItemView$1,L648,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\ListItemView.java,728,66,740,14,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,10,13,0,0,0,0,2,0,2,0,2,2,0,2,0,10,13,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0
L751,ListItemView$SavedState$1,com.lucasurbas.listitemview.ListItemView$SavedState$1,L487,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\ListItemView.java,1002,85,1010,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L217,CircularIconView,com.lucasurbas.listitemview.util.view.CircularIconView,L762,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\util\view\CircularIconView.java,24,1,138,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,21,1,1,3,1,12,0.142857,0.0515464,5,5,1,6,0.0515464,5,0,0,0,0,0,92,115,7,1,7,1,11,0,6,3,11,49,0,6,3,92,115,7,1,7,1,11,0,6,3,11,49,0,6,3,0,0,26,0,1,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,1
L222,MenuView,com.lucasurbas.listitemview.util.view.MenuView,L762,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\util\view\MenuView.java,31,1,328,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,42,2,3,10,4,22,0.538462,0.232456,53,49,7,6,0.21371,53,0,0,0,0,0,175,277,12,3,12,3,18,0,12,5,18,101,0,12,5,195,298,12,3,12,3,23,0,17,5,23,105,0,17,5,0,0,59,2,3,2,0,0,0,3,0,2,54,0,0,0,0,1,0,0,2
L1081,ViewUtils$1,com.lucasurbas.listitemview.util.ViewUtils$1,L1059,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\listitemview\src\main\java\com\lucasurbas\listitemview\util\ViewUtils.java,52,90,66,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,13,15,0,0,0,0,1,0,1,0,1,6,0,1,0,13,15,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
