ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ApplicationTest,com.lypeer.fcpermissions.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\lypeer\fcpermissions\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L149,MainActivity,com.lypeer.fcpermissions.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainActivity.java,15,1,51,2,0.280488,1,1,1,0.297297,0.34375,11,11,5,0,0,5,2,1,1,3,8,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,28,33,0,0,0,0,5,0,3,0,5,9,0,3,0,32,37,0,0,0,0,6,0,4,0,6,10,0,4,0,0,0,40,0,0,0,21,0,1,0,0,0,18,0,0,0,0,0,0,0,0
L223,MainBaseActivity,com.lypeer.fcpermissions.MainBaseActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainBaseActivity.java,16,1,51,2,0.370968,1,1,1,0.305556,0.366667,11,11,4,0,0,5,1,1,1,1,6,0.333333,0.103448,3,3,1,2,0.0909091,3,2,2,0,0,1,26,32,2,2,1,1,5,0,2,0,10,7,0,5,0,30,36,2,2,1,1,6,0,3,0,11,8,0,6,0,0,0,40,0,0,0,21,0,1,0,0,0,18,0,0,0,0,0,0,0,0
L253,MainBuilderActivity,com.lypeer.fcpermissions.MainBuilderActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainBuilderActivity.java,19,1,65,2,0.254144,1,1,1,0.234043,0.261905,11,11,2,0,0,3,4,1,1,2,5,0.5,0.157895,6,3,1,1,0.125,6,0,0,0,0,0,32,35,2,0,2,0,3,0,1,0,3,7,0,1,0,42,47,2,0,2,0,6,0,4,0,6,8,0,4,0,0,0,46,0,2,0,21,0,1,0,0,0,24,2,0,0,0,0,0,0,0
L303,ExampleUnitTest,com.lypeer.fcpermissions.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\lypeer\fcpermissions\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L332,ApplicationTest,com.lypeer.fcpermission.ApplicationTest,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\androidTest\java\com\lypeer\fcpermission\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L335,FcPermissions,com.lypeer.fcpermission.FcPermissions,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissions.java,42,1,269,2,0.678205,8,30,8,0.561404,0.614583,128,118,2,3,3,46,1,6,14,2,13,0.166667,0.111675,22,16,1,5,0.106977,23,0,0,0,0,0,175,209,2,1,2,1,11,1,5,0,11,87,1,5,0,192,228,2,1,2,1,14,1,8,0,14,94,1,8,0,0,0,114,0,2,0,67,0,1,0,0,2,40,0,0,0,0,0,0,0,6
L258,FcPermissionsB,com.lypeer.fcpermission.FcPermissionsB,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissionsB.java,44,1,442,2,0.484432,8,30,8,0.318296,0.386885,127,118,1,3,3,55,2,5,6,2,14,0.666667,0.225806,63,57,2,1,0.173442,64,0,0,0,0,0,216,297,11,1,11,1,12,0,2,0,12,100,0,2,0,305,399,21,1,21,1,26,0,16,0,26,128,0,16,0,0,0,134,0,2,0,67,0,0,0,0,2,60,0,0,0,0,0,0,0,7
L770,ExampleUnitTest,com.lypeer.fcpermission.ExampleUnitTest,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\test\java\com\lypeer\fcpermission\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L271,FcPermissionsB$Builder,com.lypeer.fcpermission.FcPermissionsB$Builder,L258,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissionsB.java,366,5,441,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,11,3,1,0,1,12,0.0,0.0,0,0,0,12,0.0,0,0,0,0,0,0,65,76,10,0,10,0,11,0,11,0,11,20,0,11,0,65,76,10,0,10,0,11,0,11,0,11,20,0,11,0,0,0,27,0,1,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,2
L225,FcPermissionsActivity,com.lypeer.fcpermission.ui.FcPermissionsActivity,L665,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\ui\FcPermissionsActivity.java,18,1,61,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,8,2,1,1,3,10,0.2,0.0769231,3,3,1,4,0.0769231,3,1,1,1,1,1,36,44,1,2,1,2,7,0,4,0,8,9,0,5,0,36,44,1,2,1,2,7,0,4,0,8,9,0,5,0,0,0,19,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,1
L700,FcPermissionsAppFragment,com.lypeer.fcpermission.ui.FcPermissionsAppFragment,L665,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\ui\FcPermissionsAppFragment.java,18,1,60,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,8,2,0,0,3,10,0.2,0.0769231,3,3,1,4,0.0769231,3,1,1,0,0,1,36,43,1,2,1,2,7,0,4,0,8,9,0,5,0,36,43,1,2,1,2,7,0,4,0,8,9,0,5,0,0,0,19,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,1
L735,FcPermissionsFragment,com.lypeer.fcpermission.ui.FcPermissionsFragment,L665,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\ui\FcPermissionsFragment.java,18,1,61,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,8,2,0,0,3,10,0.2,0.0769231,3,3,1,4,0.0769231,3,1,1,0,0,1,36,44,1,2,1,2,7,0,4,0,8,9,0,5,0,36,44,1,2,1,2,7,0,4,0,8,9,0,5,0,0,0,19,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,1
L176,MainActivity$1,com.lypeer.fcpermissions.MainActivity$1,L157,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainActivity.java,21,93,26,10,1.0,1,1,1,1.0,1.0,6,6,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L236,MainBaseActivity$1,com.lypeer.fcpermissions.MainBaseActivity$1,L232,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainBaseActivity.java,24,93,29,10,1.0,1,1,1,1.0,1.0,6,6,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L265,MainBuilderActivity$1,com.lypeer.fcpermissions.MainBuilderActivity$1,L261,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainBuilderActivity.java,27,93,32,10,1.0,1,1,1,1.0,1.0,6,6,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L279,MainBuilderActivity$3,com.lypeer.fcpermissions.MainBuilderActivity$3,L268,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainBuilderActivity.java,37,71,42,18,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
L288,MainBuilderActivity$2,com.lypeer.fcpermissions.MainBuilderActivity$2,L268,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\lypeer\fcpermissions\MainBuilderActivity.java,43,69,48,18,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,5,6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
L387,FcPermissions$2,com.lypeer.fcpermission.FcPermissions$2,L359,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissions.java,95,98,100,26,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L395,FcPermissions$1,com.lypeer.fcpermission.FcPermissions$1,L359,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissions.java,101,98,110,26,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,1,2,0.0,0.111111,1,0,0,2,0.111111,1,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L472,FcPermissions$3,com.lypeer.fcpermission.FcPermissions$3,L221,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissions.java,250,98,258,26,1.0,1,4,1,1.0,1.0,9,9,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L551,FcPermissionsB$2,com.lypeer.fcpermission.FcPermissionsB$2,L528,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissionsB.java,175,98,180,26,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L559,FcPermissionsB$1,com.lypeer.fcpermission.FcPermissionsB$1,L528,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissionsB.java,181,98,197,26,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,2,0,0,2,3,0.0,0.0625,1,0,0,2,0.0625,1,0,0,0,0,0,15,17,0,0,0,0,1,0,1,0,1,3,0,1,0,15,17,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L599,FcPermissionsB$3,com.lypeer.fcpermission.FcPermissionsB$3,L588,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\fcpermission\src\main\java\com\lypeer\fcpermission\FcPermissionsB.java,346,98,354,26,1.0,1,4,1,1.0,1.0,9,9,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,9,9,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
