ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L147,ApplicationTest,com.hardsoftstudio.rxflux.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\hardsoftstudio\rxflux\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L788,ExampleUnitTest,com.hardsoftstudio.rxflux.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\hardsoftstudio\rxflux\ExampleUnitTest.java,10,1,14,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L795,ApplicationTest,com.hardsoftstudio.rxflux.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\androidTest\java\com\hardsoftstudio\rxflux\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.666667,0.375,3,3,2,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L423,RxFlux,com.hardsoftstudio.rxflux.RxFlux,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\main\java\com\hardsoftstudio\rxflux\RxFlux.java,22,1,125,2,0.0,0,0,0,0.0,0.0,0,0,4,3,3,24,6,3,2,13,26,0.307692,0.163043,15,15,4,9,0.163043,15,0,0,0,0,0,77,104,7,3,7,3,13,2,12,0,13,35,2,12,0,77,104,7,3,7,3,13,2,12,0,13,35,2,12,0,0,0,29,0,6,0,0,2,1,0,0,1,23,3,0,0,0,0,0,0,5
L1232,ExampleUnitTest,com.hardsoftstudio.rxflux.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\test\java\com\hardsoftstudio\rxflux\ExampleUnitTest.java,10,1,14,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.375,3,3,2,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L417,SampleApp,com.hardsoftstudio.rxflux.sample.SampleApp,L161,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\hardsoftstudio\rxflux\sample\SampleApp.java,12,1,41,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,3,1,1,4,8,0.2,0.259259,7,7,1,4,0.259259,7,0,0,0,0,0,20,30,2,2,2,2,4,0,4,0,4,7,0,4,0,20,30,2,2,2,2,4,0,4,0,4,7,0,4,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L192,RxAction,com.hardsoftstudio.rxflux.action.RxAction,L798,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\main\java\com\hardsoftstudio\rxflux\action\RxAction.java,8,1,89,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,13,1,16,17,1,9,0.125,0.0731707,3,3,1,7,0.0434783,3,0,0,1,1,0,38,49,2,2,2,2,8,0,7,0,8,18,0,7,0,66,82,4,2,4,2,11,0,9,0,11,32,0,9,0,0,0,29,0,5,0,0,4,1,0,0,0,28,0,1,0,0,0,0,0,0
L197,RxActionCreator,com.hardsoftstudio.rxflux.action.RxActionCreator,L798,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\main\java\com\hardsoftstudio\rxflux\action\RxActionCreator.java,11,1,59,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,10,5,1,4,8,15,0.125,0.0714286,3,3,1,7,0.0714286,3,0,0,1,1,0,39,49,2,0,2,0,7,0,7,0,7,18,0,7,0,39,49,2,0,2,0,7,0,7,0,7,18,0,7,0,0,0,18,0,1,1,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0
L617,RxError,com.hardsoftstudio.rxflux.action.RxError,L798,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\main\java\com\hardsoftstudio\rxflux\action\RxError.java,10,1,34,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,1,6,3,2,6,0.25,0.166667,4,4,1,3,0.166667,4,1,1,0,0,1,20,25,5,4,3,2,4,3,3,0,12,7,3,10,0,20,25,5,4,3,2,4,3,3,0,12,7,3,10,0,0,0,15,0,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,4
L205,Dispatcher,com.hardsoftstudio.rxflux.dispatcher.Dispatcher,L907,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxflux\src\main\java\com\hardsoftstudio\rxflux\dispatcher\Dispatcher.java,20,1,146,2,0.253807,1,2,2,0.173228,0.19469,22,22,1,1,1,26,6,9,9,6,17,0.0909091,0.0515464,5,5,1,10,0.0423729,5,0,0,0,0,0,92,106,5,1,5,1,11,0,10,0,11,48,0,10,0,113,127,5,1,5,1,17,0,16,0,17,57,0,16,0,0,0,112,0,6,0,57,1,0,0,0,3,55,0,0,0,2,0,0,0,0
