ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L382,EmailIntents,com.marvinlabs.intents.EmailIntents,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\EmailIntents.java,27,1,77,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,0,1,1,0,3,1.0,0.647059,33,33,4,0,0.647059,33,0,0,0,0,0,18,51,1,0,1,0,3,0,3,0,3,13,0,3,0,18,51,1,0,1,0,3,0,3,0,3,13,0,3,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
L430,GeoIntents,com.marvinlabs.intents.GeoIntents,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\GeoIntents.java,28,1,221,2,0.0,0,0,0,0.0,0.0,0,0,5,1,1,17,0,1,1,0,9,1.0,0.56,98,97,10,0,0.56,98,0,0,0,0,0,77,194,0,0,0,0,9,0,9,0,9,46,0,9,0,77,194,0,0,0,0,9,0,9,0,9,46,0,9,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1
L514,IntentUtils,com.marvinlabs.intents.IntentUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\IntentUtils.java,32,1,84,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,6,0,1,3,0,3,1.0,0.537037,29,29,4,0,0.537037,29,0,0,0,0,0,25,53,0,0,0,0,3,0,3,0,3,12,0,3,0,25,53,0,0,0,0,3,0,3,0,3,12,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L552,MediaIntents,com.marvinlabs.intents.MediaIntents,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\MediaIntents.java,31,1,239,2,0.0,0,0,0,0.0,0.0,0,0,6,1,1,21,0,2,3,0,18,1.0,0.615385,120,120,19,0,0.615385,120,0,0,0,0,0,75,209,3,0,3,0,18,3,18,0,18,31,3,18,0,75,209,3,0,3,0,18,3,18,0,18,31,3,18,0,0,0,6,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
L635,PhoneIntents,com.marvinlabs.intents.PhoneIntents,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\PhoneIntents.java,34,1,215,2,0.0,0,0,0,0.0,0.0,0,0,4,1,1,23,0,1,1,0,12,1.0,0.511765,87,86,12,0,0.511765,87,0,0,0,0,0,83,182,0,0,0,0,12,0,11,0,12,41,0,11,0,83,182,0,0,0,0,12,0,11,0,12,41,0,11,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
L704,ShareIntents,com.marvinlabs.intents.ShareIntents,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\ShareIntents.java,26,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,1,1.0,0.565217,13,13,2,0,0.565217,13,0,0,0,0,0,10,20,1,0,1,0,1,0,1,0,1,5,0,1,0,10,20,1,0,1,0,1,0,1,0,1,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L715,SystemIntents,com.marvinlabs.intents.SystemIntents,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\marvinlabs\intents\SystemIntents.java,25,1,123,2,0.504425,1,6,2,0.282828,0.478261,28,22,4,1,1,12,2,1,1,2,7,1.0,0.483146,43,43,6,0,0.483146,43,0,0,0,0,0,46,99,0,0,0,0,5,0,5,0,5,25,0,5,0,46,99,0,0,0,0,5,0,5,0,5,25,0,5,0,0,0,18,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L139,DemoItem,com.marvinlabs.intents.demo.DemoItem,L127,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\marvinlabs\intents\demo\DemoItem.java,10,1,24,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,12,15,2,0,2,0,2,2,2,0,2,3,2,2,0,12,15,2,0,2,0,2,2,2,0,2,3,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
L162,IntentItemFragment,com.marvinlabs.intents.demo.IntentItemFragment,L127,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\marvinlabs\intents\demo\IntentItemFragment.java,31,1,165,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,11,8,1,1,23,31,0.333333,0.242424,24,14,3,6,0.303571,34,0,0,0,0,0,75,132,3,0,3,0,8,0,8,1,8,43,0,8,1,78,135,3,0,3,0,9,0,9,1,9,43,0,9,1,0,0,17,1,11,1,0,10,1,0,1,0,15,1,0,0,0,0,0,0,0
L371,MainActivity,com.marvinlabs.intents.demo.MainActivity,L127,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\marvinlabs\intents\demo\MainActivity.java,17,1,39,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,2,0,0,1,3,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,21,23,0,0,0,0,2,0,1,0,2,7,0,1,0,21,23,0,0,0,0,2,0,1,0,2,7,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
