ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,de.mateware.snackysample.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\de\mateware\snackysample\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L156,ExampleActivity,de.mateware.snackysample.ExampleActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\de\mateware\snackysample\ExampleActivity.java,17,1,148,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,1,0.00826446,1,0,0,0,0,0,23,31,0,0,0,0,1,0,0,0,1,11,0,0,0,120,132,0,0,0,0,11,0,10,0,11,26,0,10,0,0,0,53,0,0,0,0,0,1,0,1,0,50,0,0,0,0,0,0,0,1
L286,ExampleUnitTest,de.mateware.snackysample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\de\mateware\snackysample\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L312,ExampleInstrumentedTest,de.mateware.snacky.ExampleInstrumentedTest,L290,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\de\mateware\snacky\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L316,Snacky,de.mateware.snacky.Snacky,L290,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\de\mateware\snacky\Snacky.java,33,1,378,2,0.149883,1,10,2,0.0809249,0.09319,28,26,2,3,2,29,3,8,8,5,8,0.5,0.04,3,3,1,1,0.0106383,3,0,0,0,0,0,72,98,4,0,4,0,3,3,1,0,3,59,3,1,0,279,346,37,3,37,3,40,8,35,24,40,145,8,35,24,0,0,131,1,48,1,9,25,2,1,0,0,95,1,2,0,0,20,0,0,24
L582,SnackyUtils,de.mateware.snacky.SnackyUtils,L290,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\de\mateware\snacky\SnackyUtils.java,15,1,31,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,0,2,2,0,2,1.0,0.210526,4,3,1,0,0.210526,4,0,0,0,0,0,15,17,0,0,0,0,2,0,0,0,2,8,0,0,0,15,17,0,0,0,0,2,0,0,0,2,8,0,0,0,0,0,7,0,3,1,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0
L609,ExampleUnitTest,de.mateware.snacky.ExampleUnitTest,L290,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\de\mateware\snacky\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L367,Snacky$Builder,de.mateware.snacky.Snacky$Builder,L316,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\de\mateware\snacky\Snacky.java,177,5,375,6,0.0,0,0,0,0.0,0.0,0,0,2,1,1,36,3,5,5,2,34,0.0,0.0,0,0,0,31,0.0,0,0,0,0,0,0,165,199,25,0,25,0,32,0,30,24,32,75,0,30,24,165,199,25,0,25,0,32,0,30,24,32,75,0,30,24,0,0,78,0,25,0,0,4,1,0,0,0,67,0,1,0,0,20,0,0,10
L174,ExampleActivity$1,de.mateware.snackysample.ExampleActivity$1,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\de\mateware\snackysample\ExampleActivity.java,26,78,36,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,5,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,1,0,1,1,0,1,0,11,11,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L191,ExampleActivity$2,de.mateware.snackysample.ExampleActivity$2,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\de\mateware\snackysample\ExampleActivity.java,38,89,55,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0555556,1,0,0,0,0,0,14,14,0,0,0,0,1,0,1,0,1,1,0,1,0,17,18,0,0,0,0,2,0,2,0,2,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
