ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L124,DividerItemDecoration,io.github.mthli.slicedemo.DividerItemDecoration,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\github\mthli\slicedemo\DividerItemDecoration.java,28,1,65,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,1,1,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,31,38,4,1,4,1,3,0,3,0,3,18,0,3,0,31,38,4,1,4,1,3,0,3,0,3,18,0,3,0,0,0,9,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
L205,MainActivity,io.github.mthli.slicedemo.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\github\mthli\slicedemo\MainActivity.java,31,1,123,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,11,14,0,0,0,0,1,0,0,0,1,6,0,0,0,81,93,5,3,5,3,8,0,7,0,8,43,0,7,0,0,0,26,0,2,0,0,0,0,0,1,2,25,0,0,0,0,0,0,0,0
L308,CustomRoundRectDrawable,io.github.mthli.slice.CustomRoundRectDrawable,L294,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\slice\src\main\java\io\github\mthli\slice\CustomRoundRectDrawable.java,26,1,180,2,0.0888554,2,9,2,0.129032,0.125984,20,16,1,1,1,24,1,2,8,5,20,0.0,0.0,0,0,0,10,0.0,0,1,1,0,0,1,127,155,11,6,4,2,15,0,9,2,28,72,0,17,7,127,155,11,6,4,2,15,0,9,2,28,72,0,17,7,0,0,42,0,6,0,9,0,0,0,0,2,33,0,0,0,0,4,0,0,0
L406,CustomRoundRectDrawableWithShadow,io.github.mthli.slice.CustomRoundRectDrawableWithShadow,L294,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\slice\src\main\java\io\github\mthli\slice\CustomRoundRectDrawableWithShadow.java,27,1,400,2,0.0347877,2,9,2,0.0534759,0.0503145,20,16,2,2,2,59,2,1,12,6,36,0.0,0.0,0,0,0,14,0.0,0,1,1,0,0,1,271,322,27,8,8,0,30,0,13,3,55,171,0,20,11,318,374,27,8,8,0,32,0,15,3,57,193,0,22,11,0,0,87,0,6,1,9,0,1,0,0,1,73,0,0,0,0,4,0,0,4
L309,RoundRectDrawable,io.github.mthli.slice.RoundRectDrawable,L294,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\slice\src\main\java\io\github\mthli\slice\RoundRectDrawable.java,40,1,137,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,19,1,1,5,2,15,0.111111,0.0989011,9,6,1,8,0.0989011,9,0,0,1,1,0,82,98,7,4,7,4,13,0,8,5,13,35,0,8,5,82,98,7,4,7,4,13,0,8,5,13,35,0,8,5,0,0,26,0,5,1,0,3,0,0,0,0,25,0,0,0,0,1,0,0,1
L407,RoundRectDrawableWithShadow,io.github.mthli.slice.RoundRectDrawableWithShadow,L294,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\slice\src\main\java\io\github\mthli\slice\RoundRectDrawableWithShadow.java,38,1,358,2,0.124113,1,4,2,0.0716511,0.0853659,23,21,1,2,2,41,1,2,7,1,26,0.125,0.119565,33,20,1,7,0.11828,33,0,0,1,1,0,243,318,19,8,19,8,25,0,7,8,25,128,0,7,8,246,321,19,8,19,8,26,0,8,8,26,128,0,8,8,0,0,69,0,31,3,9,27,0,0,0,0,54,0,0,0,0,1,0,0,6
L246,Slice,io.github.mthli.slice.Slice,L294,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\slice\src\main\java\io\github\mthli\slice\Slice.java,36,1,260,2,0.376266,2,16,8,0.391111,0.421053,88,80,1,2,2,33,2,2,1,19,37,0.0,0.0,0,0,0,16,0.0,0,0,0,0,0,0,185,220,9,0,9,0,18,4,15,6,18,67,4,15,6,190,225,9,0,9,0,19,4,16,6,19,69,4,16,6,0,0,104,2,1,0,53,0,0,0,0,1,44,0,2,0,0,0,0,0,7
L212,MainActivity$RecyclerAdapter,io.github.mthli.slicedemo.MainActivity$RecyclerAdapter,L205,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\github\mthli\slicedemo\MainActivity.java,32,5,98,6,0.0,0,0,0,0.0,0.0,0,0,1,2,1,11,2,1,1,11,16,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,60,67,4,2,4,2,5,0,5,0,5,34,0,5,0,60,67,4,2,4,2,5,0,5,0,5,34,0,5,0,0,0,14,0,1,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0
L228,MainActivity$RecyclerHolder,io.github.mthli.slicedemo.MainActivity$RecyclerHolder,L205,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\github\mthli\slicedemo\MainActivity.java,100,5,111,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,2,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,10,12,1,1,1,1,2,0,2,0,2,3,0,2,0,10,12,1,1,1,1,2,0,2,0,2,3,0,2,0,0,0,7,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
L446,CustomRoundRectDrawableWithShadow$1,io.github.mthli.slice.CustomRoundRectDrawableWithShadow$1,L435,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\slice\src\main\java\io\github\mthli\slice\CustomRoundRectDrawableWithShadow.java,53,50,58,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
