ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L128,ApplicationTest,com.naman14.washingmachineview.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\naman14\myapplication\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L142,MainActivity,com.naman14.washingmachineview.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\MainActivity.java,8,1,34,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,4,0,0,0,0,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,20,27,0,0,0,0,3,0,2,0,3,8,0,2,0,20,27,0,0,0,0,3,0,2,0,3,8,0,2,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L176,OverlayView,com.naman14.washingmachineview.OverlayView,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\OverlayView.java,19,1,91,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,1,1,0,3,0.5,0.155172,9,4,1,1,0.155172,9,0,0,0,0,0,49,73,9,1,9,1,3,0,1,0,3,30,0,1,0,49,73,9,1,9,1,3,0,1,0,3,30,0,1,0,0,0,11,0,8,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,2
L310,WashingMachineView,com.naman14.washingmachineview.WashingMachineView,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\WashingMachineView.java,20,1,143,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,3,3,1,3,5,0.5,0.214286,6,5,1,1,0.119565,11,0,0,0,0,0,22,40,4,1,4,1,2,0,1,0,2,12,0,1,0,81,124,9,1,9,1,7,0,4,0,7,48,0,4,0,0,0,25,0,9,0,0,5,0,0,0,4,24,0,0,0,0,0,0,0,1
L334,WashingMachineView$TopView,com.naman14.washingmachineview.WashingMachineView$TopView,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\WashingMachineView.java,54,5,95,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,1,1,3,0.0,0.09375,3,0,0,2,0.09375,3,0,0,0,0,0,29,42,3,0,3,0,2,0,1,0,2,19,0,1,0,29,42,3,0,3,0,2,0,1,0,2,19,0,1,0,0,0,7,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
L344,WashingMachineView$BottomView,com.naman14.washingmachineview.WashingMachineView$BottomView,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\WashingMachineView.java,100,5,128,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,1,0,2,0.5,0.0869565,2,2,1,1,0.0869565,2,0,0,0,0,0,21,29,2,0,2,0,2,0,1,0,2,12,0,1,0,21,29,2,0,2,0,2,0,1,0,2,12,0,1,0,0,0,7,0,2,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0
L339,WashingMachineView$MachineView,com.naman14.washingmachineview.WashingMachineView$MachineView,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\WashingMachineView.java,130,5,142,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,1,1,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,13,0,0,0,0,1,0,1,0,1,5,0,1,0,9,13,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L406,SolidBelowWave,com.naman14.washingmachineview.waterwave.SolidBelowWave,L401,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\waterwave\SolidBelowWave.java,11,1,41,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,0,1,1,0,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,25,31,2,0,2,0,5,0,4,2,5,10,0,4,2,25,31,2,0,2,0,5,0,4,2,5,10,0,4,2,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
L393,WaterWave,com.naman14.washingmachineview.waterwave.WaterWave,L401,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\waterwave\WaterWave.java,15,1,142,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,3,2,1,11,17,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,74,98,15,0,15,0,6,0,5,1,6,40,0,5,1,97,128,17,0,17,0,11,1,8,1,11,47,1,8,1,0,0,41,7,9,0,0,1,1,0,1,15,31,0,0,0,0,0,0,0,8
L448,Wave,com.naman14.washingmachineview.waterwave.Wave,L401,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\waterwave\Wave.java,11,1,234,2,0.118003,1,15,3,0.147321,0.183333,33,33,3,2,2,34,2,2,2,0,17,0.0,0.0174419,3,3,0,9,0.0163934,3,0,0,0,0,0,169,210,31,6,31,6,17,2,8,2,17,80,2,8,2,180,224,31,6,31,6,18,2,9,2,18,86,2,9,2,0,2,73,3,21,4,21,1,1,0,0,18,42,0,2,0,0,1,0,0,9
L517,WaterWave$SavedState,com.naman14.washingmachineview.waterwave.WaterWave$SavedState,L393,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\waterwave\WaterWave.java,108,5,137,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,2,2,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,17,23,2,0,2,0,3,1,1,0,3,5,1,1,0,23,30,2,0,2,0,5,1,3,0,5,7,1,3,0,0,0,21,0,1,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,4
L608,Wave$RefreshProgressRunnable,com.naman14.washingmachineview.waterwave.Wave$RefreshProgressRunnable,L448,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\waterwave\Wave.java,219,5,232,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,11,14,0,0,0,0,1,0,1,0,1,6,0,1,0,11,14,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L559,WaterWave$SavedState$1,com.naman14.washingmachineview.waterwave.WaterWave$SavedState$1,L517,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\naman14\washingmachineview\waterwave\WaterWave.java,128,85,136,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
