ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L256,ResourceInspector,cn.nekocode.resinspector.ResourceInspector,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resinspector-no-op\src\main\java\cn\nekocode\resinspector\ResourceInspector.java,28,1,49,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,4,0,3,3,0,4,0.2,0.15,3,3,1,4,0.15,3,0,0,0,0,0,17,22,0,1,0,1,4,0,4,0,4,3,0,4,0,17,22,0,1,0,1,4,0,4,0,4,3,0,4,0,0,0,12,0,1,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0
L271,ResourceInspector,cn.nekocode.resinspector.ResourceInspector,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resinspector\src\main\java\cn\nekocode\resinspector\ResourceInspector.java,55,1,225,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,7,2,2,1,2,7,0.333333,0.0697674,3,3,2,4,0.048951,7,0,0,0,0,0,40,57,3,2,3,2,5,0,4,0,5,16,0,4,0,136,171,6,4,6,4,16,0,10,3,16,63,0,10,3,0,0,45,1,3,0,0,3,1,0,0,1,44,0,0,0,0,0,0,0,0
L441,RIChromeDiscoveryHandler,cn.nekocode.resinspector.RIChromeDiscoveryHandler,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resinspector\src\main\java\cn\nekocode\resinspector\RIChromeDiscoveryHandler.java,31,1,106,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,0,1,1,0,5,0.333333,0.0441176,3,3,1,2,0.0441176,3,0,0,0,0,0,65,76,5,1,5,1,5,0,2,0,5,36,0,2,0,65,76,5,1,5,1,5,0,2,0,5,36,0,2,0,0,0,13,0,3,0,0,0,0,0,0,2,13,0,0,0,0,1,0,0,0
L312,RIDevtoolsSocketHandler,cn.nekocode.resinspector.RIDevtoolsSocketHandler,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resinspector\src\main\java\cn\nekocode\resinspector\RIDevtoolsSocketHandler.java,28,1,57,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,1,1,1,4,0.333333,0.103448,3,3,1,2,0.103448,3,0,0,0,0,0,26,30,3,0,3,0,3,0,2,0,3,9,0,2,0,26,30,3,0,3,0,3,0,2,0,3,9,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L144,MainActivity,cn.nekocode.resinspector.example.MainActivity,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\cn\nekocode\resinspector\example\MainActivity.java,9,1,21,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,1,3,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,11,13,0,0,0,0,2,0,0,0,2,3,0,0,0,11,13,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L167,MyApplication,cn.nekocode.resinspector.example.MyApplication,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\cn\nekocode\resinspector\example\MyApplication.java,7,1,14,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,1,0,1,2,0,1,0,7,8,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L179,MyDialogFragment,cn.nekocode.resinspector.example.MyDialogFragment,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\cn\nekocode\resinspector\example\MyDialogFragment.java,9,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,1,0,1,1,0,1,0,8,9,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L207,MyFragment,cn.nekocode.resinspector.example.MyFragment,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\cn\nekocode\resinspector\example\MyFragment.java,10,1,27,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,0,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,12,14,0,0,0,0,2,0,2,0,2,3,0,2,0,16,18,0,0,0,0,3,0,3,0,3,4,0,3,0,0,0,13,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0
L286,ResourceInspector$InspectorContextWrapper,cn.nekocode.resinspector.ResourceInspector$InspectorContextWrapper,L271,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resinspector\src\main\java\cn\nekocode\resinspector\ResourceInspector.java,124,5,142,6,0.0,0,0,0,0.0,0.0,0,0,0,2,2,4,1,1,1,1,3,0.5,0.15,3,3,1,1,0.15,3,0,0,0,0,0,17,19,1,1,1,1,2,0,1,0,2,6,0,1,0,17,19,1,1,1,1,2,0,1,0,2,6,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L341,ResourceInspector$InspectorLayoutInflater,cn.nekocode.resinspector.ResourceInspector$InspectorLayoutInflater,L271,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\resinspector\src\main\java\cn\nekocode\resinspector\ResourceInspector.java,144,5,224,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,17,1,1,1,0,8,0.0,0.0147059,1,0,0,5,0.0147059,1,0,0,0,0,0,67,81,2,1,2,1,8,0,4,3,8,36,0,4,3,67,81,2,1,2,1,8,0,4,3,8,36,0,4,3,0,0,19,1,3,0,0,3,0,0,0,1,19,0,0,0,0,0,0,0,0
