ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L122,CodeGenerator,cn.nekocode.plugin.parcelablegenerator.CodeGenerator,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\CodeGenerator.java,41,1,238,2,0.0,0,0,0,0.0,0.0,0,0,1,7,6,42,2,1,1,3,12,0.333333,0.0662651,11,3,1,2,0.0662651,11,0,0,0,0,0,155,198,2,0,2,0,9,0,2,0,9,92,0,2,0,155,198,2,0,2,0,9,0,2,0,9,92,0,2,0,0,2,27,4,1,4,0,1,0,5,0,0,21,0,1,0,0,1,0,0,1
L237,GenerateDialog,cn.nekocode.plugin.parcelablegenerator.GenerateDialog,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\GenerateDialog.java,36,1,76,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,0,0,1,4,0.5,0.107143,3,3,1,1,0.0833333,3,0,0,0,0,0,25,33,2,1,2,1,3,0,1,0,3,12,0,1,0,33,41,2,2,2,2,4,0,2,0,4,17,0,2,0,0,0,14,0,3,0,0,2,0,0,0,1,14,0,0,0,0,0,0,0,0
L283,ParcelableAction,cn.nekocode.plugin.parcelablegenerator.ParcelableAction,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\ParcelableAction.java,36,1,91,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,11,1,0,0,2,6,0.333333,0.288889,13,3,1,2,0.265306,13,0,0,0,0,0,32,52,1,1,1,1,4,0,2,0,4,18,0,2,0,36,56,1,1,1,1,5,0,2,0,5,19,0,2,0,0,0,12,0,4,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0
L329,BooleanSerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.BooleanSerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\BooleanSerializer.java,26,1,39,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,1,1,1,2,5,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L339,CharSerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.CharSerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\CharSerializer.java,24,1,37,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,1,1,1,2,5,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L345,EnumSerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.EnumSerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\EnumSerializer.java,24,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,1,1,1,4,7,0.25,0.136364,3,3,1,3,0.136364,3,1,1,0,0,1,19,22,8,6,0,0,3,0,3,0,12,7,0,12,0,19,22,8,6,0,0,3,0,3,0,12,7,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L355,NormalArraySerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.NormalArraySerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\NormalArraySerializer.java,24,1,37,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,1,1,3,6,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L363,NormalListSerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.NormalListSerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\NormalListSerializer.java,24,1,37,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,1,1,1,4,7,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L371,NormalSerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.NormalSerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\NormalSerializer.java,24,1,37,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,1,1,3,6,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L377,NullableArraySerializer,cn.nekocode.plugin.parcelablegenerator.typeserializers.NullableArraySerializer,L310,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\cn\nekocode\plugin\parcelablegenerator\typeserializers\NullableArraySerializer.java,24,1,37,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,1,1,1,4,7,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,11,14,8,6,0,0,3,0,3,0,12,3,0,12,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
