ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L120,UsageCountLineProvider,UsageCountLineProvider,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\out\production\ResourceCount\src\UsageCountLineProvider.java,18,1,88,2,0.381818,2,6,2,0.309859,0.392857,22,22,2,1,1,6,4,0,0,4,7,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,20,28,0,1,0,1,3,0,2,0,3,7,0,2,0,56,71,2,3,2,3,8,0,6,0,8,22,0,6,0,0,0,48,0,5,0,22,2,1,0,0,2,25,1,0,0,0,0,0,0,0
L208,CountColorConfiguration,CountColorConfiguration,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,16,1,123,2,0.610465,1,3,3,0.388889,0.456522,42,42,5,0,0,7,1,7,0,4,11,0.125,0.0714286,4,4,1,7,0.0416667,4,0,0,0,0,0,52,68,9,2,9,2,7,0,7,0,7,13,0,7,0,92,108,9,2,9,2,14,0,14,0,14,29,0,14,0,0,0,130,0,4,0,75,1,1,0,0,0,52,3,0,0,0,0,0,0,2
L334,FindUsageAction,FindUsageAction,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\FindUsageAction.java,15,1,50,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,0,0,0,1,0.5,0.321429,9,3,1,1,0.236842,9,0,0,0,0,0,19,26,0,0,0,0,1,0,1,0,1,10,0,1,0,29,36,0,0,0,0,2,0,2,0,2,15,0,2,0,0,0,8,2,1,2,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
L348,UsageCountLineProvider,UsageCountLineProvider,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\UsageCountLineProvider.java,18,1,88,2,0.381818,2,6,2,0.309859,0.392857,22,22,2,1,1,6,4,0,0,4,7,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,20,28,0,1,0,1,3,0,2,0,3,7,0,2,0,56,71,2,3,2,3,8,0,6,0,8,22,0,6,0,0,0,48,0,5,0,22,2,1,0,0,2,25,1,0,0,0,0,0,0,0
L388,FindUsagesCompat,compat.FindUsagesCompat,L383,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesCompat.java,8,1,20,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,3,3,2,3,0.5,0.538462,7,3,1,1,0.538462,7,0,0,0,0,0,6,13,1,0,1,0,1,1,1,0,1,1,1,1,0,6,13,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
L397,FindUsagesImpl,compat.FindUsagesImpl,L383,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl.java,38,1,221,2,0.213953,2,6,2,0.152174,0.257732,28,25,4,3,3,17,0,3,3,0,7,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,80,165,1,2,1,2,7,0,0,0,7,44,0,0,0,97,184,2,2,2,2,10,0,3,1,10,51,0,3,1,0,2,61,5,6,2,28,5,1,0,0,3,32,0,1,0,1,1,0,0,0
L475,FindUsagesImpl171,compat.FindUsagesImpl171,L383,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl171.java,42,1,203,2,0.140888,2,6,2,0.17284,0.177305,28,25,3,3,3,13,0,2,2,0,5,1.0,0.0634921,4,4,1,0,0.0275862,4,0,0,0,0,0,59,69,1,2,1,2,5,0,0,0,5,34,0,0,0,141,162,2,2,2,2,15,0,10,1,15,77,0,10,1,0,2,92,2,8,1,27,6,1,2,0,2,62,1,1,0,1,0,0,0,0
L550,PropertiesUtils,utils.PropertiesUtils,L546,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\utils\PropertiesUtils.java,12,1,46,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,6,0,12,12,0,6,0.142857,0.129032,4,4,1,6,0.129032,4,0,0,0,0,0,27,35,4,3,4,3,6,4,6,1,6,9,4,6,1,27,35,4,3,4,3,6,4,6,1,6,9,4,6,1,0,0,20,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,4
L567,ResourceUsageCountUtils,utils.ResourceUsageCountUtils,L546,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\utils\ResourceUsageCountUtils.java,13,1,55,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,24,0,4,4,0,2,1.0,0.204545,9,9,3,0,0.204545,9,0,0,0,0,0,35,43,0,0,0,0,2,0,2,0,2,10,0,2,0,35,43,0,0,0,0,2,0,2,0,2,10,0,2,0,0,16,8,0,1,16,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0
L143,UsageCountLineProvider$MyLineMarkerInfo,UsageCountLineProvider$MyLineMarkerInfo,L120,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\out\production\ResourceCount\src\UsageCountLineProvider.java,38,5,45,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L169,UsageCountLineProvider$MyIcon,UsageCountLineProvider$MyIcon,L120,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\out\production\ResourceCount\src\UsageCountLineProvider.java,47,5,81,6,0.280992,1,2,1,0.285714,0.333333,10,10,1,1,1,8,1,1,1,3,7,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,30,35,2,2,2,2,4,0,3,0,4,13,0,3,0,30,35,2,2,2,2,4,0,3,0,4,13,0,3,0,0,0,22,0,3,0,11,1,0,0,0,2,11,0,0,0,0,0,0,0,0
L354,UsageCountLineProvider$MyLineMarkerInfo,UsageCountLineProvider$MyLineMarkerInfo,L348,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\UsageCountLineProvider.java,38,5,45,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L364,UsageCountLineProvider$MyIcon,UsageCountLineProvider$MyIcon,L348,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\UsageCountLineProvider.java,47,5,81,6,0.280992,1,2,1,0.285714,0.333333,10,10,1,1,1,8,1,1,1,3,7,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,30,35,2,2,2,2,4,0,3,0,4,13,0,3,0,30,35,2,2,2,2,4,0,3,0,4,13,0,3,0,0,0,22,0,3,0,11,1,0,0,0,2,11,0,0,0,0,0,0,0,0
L260,CountColorConfiguration$1,CountColorConfiguration$1,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,50,60,63,10,1.0,1,1,1,1.0,1.0,14,14,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,14,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,31,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L292,CountColorConfiguration$2,CountColorConfiguration$2,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,65,59,78,10,1.0,1,1,1,1.0,1.0,14,14,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,14,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,31,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L305,CountColorConfiguration$3,CountColorConfiguration$3,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,80,61,93,10,1.0,1,1,1,1.0,1.0,14,14,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,14,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,31,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L320,CountColorConfiguration$4,CountColorConfiguration$4,L240,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,95,62,100,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L341,FindUsageAction$1,FindUsageAction$1,L337,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\FindUsageAction.java,37,55,48,10,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,2,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,1,0,1,5,0,1,0,12,12,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L418,FindUsagesImpl$1,compat.FindUsagesImpl$1,L393,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl.java,65,85,70,18,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L438,FindUsagesImpl$2,compat.FindUsagesImpl$2,L414,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl.java,109,149,114,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L462,FindUsagesImpl$3,compat.FindUsagesImpl$3,L459,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl.java,204,91,216,14,1.0,1,3,1,1.0,1.0,13,11,0,1,1,2,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,11,13,1,0,1,0,1,0,1,1,1,5,0,1,1,11,13,1,0,1,0,1,0,1,1,1,5,0,1,1,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L488,FindUsagesImpl171$1,compat.FindUsagesImpl171$1,L484,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl171.java,63,45,67,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L492,FindUsagesImpl171$2,compat.FindUsagesImpl171$2,L484,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl171.java,70,59,78,14,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L504,FindUsagesImpl171$3,compat.FindUsagesImpl171$3,L501,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl171.java,106,91,118,14,1.0,1,3,1,1.0,1.0,13,11,0,1,1,2,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,11,13,1,0,1,0,1,0,1,1,1,5,0,1,1,11,13,1,0,1,0,1,0,1,1,1,5,0,1,1,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L514,FindUsagesImpl171$4,compat.FindUsagesImpl171$4,L490,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\compat\FindUsagesImpl171.java,128,36,201,10,0.0,0,0,0,0.0,0.0,0,0,1,4,4,8,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,43,51,0,0,0,0,1,0,1,0,1,27,0,1,0,65,74,0,0,0,0,7,0,7,0,7,34,0,7,0,0,1,37,1,6,0,0,4,0,2,0,2,35,1,1,0,0,0,0,0,0
L276,CountColorConfiguration$1$1,CountColorConfiguration$1$1,L261,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,54,138,60,18,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L297,CountColorConfiguration$2$1,CountColorConfiguration$2$1,L293,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,69,137,75,18,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L310,CountColorConfiguration$3$1,CountColorConfiguration$3$1,L306,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\CountColorConfiguration.java,84,139,90,18,1.0,1,1,1,1.0,1.0,7,7,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
