ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L2783,GlobalWarming,net.porillo.GlobalWarming,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\GlobalWarming.java,42,1,182,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,16,20,47,92,21,26,0.25,0.145299,17,7,1,3,0.145299,17,0,0,0,0,0,100,141,10,1,10,1,5,0,3,0,5,60,0,3,0,100,141,10,1,10,1,5,0,3,0,5,60,0,3,0,0,1,15,1,0,0,0,0,0,0,2,1,11,0,1,0,0,0,0,0,2
L3544,FuelModelTest,net.porillo.FuelModelTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\net\porillo\FuelModelTest.java,12,1,25,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,13,14,0,0,0,0,1,0,1,0,1,6,0,1,0,13,14,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L3547,ModelTest,net.porillo.ModelTest,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\test\java\net\porillo\ModelTest.java,8,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,5,0,0,7,11,0.0,0.16129,5,0,0,5,0.16129,5,0,0,0,0,0,26,38,1,0,1,0,4,0,4,0,4,13,0,4,0,26,38,1,0,1,0,4,0,4,0,4,13,0,4,0,0,0,9,2,3,2,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0
L128,AdminCommands,net.porillo.commands.AdminCommands,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\commands\AdminCommands.java,21,1,130,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0.0980392,10,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,92,110,0,0,0,0,4,0,3,0,4,42,0,3,0,0,0,16,0,3,3,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0
L226,GeneralCommands,net.porillo.commands.GeneralCommands,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\commands\GeneralCommands.java,28,1,414,2,0.0,0,0,0,0.0,0.0,0,0,3,5,4,34,9,5,13,19,26,0.4,0.180851,34,20,2,3,0.0971429,34,0,0,0,0,0,154,211,2,1,2,1,7,0,4,0,7,91,0,4,0,316,387,2,1,2,1,19,0,16,0,19,140,0,16,0,0,0,56,2,6,3,0,0,4,4,2,2,46,0,1,0,0,2,0,0,0
L489,ConfigLoader,net.porillo.config.ConfigLoader,L483,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\config\ConfigLoader.java,10,1,116,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,23,1,3,4,1,12,0.0,0.0,0,0,0,1,0.0,0,0,0,3,3,0,89,107,3,0,3,0,11,0,0,0,11,46,0,0,0,89,107,3,0,3,0,11,0,0,0,11,46,0,0,0,0,1,25,6,7,5,0,4,0,0,0,3,25,0,1,0,0,1,0,0,0
L566,GlobalWarmingConfig,net.porillo.config.GlobalWarmingConfig,L483,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\config\GlobalWarmingConfig.java,6,1,60,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,1,1,4,7,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,46,55,20,0,17,0,3,0,2,0,13,21,0,2,0,46,55,20,0,17,0,3,0,2,0,13,21,0,2,0,0,0,12,0,2,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3
L721,WorldConfig,net.porillo.config.WorldConfig,L483,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\config\WorldConfig.java,15,1,108,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,15,4,3,4,5,10,0.0,0.0,0,0,0,4,0.0,0,1,1,0,0,1,82,94,12,2,9,2,5,0,3,0,15,38,0,3,0,82,94,12,2,9,2,5,0,3,0,15,38,0,3,0,0,1,15,3,0,1,0,0,0,0,0,2,13,0,1,0,0,0,0,0,2
L611,ConnectionManager,net.porillo.database.ConnectionManager,L787,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\database\ConnectionManager.java,9,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,12,0,3,2,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,51,59,7,0,7,0,3,0,3,0,3,25,0,3,0,51,59,7,0,7,0,3,0,3,0,3,25,0,3,0,0,2,11,2,8,5,0,0,0,0,0,7,9,0,0,0,0,0,0,0,2
L1493,TableManager,net.porillo.database.TableManager,L787,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\src\main\java\net\porillo\database\TableManager.java,9,1,49,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,4,9,2,2,8,11,0.0,0.0606061,2,2,0,4,0.0606061,2,0,0,0,0,0,31,41,9,2,9,2,3,0,3,0,3,12,0,3,0,31,41,9,2,9,2,3,0,3,0,3,12,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,2
