ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L156,AbstractAudit,com.octo.reactive.audit.AbstractAudit,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\AbstractAudit.java,23,1,68,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,4,123,290,6,10,0.0,0.03125,1,0,0,1,0.0243902,1,0,0,7,133,0,31,37,1,0,1,0,4,0,0,0,4,8,0,0,0,40,46,1,0,1,0,6,0,2,0,6,9,0,2,0,0,0,23,0,3,0,0,3,0,0,0,0,21,0,0,2,0,0,0,0,0
L221,AbstractCPUAudit,com.octo.reactive.audit.AbstractCPUAudit,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\AbstractCPUAudit.java,24,1,31,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,34,0,1,2,0.0,0.0,0,0,0,1,0.0,0,1,1,34,34,1,8,8,1,0,0,0,1,0,0,0,4,1,0,0,0,8,8,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
L238,AbstractFileAudit,com.octo.reactive.audit.AbstractFileAudit,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\AbstractFileAudit.java,23,1,30,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,19,0,1,2,0.0,0.0,0,0,0,1,0.0,0,1,1,19,32,1,8,8,1,0,0,0,1,0,0,0,4,1,0,0,0,8,8,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
L245,AbstractNetworkAudit,com.octo.reactive.audit.AbstractNetworkAudit,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\AbstractNetworkAudit.java,23,1,30,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,48,0,1,2,0.0,0.0,0,0,0,1,0.0,0,1,1,48,48,1,8,8,1,0,0,0,1,0,0,0,4,1,0,0,0,8,8,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
L252,AssumeLatencyAudit,com.octo.reactive.audit.AssumeLatencyAudit,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\AssumeLatencyAudit.java,25,1,41,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,0,0,2,4,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,16,17,0,0,0,0,2,0,2,0,2,2,0,2,0,16,17,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L262,AuditLogFormat,com.octo.reactive.audit.AuditLogFormat,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\AuditLogFormat.java,25,1,85,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,7,2,3,3,3,7,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,57,61,2,1,2,1,4,0,2,0,4,22,0,2,0,57,61,2,1,2,1,4,0,2,0,4,22,0,2,0,0,0,11,1,3,0,0,1,0,0,0,0,11,0,1,0,1,1,0,0,0
L349,DebugAspect,com.octo.reactive.audit.DebugAspect,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\DebugAspect.java,23,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.5,0.830508,49,35,1,1,0.830508,49,0,0,0,0,0,10,60,1,0,1,0,1,0,1,0,1,1,0,1,0,10,60,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L364,DetectionUtils,com.octo.reactive.audit.DetectionUtils,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\DetectionUtils.java,19,1,52,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,6,0,0,0,0,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,30,34,0,3,0,3,4,0,1,0,4,11,0,1,0,30,34,0,3,0,3,4,0,1,0,4,11,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L390,FactoryException,com.octo.reactive.audit.FactoryException,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\FactoryException.java,24,1,54,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,7,3,15,16,2,7,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,27,31,0,0,0,0,5,0,4,0,5,4,0,4,0,27,31,0,0,0,0,5,0,4,0,5,4,0,4,0,0,0,14,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0
L419,FileTools,com.octo.reactive.audit.FileTools,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\FileTools.java,23,1,616,2,0.186416,3,14,6,0.13468,0.152505,80,70,3,4,3,91,1,20,27,1,22,0.0,0.0366972,20,0,0,15,0.0356506,20,0,0,0,0,0,525,578,22,0,22,0,21,3,14,0,21,165,3,14,0,541,594,22,0,22,0,24,3,17,0,24,167,3,17,0,0,7,110,19,33,10,40,22,1,1,0,16,60,0,7,0,0,4,0,0,8
L666,HistoryStackElement,com.octo.reactive.audit.HistoryStackElement,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\HistoryStackElement.java,23,1,75,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,2,1,3,0.0,0.2,4,2,0,1,0.155556,7,0,0,0,0,0,16,25,1,0,1,0,2,0,0,0,2,4,0,0,0,38,53,2,0,2,0,5,0,3,0,5,12,0,3,0,0,0,14,0,7,3,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0
L5685,LoadParams,com.octo.reactive.audit.LoadParams,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\LoadParams.java,32,1,233,2,0.0,0,0,0,0.0,0.0,0,0,3,4,4,31,5,6,6,16,24,0.0,0.0304569,6,1,0,3,0.0304569,6,0,0,0,0,0,191,202,32,2,32,2,8,18,2,0,8,73,18,2,0,191,202,32,2,32,2,8,18,2,0,8,73,18,2,0,0,2,31,2,6,3,0,5,1,2,1,0,19,0,1,0,1,0,0,0,8
L5864,LongAdder,com.octo.reactive.audit.LongAdder,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\LongAdder.java,54,1,241,2,0.0,0,0,0,0.0,0.0,0,0,3,3,3,20,2,2,3,5,15,1.0,0.636364,126,114,10,0,0.636364,126,1,1,0,0,1,72,188,9,1,0,0,10,0,9,0,16,28,0,9,0,72,188,9,1,0,0,10,0,9,0,16,28,0,9,0,0,0,3,0,10,1,0,6,1,0,0,0,2,1,2,0,0,0,0,0,0
L5955,MainAspect,com.octo.reactive.audit.MainAspect,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\MainAspect.java,23,1,40,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0833333,1,0,0,2,0.0555556,1,2,2,0,0,1,11,12,1,0,0,0,1,0,1,0,5,2,0,1,0,17,18,1,0,0,0,2,0,2,0,6,3,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L5969,NetworkTools,com.octo.reactive.audit.NetworkTools,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\reactive-audit-agent\src\main\java\com\octo\reactive\audit\NetworkTools.java,22,1,55,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,2,2,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,30,34,1,0,1,0,2,0,1,0,2,3,0,1,0,30,34,1,0,1,0,2,0,1,0,2,3,0,1,0,0,0,7,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
