ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L1121,ApplicationTest,in.co.ophio.keystore_preferences.ApplicationTest,L1113,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\in\co\ophio\keystore_preferences\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L137,KeyGeneratorTests,in.co.ophio.secure.core.KeyGeneratorTests,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\in\co\ophio\secure\core\KeyGeneratorTests.java,18,1,42,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,2,4,0.333333,0.238095,5,3,1,2,0.238095,5,0,0,0,0,0,16,25,0,0,0,0,2,0,2,0,2,6,0,2,0,16,25,0,0,0,0,2,0,2,0,2,6,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L171,ObscuredSharedPreferencesTest,in.co.ophio.secure.core.ObscuredSharedPreferencesTest,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\in\co\ophio\secure\core\ObscuredSharedPreferencesTest.java,18,1,102,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,10,2,0,0,20,30,0.1,0.0405405,3,3,1,9,0.0405405,3,0,0,0,0,0,71,85,11,0,11,0,10,6,9,1,10,36,6,9,1,71,85,11,0,11,0,10,6,9,1,10,36,6,9,1,0,0,29,1,21,19,0,2,0,0,0,1,23,0,0,0,0,0,0,0,6
L301,KeyStoreKeyGenerator,in.co.ophio.secure.core.KeyStoreKeyGenerator,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\in\co\ophio\secure\core\KeyStoreKeyGenerator.java,23,1,94,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,3,2,3,5,9,0.75,0.353846,23,19,3,1,0.353846,23,1,1,0,0,1,42,72,5,0,5,0,4,1,3,0,4,19,1,3,0,42,72,5,0,5,0,4,1,3,0,4,19,1,3,0,0,0,9,0,6,0,0,1,0,0,0,4,5,0,1,0,0,0,0,0,4
L391,ObscuredPreferencesBuilder,in.co.ophio.secure.core.ObscuredPreferencesBuilder,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\in\co\ophio\secure\core\ObscuredPreferencesBuilder.java,12,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,9,1,1,1,2,8,0.142857,0.08,4,4,1,6,0.08,4,0,0,0,0,0,46,56,6,0,6,0,6,1,6,3,6,19,1,6,3,46,56,6,0,6,0,6,1,6,3,6,19,1,6,3,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5
L188,ObscuredSharedPreferences,in.co.ophio.secure.core.ObscuredSharedPreferences,L108,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\in\co\ophio\secure\core\ObscuredSharedPreferences.java,39,1,318,2,0.122385,2,22,5,0.1,0.123348,28,28,2,2,2,48,1,3,18,1,23,0.133333,0.117347,23,22,2,13,0.092,23,0,0,0,0,0,173,214,5,9,5,9,22,0,14,1,22,86,0,14,1,227,280,6,9,6,9,33,0,25,1,33,105,0,25,1,0,0,86,21,14,10,9,11,1,1,0,13,70,0,1,0,0,0,0,0,5
L346,SecretKeyWrapper,in.co.ophio.secure.vault.SecretKeyWrapper,L672,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\in\co\ophio\secure\vault\SecretKeyWrapper.java,45,1,114,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,0,1,1,0,4,1.0,0.43662,31,29,4,0,0.43662,31,0,0,0,0,0,40,70,2,0,2,0,4,0,3,0,4,18,0,3,0,40,70,2,0,2,0,4,0,3,0,4,18,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
L783,Utils,in.co.ophio.secure.vault.Utils,L672,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\in\co\ophio\secure\vault\Utils.java,30,1,77,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,10,0,1,1,0,5,0.0,0.0232558,1,0,0,5,0.0232558,1,0,0,0,0,0,42,48,0,0,0,0,5,0,4,0,5,19,0,4,0,42,48,0,0,0,0,5,0,4,0,5,19,0,4,0,0,2,12,0,3,2,0,0,1,0,0,0,11,0,1,0,0,2,0,0,0
L857,KeystoreApplication,in.co.ophio.secure.sample.KeystoreApplication,L834,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\in\co\ophio\secure\sample\KeystoreApplication.java,12,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,4,4,1,4,0.25,0.136364,3,3,1,3,0.136364,3,0,0,0,0,0,19,24,2,2,2,2,3,0,3,0,3,5,0,3,0,19,24,2,2,2,2,3,0,3,0,3,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L473,ObscuredSharedPreferences$Editor,in.co.ophio.secure.core.ObscuredSharedPreferences$Editor,L188,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\in\co\ophio\secure\core\ObscuredSharedPreferences.java,252,5,317,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,11,1,2,10,3,14,0.0,0.0,0,0,0,12,0.0,0,0,0,0,0,0,54,66,1,0,1,0,11,0,11,0,11,19,0,11,0,54,66,1,0,1,0,11,0,11,0,11,19,0,11,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
