ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L2194,ApplicationTest,dreamers.sample.ApplicationTest,L2178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\dreamers\sample\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L2208,CardViewWithBackgroundSupport,dreamers.sample.CardViewWithBackgroundSupport,L2178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\dreamers\sample\CardViewWithBackgroundSupport.java,10,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,15,0,0,0,0,8,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,58,73,1,0,1,0,8,0,5,1,8,28,0,5,1,58,73,1,0,1,0,8,0,5,1,8,28,0,5,1,0,1,19,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0
L2236,FloatingActionButton,dreamers.sample.FloatingActionButton,L2178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\dreamers\sample\FloatingActionButton.java,8,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,1,0,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,12,16,0,0,0,0,3,0,3,0,3,4,0,3,0,12,16,0,0,0,0,3,0,3,0,3,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L2257,MyApp,dreamers.sample.MyApp,L2178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\dreamers\sample\MyApp.java,5,1,6,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L2261,SampleActivity,dreamers.sample.SampleActivity,L2178,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\dreamers\sample\SampleActivity.java,16,1,72,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,5,0,0,2,4,0.5,0.166667,4,4,1,1,0.0888889,4,0,0,0,0,0,20,31,2,1,2,1,2,0,1,0,2,10,0,1,0,41,57,2,5,2,5,6,0,5,0,6,16,0,5,0,0,0,16,2,1,1,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0
L132,Android,codetail.graphics.drawables.Android,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\Android.java,13,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,3,4,0,2,1.0,0.678571,19,19,3,0,0.678571,19,0,0,0,0,0,9,26,1,0,1,0,2,1,2,0,2,2,1,2,0,9,26,1,0,1,0,2,1,2,0,2,2,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
L154,AnimatorsCompat,codetail.graphics.drawables.AnimatorsCompat,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\AnimatorsCompat.java,12,1,57,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,12,0,3,5,0,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,37,46,1,0,1,0,3,0,2,0,3,23,0,2,0,37,46,1,0,1,0,3,0,2,0,3,23,0,2,0,0,0,11,0,1,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0
L219,DrawableHotspotTouch,codetail.graphics.drawables.DrawableHotspotTouch,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\DrawableHotspotTouch.java,9,1,258,2,0.0,0,0,0,0.0,0.0,0,0,1,6,6,40,5,3,2,6,15,0.166667,0.155405,23,8,1,5,0.116751,23,0,0,0,0,0,125,189,9,0,9,0,9,0,5,2,9,67,0,5,2,174,250,15,0,15,0,17,0,9,2,17,80,0,9,2,0,0,56,1,20,2,0,18,0,5,0,1,47,0,0,0,0,0,0,0,4
L399,DrawableReflectiveUtils,codetail.graphics.drawables.DrawableReflectiveUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\DrawableReflectiveUtils.java,33,1,103,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,6,2,1,1,3,5,0.333333,0.232558,10,5,1,2,0.166667,10,0,0,0,0,0,33,50,4,0,4,0,2,0,2,1,2,17,0,2,1,50,71,4,0,4,0,6,0,3,1,6,24,0,3,1,0,0,16,1,6,0,0,6,0,0,0,1,16,0,0,0,0,0,0,0,0
L509,LayerDrawable,codetail.graphics.drawables.LayerDrawable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\LayerDrawable.java,65,1,1069,2,0.0583055,1,8,2,0.0477612,0.0596591,48,42,4,4,4,139,6,3,17,21,77,0.325,0.222071,163,155,13,27,0.189873,165,1,1,1,1,1,571,843,12,16,11,13,56,2,39,14,69,388,2,52,21,704,1005,30,18,29,15,67,9,47,14,80,471,9,60,21,0,4,159,1,18,5,16,11,2,4,1,0,109,0,6,0,0,1,0,0,27
L224,LollipopDrawable,codetail.graphics.drawables.LollipopDrawable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\LollipopDrawable.java,19,1,136,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,13,0,4,9,0,13,0.785714,0.688679,73,73,11,3,0.688679,73,0,0,1,2,0,33,118,1,3,1,3,13,0,13,7,13,6,0,13,7,33,118,1,3,1,3,13,0,13,7,13,6,0,13,7,0,0,9,7,7,0,0,7,1,0,0,0,7,7,0,0,0,0,0,0,1
L989,LollipopDrawablesCompat,codetail.graphics.drawables.LollipopDrawablesCompat,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\codetail\graphics\drawables\LollipopDrawablesCompat.java,27,1,348,2,0.0,0,0,0,0.0,0.0,0,0,2,3,2,46,3,4,5,4,23,0.470588,0.156951,35,33,8,9,0.13308,35,0,0,0,0,0,188,272,5,5,5,5,19,0,16,0,19,103,0,16,0,228,322,5,5,5,5,28,0,25,0,31,113,0,28,0,0,2,60,4,1,0,0,0,3,0,0,5,54,0,2,0,0,0,0,0,3
