ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L173,ActivityRecognition,com.patloew.rxlocation.ActivityRecognition,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\ActivityRecognition.java,26,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,3,8,2,2,9,0.6,0.348837,15,15,3,2,0.348837,15,0,0,0,0,0,28,42,1,0,1,0,7,0,4,0,7,7,0,4,0,28,42,1,0,1,0,7,0,4,0,7,7,0,4,0,0,0,15,1,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0
L234,ActivityRemoveUpdatesSingleOnSubscribe,com.patloew.rxlocation.ActivityRemoveUpdatesSingleOnSubscribe,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\ActivityRemoveUpdatesSingleOnSubscribe.java,27,1,44,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,4,3,3,3,5,1.0,0.5,14,13,1,0,0.5,14,2,2,0,0,1,14,18,6,1,1,0,2,0,0,0,11,3,0,1,0,14,18,6,1,1,0,2,0,0,0,11,3,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
L217,ActivityRequestUpdatesSingleOnSubscribe,com.patloew.rxlocation.ActivityRequestUpdatesSingleOnSubscribe,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\ActivityRequestUpdatesSingleOnSubscribe.java,27,1,46,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,4,3,3,3,5,1.0,0.466667,14,13,1,0,0.466667,14,2,2,0,0,1,16,20,7,1,2,0,2,0,0,0,11,4,0,1,0,16,20,7,1,2,0,2,0,0,0,11,4,0,1,0,0,0,4,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
L280,FusedLocation,com.patloew.rxlocation.FusedLocation,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\FusedLocation.java,34,1,152,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,21,7,4,10,6,27,0.411765,0.195876,19,19,7,10,0.195876,19,0,0,0,0,0,78,119,1,0,1,0,21,0,16,0,21,21,0,16,0,78,119,1,0,1,0,21,0,16,0,21,21,0,16,0,0,0,43,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,2
L409,Geocoding,com.patloew.rxlocation.Geocoding,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\Geocoding.java,29,1,119,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,19,0,4,18,0,18,0.0588235,0.173333,13,13,1,16,0.173333,13,0,0,0,0,0,62,91,2,1,2,1,18,0,16,0,18,20,0,16,0,62,91,2,1,2,1,18,0,16,0,18,20,0,16,0,0,0,43,0,1,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,4
L522,Geofencing,com.patloew.rxlocation.Geofencing,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\Geofencing.java,29,1,76,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,9,3,2,3,2,11,0.428571,0.319149,15,15,3,4,0.319149,15,0,0,0,0,0,32,48,1,0,1,0,9,0,6,0,9,9,0,6,0,32,48,1,0,1,0,9,0,6,0,9,9,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
L543,GeofencingAddSingleOnSubscribe,com.patloew.rxlocation.GeofencingAddSingleOnSubscribe,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\GeofencingAddSingleOnSubscribe.java,27,1,46,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,4,3,3,3,5,1.0,0.466667,14,13,1,0,0.466667,14,2,2,0,0,1,16,20,7,1,2,0,2,0,0,0,11,4,0,1,0,16,20,7,1,2,0,2,0,0,0,11,4,0,1,0,0,0,4,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
L570,GeofencingRemoveSingleOnSubscribe,com.patloew.rxlocation.GeofencingRemoveSingleOnSubscribe,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\GeofencingRemoveSingleOnSubscribe.java,28,1,49,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,4,3,5,3,5,1.0,0.419355,13,13,1,0,0.419355,13,2,2,0,0,1,18,22,7,1,2,0,2,0,0,0,11,7,0,1,0,18,22,7,1,2,0,2,0,0,0,11,7,0,1,0,0,0,4,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
L601,GoogleApiClientFlowable,com.patloew.rxlocation.GoogleApiClientFlowable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\GoogleApiClientFlowable.java,33,1,52,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,1,1,2,1,5,0.333333,0.542857,19,19,1,2,0.542857,19,2,2,0,0,1,16,20,5,1,0,0,4,0,2,0,13,4,0,3,0,16,20,5,1,0,0,4,0,2,0,13,4,0,3,0,0,0,10,0,2,2,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L633,GoogleApiConnectionException,com.patloew.rxlocation.GoogleApiConnectionException,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\patloew\rxlocation\GoogleApiConnectionException.java,19,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,0,7,3,0,3,0.333333,0.451613,14,14,1,2,0.451613,14,0,0,0,0,0,17,20,1,1,1,1,3,0,2,0,3,6,0,2,0,17,20,1,1,1,1,3,0,2,0,3,6,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
