ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L130,ActivityUtils,com.percolate.caffeine.ActivityUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\ActivityUtils.java,20,1,100,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,11,0,1,2,0,5,1.0,0.4375,35,35,6,0,0.4375,35,0,0,0,0,0,45,81,0,2,0,2,5,0,5,0,5,26,0,5,0,45,81,0,2,0,2,5,0,5,0,5,26,0,5,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
L241,ClipboardUtils,com.percolate.caffeine.ClipboardUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\ClipboardUtils.java,10,1,41,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,6,0,0,0,0,2,1.0,0.393939,13,13,3,0,0.393939,13,0,0,0,0,0,20,32,0,1,0,1,2,0,2,1,2,11,0,2,1,20,32,0,1,0,1,2,0,2,1,2,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L281,CountUtil,com.percolate.caffeine.CountUtil,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\CountUtil.java,12,1,57,2,0.0,0,0,0,0.0,0.0,0,0,0,3,1,6,0,1,3,0,3,1.0,0.469388,23,23,4,0,0.469388,23,0,0,0,0,0,26,46,0,3,0,3,3,0,3,0,3,16,0,3,0,26,46,0,3,0,3,3,0,3,0,3,16,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
L314,DialogUtils,com.percolate.caffeine.DialogUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\DialogUtils.java,19,1,62,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,0,1,1,0,2,1.0,0.5,22,20,3,0,0.468085,22,0,0,0,0,0,22,41,0,0,0,0,2,0,2,0,2,13,0,2,0,25,44,0,0,0,0,3,0,3,0,3,14,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L378,IntentUtils,com.percolate.caffeine.IntentUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\IntentUtils.java,20,1,129,2,0.0,0,0,0,0.0,0.0,0,0,6,2,2,22,1,1,1,1,8,1.0,0.294118,30,30,7,0,0.283019,30,0,0,0,0,0,72,106,0,0,0,0,7,0,6,0,7,40,0,6,0,76,110,0,0,0,0,8,0,7,0,8,41,0,7,0,0,0,8,2,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0
L514,MiscUtils,com.percolate.caffeine.MiscUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\MiscUtils.java,19,1,120,2,0.0,0,0,0,0.0,0.0,0,0,4,1,1,12,0,1,9,0,7,1.0,0.519231,54,54,8,0,0.519231,54,0,0,0,0,0,50,102,0,3,0,3,7,0,7,0,7,24,0,7,0,50,102,0,3,0,3,7,0,7,0,7,24,0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
L577,PhoneUtils,com.percolate.caffeine.PhoneUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\PhoneUtils.java,17,1,71,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,9,0,0,0,0,4,1.0,0.661017,39,39,5,0,0.661017,39,0,0,0,0,0,20,55,0,0,0,0,4,0,4,0,4,10,0,4,0,20,55,0,0,0,0,4,0,4,0,4,10,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L616,StrictModeUtils,com.percolate.caffeine.StrictModeUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\StrictModeUtils.java,18,1,36,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,1,1.0,0.6,18,18,2,0,0.6,18,0,0,0,0,0,12,19,0,0,0,0,1,0,1,0,1,1,0,1,0,12,19,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L644,ToastUtils,com.percolate.caffeine.ToastUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\ToastUtils.java,12,1,43,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,2,3,0,2,1.0,0.583333,21,21,3,0,0.583333,21,0,0,0,0,0,15,32,0,0,0,0,2,0,2,0,2,7,0,2,0,15,32,0,0,0,0,2,0,2,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L667,ViewUtils,com.percolate.caffeine.ViewUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\caffeine\src\main\java\com\percolate\caffeine\ViewUtils.java,33,1,293,2,0.463333,2,16,6,0.260536,0.471429,68,66,10,2,2,32,0,8,21,0,14,1.0,0.465649,122,120,15,0,0.465649,122,0,0,0,0,0,140,261,0,2,0,2,14,0,14,2,14,77,0,14,2,140,261,0,2,0,2,14,0,14,2,14,77,0,14,2,0,0,42,8,0,2,41,0,1,0,0,5,0,0,1,0,0,0,0,0,0
