ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L149,ExampleInstrumentedTest,pw.qlm.inputmethodholder.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\pw\qlm\inputmethodholder\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L172,ExampleUnitTest,pw.qlm.inputmethodholder.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\pw\qlm\inputmethodholder\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L176,ExampleInstrumentedTest,pw.qlm.inputmethodholder.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\inputmethodholder\src\androidTest\java\pw\qlm\inputmethodholder\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.428571,6,5,2,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L379,InputMethodHolder,pw.qlm.inputmethodholder.InputMethodHolder,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\inputmethodholder\src\main\java\pw\qlm\inputmethodholder\InputMethodHolder.java,14,1,62,2,0,0,0,0,0,0,0,0,1,1,1,8,4,4,4,6,10,0.2,0.102564,4,4,1,4,0.0888889,4,0,0,0,0,0,35,43,3,0,3,0,4,0,4,0,4,16,0,4,0,41,49,3,0,3,0,5,0,5,0,5,18,0,5,0,0,0,16,1,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0
L387,InputMethodListener,pw.qlm.inputmethodholder.InputMethodListener,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\inputmethodholder\src\main\java\pw\qlm\inputmethodholder\InputMethodListener.java,11,1,97,2,0,0,0,0,0,0,0,0,1,2,2,15,2,2,4,2,7,0.2,0.0677966,4,3,1,4,0.0519481,4,0,0,0,0,0,55,64,1,0,1,0,5,0,4,0,5,29,0,4,0,73,87,4,0,4,0,7,0,4,0,7,35,0,4,0,0,0,20,1,5,1,0,3,0,0,0,1,20,0,0,0,0,1,0,0,0
L591,ExampleUnitTest,pw.qlm.inputmethodholder.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\inputmethodholder\src\test\java\pw\qlm\inputmethodholder\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.666667,0.454545,5,5,2,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L603,MainActivity,pw.qlm.sample.MainActivity,L595,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\pw\qlm\sample\MainActivity.java,15,1,84,2,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,2,4,0.0,0.422222,19,0,0,1,0.306452,19,0,0,0,0,0,26,52,4,0,4,0,2,0,0,0,2,11,0,0,0,43,70,4,0,4,0,6,0,4,0,6,16,0,4,0,0,0,21,0,4,0,0,4,1,0,0,0,20,0,0,0,0,0,0,0,0
L661,MyApplication,pw.qlm.sample.MyApplication,L595,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\pw\qlm\sample\MyApplication.java,11,1,22,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1.0,0.384615,5,3,1,0,0.384615,5,0,0,0,0,0,8,12,0,0,0,0,1,0,0,0,1,3,0,0,0,8,12,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L185,IInputMethodManagerCompat,pw.qlm.inputmethodholder.compat.IInputMethodManagerCompat,L180,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\inputmethodholder\src\main\java\pw\qlm\inputmethodholder\compat\IInputMethodManagerCompat.java,12,1,28,2,0,0,0,0,0,0,0,0,2,1,1,3,1,1,1,1,3,0.333333,0.1875,3,3,1,2,0.1875,3,0,0,0,0,0,13,17,1,0,1,0,2,0,2,0,2,5,0,2,0,13,17,1,0,1,0,2,0,2,0,2,5,0,2,0,0,1,8,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0
L215,ServiceManagerCompat,pw.qlm.inputmethodholder.compat.ServiceManagerCompat,L180,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\inputmethodholder\src\main\java\pw\qlm\inputmethodholder\compat\ServiceManagerCompat.java,13,1,38,2,0,0,0,0,0,0,0,0,1,1,1,5,1,1,1,2,5,0.25,0.130435,3,3,1,3,0.130435,3,0,0,0,0,0,20,26,2,1,2,1,3,1,3,0,3,8,1,3,0,20,26,2,1,2,1,3,1,3,0,3,8,1,3,0,0,1,13,0,1,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,4
