ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L134,ExampleInstrumentedTest,org.qap.timelineviewtest.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\org\qap\timelineviewtest\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L157,MainActivity,org.qap.timelineviewtest.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\org\qap\timelineviewtest\MainActivity.java,8,1,21,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,11,14,0,0,0,0,2,0,1,0,2,4,0,1,0,11,14,0,0,0,0,2,0,1,0,2,4,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L175,TimelineTest,org.qap.timelineviewtest.TimelineTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\org\qap\timelineviewtest\TimelineTest.java,25,1,171,2,0,0,0,0,0,0,0,0,1,1,1,7,2,3,1,13,18,0.25,0.280488,23,3,1,3,0.226087,26,0,0,0,0,0,59,104,2,3,2,3,5,0,3,0,5,40,0,3,0,89,147,7,3,7,3,9,0,6,0,9,52,0,6,0,0,0,24,2,5,2,0,1,0,0,1,1,23,0,3,0,0,0,0,0,0
L356,ExampleUnitTest,org.qap.timelineviewtest.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\org\qap\timelineviewtest\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L382,ExampleInstrumentedTest,org.qap.ctimelineview.ExampleInstrumentedTest,L360,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ctimelineview\src\androidTest\java\org\qap\ctimelineview\ExampleInstrumentedTest.java,17,1,26,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L183,TimelineRow,org.qap.ctimelineview.TimelineRow,L360,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ctimelineview\src\main\java\org\qap\ctimelineview\TimelineRow.java,9,1,185,2,0,0,0,0,0,0,0,0,0,0,0,32,0,3,4,0,32,0.0,0.0,0,0,0,33,0.0,0,0,0,0,0,0,143,177,13,13,13,13,32,0,32,13,32,64,0,32,13,143,177,13,13,13,13,32,0,32,13,32,64,0,32,13,0,0,79,0,10,0,0,0,0,0,0,1,67,0,0,0,0,9,0,0,12
L208,TimelineViewAdapter,org.qap.ctimelineview.TimelineViewAdapter,L360,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ctimelineview\src\main\java\org\qap\ctimelineview\TimelineViewAdapter.java,20,1,195,2,0,0,0,0,0,0,0,0,1,6,4,33,1,1,0,12,17,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,140,176,4,2,4,2,5,0,2,0,5,110,0,2,0,140,176,4,2,4,2,5,0,2,0,5,110,0,2,0,0,0,20,3,15,3,0,11,0,5,1,4,13,0,0,0,0,0,0,0,1
L632,ExampleUnitTest,org.qap.ctimelineview.ExampleUnitTest,L360,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\ctimelineview\src\test\java\org\qap\ctimelineview\ExampleUnitTest.java,12,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L226,TimelineTest$1,org.qap.timelineviewtest.TimelineTest$1,L197,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\org\qap\timelineviewtest\TimelineTest.java,55,75,94,10,0,0,0,0,0,0,0,0,1,2,2,6,1,0,0,1,4,0.0,0.1,3,0,0,3,0.1,3,0,0,0,0,0,27,40,5,0,5,0,3,0,2,0,3,10,0,2,0,27,40,5,0,5,0,3,0,2,0,3,10,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L261,TimelineTest$2,org.qap.timelineviewtest.TimelineTest$2,L197,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\org\qap\timelineviewtest\TimelineTest.java,97,97,103,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
