ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ApplicationTest,me.originqiu.library.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\me\originqiu\library\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L149,EditTag,me.originqiu.library.EditTag,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\originqiu\library\EditTag.java,44,1,350,2,0,0,0,0,0,0,0,0,1,5,5,59,3,3,2,3,24,0.142857,0.0503876,13,7,2,12,0.0839416,23,0,0,0,0,0,245,291,12,2,12,2,21,0,13,4,21,141,0,13,4,251,307,12,2,12,2,23,0,15,4,23,141,0,15,4,0,0,54,5,5,5,0,2,0,4,0,1,47,0,1,0,0,1,0,0,3
L164,FlowLayout,me.originqiu.library.FlowLayout,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\originqiu\library\FlowLayout.java,18,1,148,2,0,0,0,0,0,0,0,0,3,3,3,16,0,1,1,0,6,0.2,0.0630631,7,7,1,4,0.0630631,7,0,0,0,0,0,104,131,2,0,2,0,6,0,4,0,6,80,0,4,0,104,131,2,0,2,0,6,0,4,0,6,80,0,4,0,0,0,16,0,5,1,0,2,1,0,0,2,15,0,0,0,0,0,0,0,0
L532,MEditText,me.originqiu.library.MEditText,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\originqiu\library\MEditText.java,15,1,62,2,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,5,0.2,0.210526,4,4,1,4,0.204545,9,0,0,0,0,0,15,19,0,0,0,0,4,0,4,0,4,4,0,4,0,35,48,0,0,0,0,7,0,7,0,7,10,0,7,0,0,0,18,1,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0
L581,ExampleUnitTest,me.originqiu.library.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\me\originqiu\library\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L609,ApplicationTest,me.originqiu.edittag.ApplicationTest,L588,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\androidTest\java\me\originqiu\edittag\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L612,MainActivity,me.originqiu.edittag.MainActivity,L588,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\me\originqiu\edittag\MainActivity.java,15,1,65,2,0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,6,8,0.0,0.0344828,1,0,0,2,0.0243902,1,0,0,0,0,0,28,39,3,0,3,0,2,0,1,0,2,15,0,1,0,40,51,3,0,3,0,4,0,3,0,4,19,0,3,0,0,0,17,1,1,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
L652,ExampleUnitTest,me.originqiu.edittag.ExampleUnitTest,L588,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\test\java\me\originqiu\edittag\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L553,MEditText$ZanyInputConnection,me.originqiu.library.MEditText$ZanyInputConnection,L532,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\originqiu\library\MEditText.java,33,5,61,6,0,0,0,0,0,0,0,0,1,1,1,8,0,1,1,0,3,0.0,0.2,5,0,0,4,0.2,5,0,0,0,0,0,20,29,0,0,0,0,3,0,3,0,3,6,0,3,0,20,29,0,0,0,0,3,0,3,0,3,6,0,3,0,0,0,7,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
L630,MainActivity$1,me.originqiu.edittag.MainActivity$1,L619,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\me\originqiu\edittag\MainActivity.java,38,68,47,10,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,10,10,0,0,0,0,1,0,1,0,1,3,0,1,0,10,10,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L638,MainActivity$2,me.originqiu.edittag.MainActivity$2,L619,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\me\originqiu\edittag\MainActivity.java,48,76,53,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
