ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L593,ApplicationTest,com.ragnarok.rxcamera.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\androidTest\java\com\ragnarok\rxcamera\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L207,RxCamera,com.ragnarok.rxcamera.RxCamera,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\ragnarok\rxcamera\RxCamera.java,22,1,263,2,0.413355,2,6,4,0.22314,0.357616,54,54,9,0,0,22,5,47,43,14,36,0.681818,0.451613,70,70,15,7,0.316742,70,0,0,0,0,0,85,176,3,4,3,4,22,0,21,0,22,26,0,21,0,151,242,3,4,3,4,32,0,31,0,32,54,0,31,0,0,0,163,1,4,1,91,0,1,0,0,3,68,0,0,0,0,1,0,0,3
L474,RxCameraData,com.ragnarok.rxcamera.RxCameraData,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\ragnarok\rxcamera\RxCameraData.java,10,1,29,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,20,0,0,0,1.0,0.761905,16,16,1,0,0.761905,16,0,0,0,0,0,5,20,3,0,3,0,0,3,0,0,0,0,3,0,0,5,20,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
L1376,RxCameraInternal,com.ragnarok.rxcamera.RxCameraInternal,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\ragnarok\rxcamera\RxCameraInternal.java,27,1,491,2,0.0,0,0,0,0.0,0.0,0,0,1,4,3,95,10,7,17,14,40,0.0416667,0.0456731,19,9,1,23,0.0456731,19,1,1,0,0,1,397,465,23,4,23,4,26,0,23,2,26,245,0,23,2,397,465,23,4,23,4,26,0,23,2,26,245,0,23,2,0,0,65,14,12,1,0,1,0,2,0,17,55,0,2,0,0,5,0,0,8
L1533,SurfaceCallback,com.ragnarok.rxcamera.SurfaceCallback,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\ragnarok\rxcamera\SurfaceCallback.java,11,15,71,2,0.0,0,0,0,0.0,0.0,0,0,4,1,1,12,1,1,3,2,12,0.0909091,0.0869565,4,4,1,10,0.08,4,0,0,0,0,0,42,57,1,0,1,0,10,0,10,1,10,10,0,10,1,46,61,1,0,1,0,12,0,12,1,12,10,0,12,1,0,0,31,0,4,0,0,1,1,0,0,0,30,3,0,0,0,0,0,0,0
L155,ApplicationTest,com.ragnarok.rxcamera.example.ApplicationTest,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\androidTest\java\com\ragnarok\rxcamera\example\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L169,MainActivity,com.ragnarok.rxcamera.example.MainActivity,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\ragnarok\rxcamera\example\MainActivity.java,48,1,471,2,0.274256,5,34,10,0.320755,0.33244,136,124,2,2,2,52,7,20,24,19,40,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,207,239,9,0,9,0,21,0,3,0,21,91,0,3,0,373,424,9,0,9,0,54,0,36,0,54,144,0,36,0,0,1,341,4,8,2,153,0,7,1,1,4,174,6,0,0,0,1,0,0,5
L586,ExampleUnitTest,com.ragnarok.rxcamera.example.ExampleUnitTest,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\test\java\com\ragnarok\rxcamera\example\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L599,RxCameraActionBuilder,com.ragnarok.rxcamera.action.RxCameraActionBuilder,L596,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\ragnarok\rxcamera\action\RxCameraActionBuilder.java,19,1,161,2,0.0,0,0,0,0.0,0.0,0,0,5,1,1,10,1,9,6,0,6,0.428571,0.288889,13,13,3,4,0.0935252,13,0,0,0,0,0,32,49,1,0,1,0,6,0,6,0,6,10,0,6,0,126,143,1,0,1,0,12,0,12,0,12,66,0,12,0,0,0,43,2,1,2,0,0,1,0,0,1,42,0,0,0,0,0,0,0,0
L722,CameraUtil,com.ragnarok.rxcamera.config.CameraUtil,L718,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\ragnarok\rxcamera\config\CameraUtil.java,18,1,228,2,0.116279,1,8,2,0.123223,0.139037,26,26,2,3,3,46,0,3,5,0,15,0.0769231,0.0260417,5,4,1,12,0.0260417,5,0,0,0,0,0,187,211,4,5,4,5,15,0,12,0,15,136,0,12,0,187,211,4,5,4,5,15,0,12,0,15,136,0,12,0,0,0,48,3,5,3,14,3,1,0,0,0,33,0,0,0,0,2,0,0,0
