ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L126,CircularListAdapter,com.mobsandgeeks.adapters.CircularListAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\CircularListAdapter.java,31,1,124,2,0,0,0,0,0,0,0,0,1,1,1,15,0,1,1,0,14,0.133333,0.158537,13,13,2,13,0.158537,13,0,0,0,0,0,69,94,4,7,4,7,14,0,14,0,14,20,0,14,0,69,94,4,7,4,7,14,0,14,0,14,20,0,14,0,0,0,30,0,3,0,0,2,0,0,0,1,29,0,0,0,0,0,0,0,1
L231,InstantAdapter<T extends Object>,com.mobsandgeeks.adapters.InstantAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\InstantAdapter.java,34,1,89,2,0,0,0,0,0,0,0,0,0,1,1,4,2,3,3,4,7,1.0,0.578947,33,33,4,0,0.578947,33,0,0,0,0,0,24,56,2,1,2,1,3,0,3,1,3,10,0,3,1,24,56,2,1,2,1,3,0,3,1,3,10,0,3,1,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
L246,InstantAdapterCore<T extends Object>,com.mobsandgeeks.adapters.InstantAdapterCore,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\InstantAdapterCore.java,48,1,442,2,0,0,0,0,0,0,0,0,1,4,4,66,4,2,7,9,29,1.0,0.229607,76,70,9,0,0.234463,83,0,0,0,0,0,255,377,13,2,13,2,20,0,8,1,20,154,0,8,1,271,395,17,2,17,2,22,0,8,1,22,158,0,8,1,0,0,34,3,26,3,0,17,0,2,0,9,30,0,0,0,0,0,0,0,2
L615,InstantCursorAdapter<T extends Object>,com.mobsandgeeks.adapters.InstantCursorAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\InstantCursorAdapter.java,32,1,87,2,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,4,9,1.0,0.62069,36,36,6,0,0.62069,36,0,0,0,0,0,22,56,1,1,1,1,5,0,5,1,5,6,0,5,1,22,56,1,1,1,1,5,0,5,1,5,6,0,5,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
L675,SimpleSectionAdapter<T extends Object>,com.mobsandgeeks.adapters.SimpleSectionAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\SimpleSectionAdapter.java,40,1,235,2,0,0,0,0,0,0,0,0,1,4,2,32,2,1,1,1,16,0.25,0.161677,27,26,3,9,0.158824,27,0,0,0,0,0,140,193,9,8,9,8,15,0,11,0,15,71,0,11,0,143,196,10,8,10,8,15,1,11,0,15,71,1,11,0,0,0,41,2,13,2,0,4,0,0,0,8,32,0,0,0,0,1,0,0,9
L395,InstantAdapterCore$Holder,com.mobsandgeeks.adapters.InstantAdapterCore$Holder,L246,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\InstantAdapterCore.java,208,5,216,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1.0,0.333333,4,4,1,0,0.333333,4,0,0,0,0,0,8,9,2,0,2,0,1,0,0,0,1,2,0,0,0,8,9,2,0,2,0,1,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
L341,InstantAdapterCore$Meta,com.mobsandgeeks.adapters.InstantAdapterCore$Meta,L246,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\InstantAdapterCore.java,221,5,229,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1.0,0.272727,3,3,1,0,0.272727,3,0,0,0,0,0,8,9,2,0,2,0,1,0,0,0,1,2,0,0,0,8,9,2,0,2,0,1,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
L736,SimpleSectionAdapter$SectionHolder,com.mobsandgeeks.adapters.SimpleSectionAdapter$SectionHolder,L675,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\com\mobsandgeeks\adapters\SimpleSectionAdapter.java,195,5,197,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,3,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
L821,Book,com.mobsandgeeks.adapters.samples.Book,L807,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\com\mobsandgeeks\adapters\samples\Book.java,5,1,42,2,0,0,0,0,0,0,0,0,0,0,0,7,1,6,2,0,7,0.0,0.0,0,0,0,8,0.0,0,0,0,0,0,0,30,38,3,3,3,3,7,0,7,3,7,9,0,7,3,30,38,3,3,3,3,7,0,7,3,7,9,0,7,3,0,3,17,0,2,0,0,1,0,0,0,1,17,0,3,0,0,0,0,0,0
L844,BooksDAO,com.mobsandgeeks.adapters.samples.BooksDAO,L807,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\com\mobsandgeeks\adapters\samples\BooksDAO.java,6,1,36,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,24,31,1,1,1,1,1,0,1,0,1,1,0,1,0,24,31,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,5,1,1,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
