ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L136,ExampleInstrumentedTest,com.itsronald.materialviewpagerindicatorsample.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\itsronald\materialviewpagerindicatorsample\ExampleInstrumentedTest.java,36,1,45,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L159,MainActivity,com.itsronald.materialviewpagerindicatorsample.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\itsronald\materialviewpagerindicatorsample\MainActivity.java,34,1,132,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,15,2,0,0,0,13,0.3,0.125,9,7,3,7,0.125,9,0,0,0,0,0,63,99,2,0,2,0,13,0,9,0,13,30,0,9,0,63,99,2,0,2,0,13,0,9,0,13,30,0,9,0,0,0,20,0,2,0,0,0,1,0,0,0,19,0,0,0,0,2,0,0,0
L253,PageFragment,com.itsronald.materialviewpagerindicatorsample.PageFragment,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\itsronald\materialviewpagerindicatorsample\PageFragment.java,38,1,86,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,0,2,2,0,4,0.4,0.354167,17,15,2,3,0.354167,17,0,0,0,0,0,31,49,2,0,2,0,4,0,4,0,4,13,0,4,0,31,49,2,0,2,0,4,0,4,0,4,13,0,4,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L210,SimpleJavaExampleActivity,com.itsronald.materialviewpagerindicatorsample.SimpleJavaExampleActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\itsronald\materialviewpagerindicatorsample\SimpleJavaExampleActivity.java,31,1,68,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,0,1,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,15,20,0,0,0,0,1,0,0,0,1,10,0,0,0,29,38,1,2,1,2,4,0,2,0,4,13,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
L184,SimpleXmlExampleActivity,com.itsronald.materialviewpagerindicatorsample.SimpleXmlExampleActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\itsronald\materialviewpagerindicatorsample\SimpleXmlExampleActivity.java,28,1,57,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,1,0,1,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,9,12,0,0,0,0,1,0,0,0,1,4,0,0,0,23,30,1,2,1,2,4,0,2,0,4,7,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
L321,ExampleUnitTest,com.itsronald.materialviewpagerindicatorsample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\itsronald\materialviewpagerindicatorsample\ExampleUnitTest.java,30,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L348,ExampleInstrumentedTest,com.itsronald.widget.ExampleInstrumentedTest,L325,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\material-viewpagerindicator\src\androidTest\java\com\itsronald\widget\ExampleInstrumentedTest.java,37,1,46,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L352,IndicatorDotPathView,com.itsronald.widget.IndicatorDotPathView,L325,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\material-viewpagerindicator\src\main\java\com\itsronald\widget\IndicatorDotPathView.java,59,1,546,2,0.0466491,1,2,1,0.0286885,0.0381232,14,13,1,1,1,31,4,5,3,7,26,1.0,0.174312,57,50,1,0,0.184211,77,0,0,0,0,0,270,387,12,3,12,3,19,0,0,3,19,156,0,0,3,341,488,20,5,12,3,29,0,7,4,41,193,0,7,6,0,0,77,1,24,3,8,21,2,0,0,1,65,0,0,0,0,0,0,0,2
L380,IndicatorDotView,com.itsronald.widget.IndicatorDotView,L325,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\material-viewpagerindicator\src\main\java\com\itsronald\widget\IndicatorDotView.java,46,1,265,2,0.312381,1,4,2,0.136364,0.222222,30,28,2,2,1,15,0,3,13,0,12,1.0,0.336957,62,54,1,0,0.329787,62,0,0,1,1,0,122,216,8,2,8,2,12,0,0,2,12,60,0,0,2,126,220,8,2,8,2,13,0,1,2,13,61,0,1,2,0,0,34,1,11,2,17,10,1,0,0,0,15,0,0,0,0,0,0,0,1
L297,ViewPagerIndicator,com.itsronald.widget.ViewPagerIndicator,L325,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\material-viewpagerindicator\src\main\java\com\itsronald\widget\ViewPagerIndicator.java,58,1,748,2,0.0376059,1,2,1,0.0202605,0.027957,14,13,1,3,2,90,4,3,3,8,41,0.75,0.218519,118,95,12,4,0.215852,128,0,0,0,0,0,422,631,20,8,20,8,33,0,15,5,33,242,0,15,5,465,691,21,8,21,8,40,0,22,5,40,255,0,22,5,0,0,77,0,15,4,8,7,1,0,0,0,62,0,2,0,0,2,0,0,6
