ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L126,DetailActivity,com.saulmm.openlibra.activities.DetailActivity,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\activities\DetailActivity.java,30,1,197,2,0,0,0,0,0,0,0,0,2,1,1,4,5,6,1,10,13,0.0,0.266667,20,12,0,2,0.162602,20,0,0,0,0,0,55,101,15,0,15,0,3,0,1,0,3,25,0,1,0,103,168,15,0,15,0,8,0,6,0,25,55,0,23,0,0,2,34,1,16,0,0,14,1,0,0,3,31,0,2,0,0,0,0,0,2
L323,MainActivity,com.saulmm.openlibra.activities.MainActivity,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\activities\MainActivity.java,12,1,30,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,14,19,0,0,0,0,1,0,0,0,1,9,0,0,0,14,19,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L329,BooksFragment,com.saulmm.openlibra.fragments.BooksFragment,L336,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\fragments\BooksFragment.java,41,1,197,2,0,0,0,0,0,0,0,0,2,0,0,4,6,5,1,5,9,0.0,0.0784314,4,1,0,3,0.0982143,11,0,0,0,0,0,47,70,11,0,11,0,4,1,2,1,4,16,1,2,1,101,157,13,0,13,0,8,3,6,1,8,50,3,6,1,0,0,42,5,7,4,0,2,1,0,0,6,31,0,0,0,0,0,0,0,10
L161,Book,com.saulmm.openlibra.models.Book,L527,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\models\Book.java,5,1,84,2,0,0,0,0,0,0,0,0,1,1,1,13,0,5,2,0,12,0.0,0.0,0,0,0,13,0.0,0,0,0,0,0,0,62,80,8,8,8,8,12,0,12,3,12,14,0,12,3,62,80,8,8,8,8,12,0,12,3,12,14,0,12,3,0,0,29,1,2,0,0,1,0,0,0,1,27,0,1,0,0,0,0,0,2
L446,BookList,com.saulmm.openlibra.models.BookList,L527,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\models\BookList.java,5,1,12,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,8,1,1,1,1,1,0,1,0,1,1,0,1,0,6,8,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,5,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L572,Api,com.saulmm.openlibra.network.Api,L569,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\network\Api.java,12,1,67,2,0,0,0,0,0,0,0,0,2,2,2,6,0,1,2,0,4,0.2,0.444444,20,3,1,4,0.444444,20,0,0,0,0,0,25,56,1,2,1,2,4,0,4,0,4,12,0,4,0,25,56,1,2,1,2,4,0,4,0,4,12,0,4,0,0,0,8,0,4,2,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0
L247,CustomAnimatorListener,com.saulmm.openlibra.other.CustomAnimatorListener,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\other\CustomAnimatorListener.java,5,1,25,2,0,0,0,0,0,0,0,0,4,0,0,4,0,5,2,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,3,3,0,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,12,0,4,0,0,0,1,0,0,0,11,4,0,0,0,0,0,0,0
L229,CustomTransitionListener,com.saulmm.openlibra.other.CustomTransitionListener,L609,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\other\CustomTransitionListener.java,8,1,34,2,0,0,0,0,0,0,0,0,5,0,0,5,0,2,1,0,5,0.166667,0.15,3,3,1,5,0.15,3,0,0,1,1,0,17,27,0,0,0,0,5,0,5,0,5,0,0,5,0,17,27,0,0,0,0,5,0,5,0,5,0,0,5,0,0,0,14,0,5,0,0,0,1,0,0,0,13,5,0,0,0,0,0,0,0
L755,Utils,com.saulmm.openlibra.views.Utils,L643,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\views\Utils.java,9,1,111,2,0,0,0,0,0,0,0,0,3,0,0,7,0,3,5,0,7,0.857143,0.588235,50,50,6,1,0.588235,50,0,0,0,0,0,35,103,2,0,2,0,7,2,6,0,7,13,2,6,0,35,103,2,0,2,0,7,2,6,0,7,13,2,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
L232,DetailActivity$1,com.saulmm.openlibra.activities.DetailActivity$1,L126,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\saulmm\openlibra\activities\DetailActivity.java,97,96,121,6,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,10,14,0,0,0,0,1,0,1,0,6,4,0,6,0,18,25,0,0,0,0,2,0,2,0,11,9,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
