ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L358,FloatingActionButton,com.shamanland.fab.FloatingActionButton,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\shamanland\fab\FloatingActionButton.java,63,1,373,2,0,0,0,0,0,0,0,0,1,4,4,54,0,0,0,0,23,0.444444,0.346535,105,103,8,10,0.346535,105,0,0,0,0,0,198,311,9,4,9,4,23,2,17,5,23,106,2,17,5,198,311,9,4,9,4,23,2,17,5,23,106,2,17,5,0,0,42,0,2,0,0,0,0,3,0,2,31,0,0,0,0,0,0,0,8
L547,ScrollDetector,com.shamanland.fab.ScrollDetector,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\shamanland\fab\ScrollDetector.java,13,1,87,2,0,0,0,0,0,0,0,0,1,2,1,13,0,1,3,0,8,0.5,0.230769,15,14,4,4,0.230769,15,0,0,1,1,0,50,75,5,1,5,1,8,0,7,1,8,21,0,7,1,50,75,5,1,5,1,8,0,7,1,8,21,0,7,1,0,1,13,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0
L285,ShowHideOnScroll,com.shamanland.fab.ShowHideOnScroll,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\main\java\com\shamanland\fab\ShowHideOnScroll.java,11,1,79,2,0,0,0,0,0,0,0,0,4,1,1,11,1,1,1,2,10,0.375,0.28125,18,16,3,5,0.28125,18,1,1,0,0,1,46,69,8,1,3,0,8,0,7,0,14,17,0,12,1,46,69,8,1,3,0,8,0,7,0,14,17,0,12,1,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
L664,FloatingActionButtonTest,com.shamanland.fab.FloatingActionButtonTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\lib\src\test\java\com\shamanland\fab\FloatingActionButtonTest.java,10,1,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,1,0,1,0,8,8,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,2,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0
L142,ExampleAdapter,com.shamanland.fab.example.ExampleAdapter,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shamanland\fab\example\ExampleAdapter.java,8,1,43,2,0,0,0,0,0,0,0,0,0,1,1,5,0,1,0,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,31,36,1,4,1,4,4,0,4,0,4,7,0,4,0,31,36,1,4,1,4,4,0,4,0,4,7,0,4,0,0,0,11,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L190,ExampleApplication,com.shamanland.fab.example.ExampleApplication,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shamanland\fab\example\ExampleApplication.java,5,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L197,ExampleDetailsActivity,com.shamanland.fab.example.ExampleDetailsActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shamanland\fab\example\ExampleDetailsActivity.java,9,1,34,2,0,0,0,0,0,0,0,0,2,2,2,5,0,1,0,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,22,26,0,0,0,0,2,0,1,0,2,10,0,1,0,22,26,0,0,0,0,2,0,1,0,2,10,0,1,0,0,0,8,1,1,1,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0
L243,ExampleListActivity,com.shamanland.fab.example.ExampleListActivity,L129,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shamanland\fab\example\ExampleListActivity.java,17,1,92,2,0,0,0,0,0,0,0,0,1,1,1,12,2,0,0,1,8,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,54,68,0,2,0,2,7,0,3,0,7,26,0,3,0,62,76,0,2,0,2,9,0,5,0,9,28,0,5,0,0,0,27,1,1,1,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0
L260,ExampleListActivity$1,com.shamanland.fab.example.ExampleListActivity$1,L245,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shamanland\fab\example\ExampleListActivity.java,27,59,32,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L300,ExampleListActivity$2,com.shamanland.fab.example.ExampleListActivity$2,L245,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\shamanland\fab\example\ExampleListActivity.java,37,79,42,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
