ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L313,MockApiInterceptor,com.shanbay.mock.MockApiInterceptor,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shanbay\mock\MockApiInterceptor.java,28,1,138,2,0,0,0,0,0,0,0,0,1,4,4,19,4,1,1,6,14,0.0,0.0434783,4,0,0,5,0.0434783,4,0,0,0,0,0,88,111,3,0,3,0,8,0,4,0,8,44,0,4,0,88,111,3,0,3,0,8,0,4,0,8,44,0,4,0,0,1,21,4,3,3,0,0,0,2,0,3,19,0,1,0,0,1,0,0,0
L323,MockApiSuite,com.shanbay.mock.MockApiSuite,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shanbay\mock\MockApiSuite.java,8,1,32,2,0,0,0,0,0,0,0,0,1,1,1,6,1,2,2,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,20,25,2,2,2,2,4,0,4,0,4,7,0,4,0,20,25,2,2,2,2,4,0,4,0,4,7,0,4,0,0,0,11,0,2,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
L503,HttpClient,com.shanbay.demo.HttpClient,L461,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\shanbay\demo\HttpClient.java,18,1,53,2,0,0,0,0,0,0,0,0,0,1,1,3,4,1,1,6,8,0.333333,0.193548,6,3,1,2,0.193548,6,0,0,0,0,0,25,36,3,2,3,2,2,1,2,0,2,10,1,2,0,25,36,3,2,3,2,2,1,2,0,2,10,1,2,0,0,0,11,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,4
L522,MainActivity,com.shanbay.demo.MainActivity,L461,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\shanbay\demo\MainActivity.java,13,1,33,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,14,17,0,0,0,0,1,0,0,0,1,4,0,0,0,18,21,0,0,0,0,2,0,1,0,2,5,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
L479,User,com.shanbay.demo.User,L461,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\shanbay\demo\User.java,6,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.0,0.5,3,3,1,0,0.5,3,0,0,0,0,0,3,3,1,0,1,0,0,1,0,0,0,0,1,0,0,3,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
L128,AbstractMockApi,com.shanbay.mock.api.AbstractMockApi,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shanbay\mock\api\AbstractMockApi.java,7,1,38,2,0,0,0,0,0,0,0,0,1,0,0,5,2,4,3,0,4,0.0,0.12,3,3,0,5,0.12,3,1,1,2,2,1,22,32,4,1,4,1,4,0,4,1,4,7,0,4,1,22,32,4,1,4,1,4,0,4,1,4,7,0,4,1,0,0,11,2,3,1,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0
L190,PageMockApi,com.shanbay.mock.api.PageMockApi,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shanbay\mock\api\PageMockApi.java,9,1,48,2,0,0,0,0,0,0,0,0,1,2,1,7,3,1,1,1,6,0.0,0.129032,4,4,0,6,0.129032,4,2,2,0,0,1,27,40,8,2,4,1,5,0,5,2,9,9,0,9,3,27,40,8,2,4,1,5,0,5,2,9,9,0,9,3,0,0,13,0,2,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
L245,StandardMockApi,com.shanbay.mock.api.StandardMockApi,L122,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shanbay\mock\api\StandardMockApi.java,7,1,44,2,0,0,0,0,0,0,0,0,0,1,1,6,3,2,2,1,6,0.0,0.1,3,3,0,6,0.1,3,2,2,0,0,1,27,38,7,2,3,1,5,0,5,3,9,10,0,9,4,27,38,7,2,3,1,5,0,5,3,9,10,0,9,4,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
L454,LogUtil,com.shanbay.mock.util.LogUtil,L451,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\shanbay\mock\util\LogUtil.java,8,1,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L482,UserApiService,com.shanbay.demo.api.UserApiService,L472,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\shanbay\demo\api\UserApiService.java,13,1,33,2,0,0,0,0,0,0,0,0,1,1,1,4,3,0,0,3,6,0.25,0.157895,3,3,1,3,0.157895,3,0,0,0,0,0,16,21,2,1,2,1,3,0,3,0,3,5,0,3,0,16,21,2,1,2,1,3,0,3,0,3,5,0,3,0,0,0,9,0,2,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0
