ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,PopupList,com.frank.popuplist.PopupList,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\PopupList.java,35,1,629,2,0.706481,7,33,7,0.50084,0.590164,298,288,1,5,3,82,2,9,5,2,47,0.1,0.0777778,35,32,4,36,0.0946197,51,0,0,0,0,0,415,497,46,20,46,20,45,13,39,16,45,221,13,39,16,488,595,46,23,46,23,58,13,52,18,60,252,13,54,18,0,1,285,0,3,0,133,0,0,1,0,1,129,2,1,0,0,0,0,0,22
L673,ApplicationTest,com.frank.popuplist.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\androidTest\java\com\frank\popuplist\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L687,PopupList,com.frank.popuplist.PopupList,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\main\java\com\frank\popuplist\PopupList.java,35,1,629,2,0.706481,7,33,7,0.50084,0.590164,298,288,1,5,3,82,2,4,3,2,47,0.121951,0.0777778,35,32,5,36,0.0946197,51,0,0,0,0,0,415,497,46,20,46,20,45,13,39,16,45,221,13,39,16,488,595,46,23,46,23,58,13,52,18,60,252,13,54,18,0,1,285,0,3,0,133,0,0,1,0,1,129,2,1,0,0,0,0,0,22
L944,ExampleUnitTest,com.frank.popuplist.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\test\java\com\frank\popuplist\ExampleUnitTest.java,10,1,15,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L958,MainActivity,com.frank.sample.MainActivity,L954,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\main\java\com\frank\sample\MainActivity.java,19,1,88,2,0.308157,1,2,2,0.342857,0.360656,24,22,1,1,1,3,2,0,0,1,3,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,37,44,5,1,5,1,2,0,0,0,2,22,0,0,0,61,70,5,1,5,1,8,0,6,0,8,28,0,6,0,0,0,75,2,2,0,42,0,2,0,0,4,31,0,0,0,0,0,0,0,0
L1047,SecondaryActivity,com.frank.sample.SecondaryActivity,L954,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\samples\src\main\java\com\frank\sample\SecondaryActivity.java,18,1,85,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,3,0,0,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,33,39,6,1,6,1,2,0,0,0,2,18,0,0,0,61,68,6,1,6,1,7,0,5,0,7,29,0,5,0,0,0,31,5,2,2,0,0,1,0,0,5,29,0,0,0,0,0,0,0,1
L283,PopupList$1,com.frank.popuplist.PopupList$1,L264,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\PopupList.java,123,67,130,10,1.0,1,4,1,1.0,1.0,8,8,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L315,PopupList$2,com.frank.popuplist.PopupList$2,L264,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\PopupList.java,132,110,145,14,1.0,1,4,1,1.0,1.0,14,14,1,1,1,3,2,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,1,0,1,7,0,1,0,14,14,0,0,0,0,1,0,1,0,1,7,0,1,0,0,0,16,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L341,PopupList$3,com.frank.popuplist.PopupList$3,L264,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\PopupList.java,147,79,159,14,1.0,1,4,1,1.0,1.0,13,13,1,1,1,3,2,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,1,0,1,6,0,1,0,13,13,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,16,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L430,PopupList$4,com.frank.popuplist.PopupList$4,L332,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\PopupList.java,225,72,233,18,1.0,1,23,1,1.0,1.0,9,9,1,1,1,2,2,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,9,9,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
