ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L360,JunitTestRunner,com.skydoves.preferenceroomdemo.JunitTestRunner,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\androidTest\java\com\skydoves\preferenceroomdemo\JunitTestRunner.java,23,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L386,PreferenceRoomApplication,com.skydoves.preferenceroomdemo.PreferenceRoomApplication,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\androidTest\java\com\skydoves\preferenceroomdemo\PreferenceRoomApplication.java,28,1,36,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0.5,0.384615,5,5,1,1,0.384615,5,0,0,0,0,0,8,9,0,0,0,0,1,0,1,0,1,3,0,1,0,8,9,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L201,LoginActivity,com.skydoves.preferenceroomdemo.LoginActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\skydoves\preferenceroomdemo\LoginActivity.java,31,1,71,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,3,0,0,1,0.0,0.0526316,1,1,0,1,0.027027,1,0,0,0,0,0,18,22,1,0,1,0,1,1,0,0,1,8,1,0,0,36,41,1,0,1,0,3,1,2,0,3,18,1,2,0,0,2,19,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4
L196,MainActivity,com.skydoves.preferenceroomdemo.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\skydoves\preferenceroomdemo\MainActivity.java,34,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,6,2,2,0,2,6,0.0,0.12,6,1,0,1,0.109091,6,0,0,0,0,0,44,60,1,0,1,0,4,1,0,1,4,25,1,0,1,49,65,1,0,1,0,5,1,1,1,5,27,1,1,1,0,0,20,1,2,1,0,0,0,0,0,0,16,0,0,0,0,2,0,0,4
L568,MyApplication,com.skydoves.preferenceroomdemo.MyApplication,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\skydoves\preferenceroomdemo\MyApplication.java,23,1,34,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.2,2,0,0,2,0.2,2,0,0,0,0,0,8,12,0,0,0,0,1,0,1,0,1,3,0,1,0,8,12,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L701,InjectorGenerator,com.skydoves.processor.InjectorGenerator,L683,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\preferenceroom-compiler\src\main\java\com\skydoves\processor\InjectorGenerator.java,36,1,118,2,0.120482,1,1,1,0.409639,0.12766,34,6,1,0,0,5,2,1,1,0,4,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,47,83,7,2,7,2,4,1,3,0,4,9,1,3,0,47,83,7,2,7,2,4,1,3,0,4,9,1,3,0,0,0,25,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,5
L763,PreferenceChangeListenerGenerator,com.skydoves.processor.PreferenceChangeListenerGenerator,L683,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\preferenceroom-compiler\src\main\java\com\skydoves\processor\PreferenceChangeListenerGenerator.java,32,1,82,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,7,3,1,1,1,8,0.0,0.0,0,0,0,6,0.0,0,0,0,0,0,0,42,51,3,4,3,4,7,2,5,0,7,8,2,5,0,42,51,3,4,3,4,7,2,5,0,7,8,2,5,0,0,1,21,0,1,0,0,1,0,0,0,0,17,0,1,0,0,0,0,0,4
L710,PreferenceComponentAnnotatedClass,com.skydoves.processor.PreferenceComponentAnnotatedClass,L683,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\preferenceroom-compiler\src\main\java\com\skydoves\processor\PreferenceComponentAnnotatedClass.java,35,1,112,2,0.121212,1,1,1,0.24359,0.136364,19,6,0,0,0,2,0,3,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,44,78,8,0,8,0,1,7,1,0,1,13,7,1,0,44,78,8,0,8,0,1,7,1,0,1,13,7,1,0,0,0,18,0,1,0,8,0,0,0,0,1,5,0,0,0,0,0,0,0,5
L854,PreferenceComponentGenerator,com.skydoves.processor.PreferenceComponentGenerator,L683,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\preferenceroom-compiler\src\main\java\com\skydoves\processor\PreferenceComponentGenerator.java,39,1,256,2,0.455056,4,6,6,0.522936,0.434783,114,60,1,0,0,17,3,1,1,1,18,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,138,218,9,15,9,15,17,0,2,0,17,32,0,2,0,138,218,9,15,9,15,17,0,2,0,17,32,0,2,0,0,0,82,2,0,1,41,0,0,0,0,0,37,0,1,0,0,0,0,0,4
L858,PreferenceEntityAnnotatedClass,com.skydoves.processor.PreferenceEntityAnnotatedClass,L683,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\preferenceroom-compiler\src\main\java\com\skydoves\processor\PreferenceEntityAnnotatedClass.java,40,1,196,2,0.123457,1,2,2,0.280255,0.157895,44,12,1,1,1,8,5,4,1,3,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,76,157,17,1,17,1,3,13,1,0,3,27,13,1,0,76,157,17,1,17,1,3,13,1,0,3,27,13,1,0,0,0,31,1,5,1,14,1,0,0,0,1,9,0,0,0,0,3,0,0,8
