ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L184,ApplicationTest,com.cocosw.favor.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\cocosw\favor\ApplicationTest.java,21,1,285,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,25,6,0,0,35,58,0.0526316,0.019802,4,3,1,18,0.018018,4,0,0,0,0,0,198,245,1,0,1,0,23,0,18,2,23,139,0,18,2,218,265,1,0,1,0,28,0,23,2,28,144,0,23,2,0,0,77,6,47,46,0,2,1,0,0,2,74,0,3,0,0,0,0,0,2
L417,Image,com.cocosw.favor.Image,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\cocosw\favor\Image.java,8,1,11,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.428571,3,3,1,0,0.428571,3,0,0,0,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
L221,FavorAdapter,com.cocosw.favor.FavorAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\FavorAdapter.java,19,1,143,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,12,3,4,9,2,8,1.0,0.116667,7,7,2,0,0.0740741,8,0,0,0,0,0,53,68,6,2,6,2,6,0,1,0,6,23,0,1,0,100,125,9,2,9,2,12,0,6,0,12,42,0,6,0,0,0,35,1,4,1,0,2,1,0,0,1,32,0,1,0,0,0,0,0,2
L511,MethodInfo,com.cocosw.favor.MethodInfo,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\MethodInfo.java,25,1,280,2,0.0,0,0,0,0.0,0.0,0,0,2,8,3,71,15,2,2,15,28,0.5,0.0555556,12,5,1,1,0.0519481,12,0,0,0,0,0,204,238,16,2,16,2,13,0,1,0,13,122,0,1,0,219,256,19,2,19,2,15,3,3,0,15,124,3,3,0,0,1,56,3,26,4,0,20,2,4,2,1,39,0,3,0,1,1,0,0,9
L673,Taste,com.cocosw.favor.Taste,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\Taste.java,24,1,240,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,0,17,14,0,6,1.0,0.137931,4,4,1,0,0.0225989,4,0,0,9,9,0,25,41,3,0,3,0,6,0,0,0,6,8,0,0,0,173,217,4,0,4,0,33,0,3,0,65,56,0,2,0,0,0,94,7,37,13,0,27,1,0,0,2,92,0,2,0,0,0,0,0,1
L1026,Types,com.cocosw.favor.Types,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\Types.java,35,1,432,2,0.0,0,0,0,0.0,0.0,0,0,5,9,5,73,3,6,25,3,16,0.5,0.174888,39,25,3,3,0.133721,46,0,0,0,0,0,184,261,1,3,1,3,13,0,5,0,13,138,0,5,0,298,398,7,9,7,9,31,0,23,0,31,193,0,23,0,0,3,80,0,24,5,0,19,4,7,0,3,68,0,0,0,0,0,0,0,1
L1206,BoolTasteTest,com.cocosw.favor.BoolTasteTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\BoolTasteTest.java,15,1,53,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,0,0,3,6,0.25,0.25,8,3,1,3,0.25,8,0,0,0,0,0,24,39,4,0,4,0,3,0,3,0,3,9,0,3,0,24,39,4,0,4,0,3,0,3,0,3,9,0,3,0,0,1,3,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
L1222,DummyTaste,com.cocosw.favor.DummyTaste,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\DummyTaste.java,8,1,33,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,5,1,1,3,1,6,0.333333,0.130435,3,3,1,2,0.130435,3,1,1,0,0,1,20,26,4,1,1,1,5,0,2,1,9,5,0,2,1,20,26,4,1,1,1,5,0,2,1,9,5,0,2,1,0,0,14,0,4,1,0,2,1,0,0,0,13,0,1,0,0,0,0,0,0
L1236,FloatTasteTest,com.cocosw.favor.FloatTasteTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\FloatTasteTest.java,14,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,0,0,3,6,0.25,0.25,8,3,1,3,0.25,8,0,0,0,0,0,24,39,4,0,4,0,3,0,3,1,3,9,0,3,1,24,39,4,0,4,0,3,0,3,1,3,9,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1252,IntTasteTest,com.cocosw.favor.IntTasteTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\IntTasteTest.java,14,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,0,0,3,6,0.25,0.25,8,3,1,3,0.25,8,0,0,0,0,0,24,39,4,0,4,0,3,0,3,1,3,9,0,3,1,24,39,4,0,4,0,3,0,3,1,3,9,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1268,LongTasteTest,com.cocosw.favor.LongTasteTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\LongTasteTest.java,14,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,0,0,3,6,0.25,0.25,8,3,1,3,0.25,8,0,0,0,0,0,24,39,4,0,4,0,3,0,3,1,3,9,0,3,1,24,39,4,0,4,0,3,0,3,1,3,9,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L1284,StringTasteTest,com.cocosw.favor.StringTasteTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\StringTasteTest.java,14,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,2,0,0,3,6,0.25,0.25,8,3,1,3,0.25,8,0,0,0,0,0,24,39,4,0,4,0,3,0,3,0,3,9,0,3,0,24,39,4,0,4,0,3,0,3,0,3,9,0,3,0,0,1,3,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
L1300,TasteTest,com.cocosw.favor.TasteTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\TasteTest.java,17,1,71,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,2,0,0,5,9,0.2,0.244444,11,3,1,4,0.244444,11,0,0,0,0,0,34,55,4,0,4,0,4,0,4,0,4,16,0,4,0,34,55,4,0,4,0,4,0,4,0,4,16,0,4,0,0,1,5,2,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0
L1319,TypesEqualsTest,com.cocosw.favor.TypesEqualsTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\TypesEqualsTest.java,24,1,208,2,0.119816,1,2,2,0.145946,0.108911,27,11,8,0,0,8,2,0,0,1,9,0.111111,0.282609,39,3,1,8,0.283688,40,0,0,0,0,0,99,183,0,0,0,0,8,0,8,0,8,69,0,8,0,101,185,0,0,0,0,8,0,8,0,8,69,0,8,0,0,0,20,1,6,7,12,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L1335,TypesTest,com.cocosw.favor.TypesTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\cocosw\favor\TypesTest.java,24,1,99,2,0.0,0,0,0,0.0,0.0,0,0,6,1,1,7,1,0,0,2,8,0.142857,0.265625,17,3,1,6,0.265625,17,0,0,0,0,0,47,76,0,0,0,0,6,0,6,0,6,22,0,6,0,47,76,0,0,0,0,6,0,6,0,6,22,0,6,0,0,0,4,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
L349,Wrong$FavorClz,com.cocosw.favor.Wrong$FavorClz,L299,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\cocosw\favor\Wrong.java,25,5,27,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L216,FavorAdapter$Builder,com.cocosw.favor.FavorAdapter$Builder,L221,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\FavorAdapter.java,84,5,107,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,4,1,1,6,1,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,19,24,2,0,2,0,4,0,4,0,4,7,0,4,0,19,24,2,0,2,0,4,0,4,0,4,7,0,4,0,0,0,11,0,2,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0
L581,FavorAdapter$FavorHandler,com.cocosw.favor.FavorAdapter$FavorHandler,L221,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\FavorAdapter.java,109,5,141,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,3,1,1,5,7,0.0,0.0344828,1,0,0,2,0.0344828,1,0,0,0,0,0,28,33,1,0,1,0,2,0,1,0,2,12,0,1,0,28,33,1,0,1,0,2,0,1,0,2,12,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L774,MethodInfo$SerializableAdapter<T extends Serializable>,com.cocosw.favor.MethodInfo$SerializableAdapter,L511,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\cocosw\favor\MethodInfo.java,267,5,279,6,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,1,0,3,5,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,10,13,0,0,0,0,2,0,2,0,2,2,0,2,0,10,13,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
