ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L123,App,com.spengilley.activityfragmentmvp.App,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\App.java,9,1,57,2,0,0,0,0,0,0,0,0,3,0,0,7,1,3,1,1,8,0.25,0.176471,6,6,2,6,0.176471,6,0,0,0,0,0,28,49,1,1,1,1,7,0,7,0,7,9,0,7,0,28,49,1,1,1,1,7,0,7,0,7,9,0,7,0,0,0,14,0,2,0,0,1,1,0,0,1,13,0,0,0,0,0,0,0,0
L173,AppModule,com.spengilley.activityfragmentmvp.AppModule,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\AppModule.java,10,1,29,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,17,20,1,0,1,0,2,0,1,0,2,2,0,1,0,17,20,1,0,1,0,2,0,1,0,2,2,0,1,0,0,0,7,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
L184,Modules,com.spengilley.activityfragmentmvp.Modules,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\Modules.java,4,1,17,2,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,3,0.0,0.1,1,0,0,1,0.1,1,0,0,0,0,0,9,14,0,0,0,0,2,0,0,0,2,1,0,0,0,9,14,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,5,0,2,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0
L197,BaseActivity,com.spengilley.activityfragmentmvp.ui.common.BaseActivity,L191,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\common\BaseActivity.java,13,1,37,2,0,0,0,0,0,0,0,0,1,0,0,4,1,2,2,1,5,0.0,0.0,0,0,0,2,0.0,0,0,0,1,1,0,18,25,1,1,1,1,4,0,1,0,4,6,0,1,0,18,25,1,1,1,1,4,0,1,0,4,6,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
L231,BaseFragment,com.spengilley.activityfragmentmvp.ui.common.BaseFragment,L191,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\common\BaseFragment.java,8,1,18,2,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,2,2,0,7,11,0,0,0,0,1,0,1,0,1,2,0,1,0,7,11,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L260,DetailsFragment,com.spengilley.activityfragmentmvp.ui.main.DetailsFragment,L253,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\main\DetailsFragment.java,19,1,92,2,0,0,0,0,0,0,0,0,5,0,0,8,4,4,1,2,10,0.111111,0.0784314,4,3,1,8,0.0677966,4,1,2,0,0,2,47,66,6,0,6,0,8,0,8,0,9,15,0,9,0,55,74,6,0,6,0,10,0,10,0,11,17,0,11,0,0,0,28,3,3,1,0,2,1,0,0,3,25,0,0,1,0,0,0,0,1
L357,IntroFragment,com.spengilley.activityfragmentmvp.ui.main.IntroFragment,L253,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\main\IntroFragment.java,18,1,79,2,0,0,0,0,0,0,0,0,5,0,0,7,4,3,1,2,9,0.125,0.170213,8,3,1,7,0.156863,8,1,2,0,0,2,39,58,4,0,4,0,7,0,7,0,8,11,0,8,0,43,62,4,0,4,0,8,0,8,0,9,12,0,9,0,0,0,20,2,2,0,0,2,1,0,0,2,18,0,0,1,0,0,0,0,0
L401,MainActivity,com.spengilley.activityfragmentmvp.ui.main.MainActivity,L253,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\main\MainActivity.java,18,1,68,2,0,0,0,0,0,0,0,0,4,0,0,5,7,2,0,4,9,0.5,0.166667,6,4,2,2,0.15,6,1,3,0,0,3,30,47,2,1,1,1,5,0,3,0,8,8,0,4,0,34,51,2,1,1,1,6,0,4,0,9,9,0,5,0,0,0,18,0,1,0,0,1,1,0,0,0,16,0,0,1,0,0,0,0,0
L443,MainModule,com.spengilley.activityfragmentmvp.ui.main.MainModule,L253,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\main\MainModule.java,17,1,73,2,0,0,0,0,0,0,0,0,4,0,0,5,11,1,1,3,8,0.666667,0.25,12,12,4,2,0.25,12,0,0,0,0,0,36,57,1,0,1,0,5,0,5,0,5,5,0,5,0,36,57,1,0,1,0,5,0,5,0,5,5,0,5,0,0,0,5,0,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0
L267,DetailsPresenterImpl,com.spengilley.activityfragmentmvp.ui.main.presenters.DetailsPresenterImpl,L492,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\spengilley\activityfragmentmvp\ui\main\presenters\DetailsPresenterImpl.java,8,1,31,2,0,0,0,0,0,0,0,0,1,0,0,4,2,4,4,2,6,0.0,0.0,0,0,0,5,0.0,0,2,2,0,0,1,19,24,1,1,1,1,4,0,4,0,4,4,0,4,0,19,24,1,1,1,1,4,0,4,0,4,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
