ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L3809,KotlinTypeUtils,router.KotlinTypeUtils,L3646,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\grouter-gradle-plugin\src\main\java\router\KotlinTypeUtils.java,6,1,100,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,8,0,4,4,0,1,0.0,0.0697674,6,0,0,2,0.0697674,6,0,0,0,0,0,80,95,2,1,2,1,1,0,1,0,1,22,0,1,0,80,95,2,1,2,1,1,0,1,0,1,22,0,1,0,0,0,5,4,1,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
L3819,ParserHelper,router.ParserHelper,L3646,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\grouter-gradle-plugin\src\main\java\router\ParserHelper.java,14,1,27,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,6,0,0,5,6,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,1,0,1,8,0,1,0,14,14,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,5,2,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
L3876,ComponentRouterJavaRouterSourceFileParserTest,router.ComponentRouterJavaRouterSourceFileParserTest,L3646,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\grouter-gradle-plugin\src\test\java\router\ComponentRouterJavaRouterSourceFileParserTest.java,18,1,55,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,3,0,0,2,5,0.0,0.0833333,2,0,0,4,0.0833333,2,0,0,0,0,0,22,38,1,0,1,0,3,0,3,0,3,11,0,3,0,22,38,1,0,1,0,3,0,3,0,3,11,0,3,0,0,0,10,6,4,6,0,2,1,0,0,1,9,0,1,0,0,0,0,0,0
L3883,DelegateKotlinSourceFileParserTest,router.DelegateKotlinSourceFileParserTest,L3646,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\grouter-gradle-plugin\src\test\java\router\DelegateKotlinSourceFileParserTest.java,14,1,31,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.333333,5,0,0,2,0.333333,5,0,0,0,0,0,10,18,0,0,0,0,1,0,1,0,1,5,0,1,0,10,18,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,1,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
L3887,RouterJavaRouterSourceFileParserTest,router.RouterJavaRouterSourceFileParserTest,L3646,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\grouter-gradle-plugin\src\test\java\router\RouterJavaRouterSourceFileParserTest.java,7,1,20,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.461538,6,0,0,2,0.461538,6,0,0,0,0,0,7,14,0,0,0,0,1,0,1,0,1,2,0,1,0,7,14,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,1,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
L3891,RouterKotlinRouterSourceFileParserTest,router.RouterKotlinRouterSourceFileParserTest,L3646,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\grouter-gradle-plugin\src\test\java\router\RouterKotlinRouterSourceFileParserTest.java,5,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.363636,4,0,0,2,0.363636,4,0,0,0,0,0,7,13,1,0,1,0,1,0,1,0,1,1,0,1,0,7,13,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,3,2,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
L582,GActivityCenter,com.grouter.GActivityCenter,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\base\src\main\router\com\grouter\GActivityCenter.java,7,1,286,2,0.0,0,0,0,0.0,0.0,0,0,21,0,0,21,22,2,2,21,42,0.0,0.0,0,0,0,22,0.0,0,0,0,0,0,0,67,88,0,0,0,0,21,0,21,0,21,21,0,21,0,226,280,10,42,0,0,55,0,34,0,895,68,4,769,21,0,0,237,0,1,1,0,0,2,0,1,0,179,0,0,0,0,0,0,0,55
L754,GComponentCenter,com.grouter.GComponentCenter,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\base\src\main\router\com\grouter\GComponentCenter.java,11,1,59,2,0.0,0,0,0,0.0,0.0,0,0,8,0,0,8,2,0,0,2,10,0.0,0.0,0,0,0,9,0.0,0,0,0,0,0,0,42,49,0,0,0,0,8,0,8,0,8,24,0,8,0,42,49,0,0,0,0,8,0,8,0,8,24,0,8,0,0,0,20,0,1,1,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0
L360,GDelegateCenter,com.grouter.GDelegateCenter,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\base\src\main\router\com\grouter\GDelegateCenter.java,18,1,229,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,5,3,0,0,5,10,0.0,0.0,0,0,0,6,0.284153,52,0,0,0,0,0,19,26,0,0,0,0,5,0,5,0,5,5,0,5,0,131,212,6,3,6,3,24,0,19,0,24,56,0,19,0,0,0,30,25,5,11,0,0,1,0,0,19,27,0,0,0,0,0,0,0,2
L894,GRouterInitializer,com.grouter.GRouterInitializer,L105,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\base\src\main\router\com\grouter\GRouterInitializer.java,7,1,63,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,43,57,15,11,3,0,1,0,1,0,34,4,1,28,1,43,57,15,11,3,0,1,0,1,0,34,4,1,28,1,0,0,7,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2
