ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ApplicationTest,io.techery.properratingbarsample.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\io\techery\properratingbarsample\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
L147,MainActivity,io.techery.properratingbarsample.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\techery\properratingbarsample\MainActivity.java,16,1,76,2,0,0,0,0,0,0,0,0,2,1,1,8,2,1,0,7,12,0.0,0.0416667,2,0,0,1,0.037037,2,0,0,0,0,0,46,55,6,1,6,1,5,0,0,1,5,17,0,0,1,52,61,6,1,6,1,6,0,1,1,6,18,0,1,1,0,0,20,0,12,0,0,10,1,0,0,2,18,0,0,0,0,0,0,0,1
L225,ExampleUnitTest,io.techery.properratingbarsample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\io\techery\customratingbar\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L157,ProperRatingBar,io.techery.properratingbar.ProperRatingBar,L232,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\io\techery\properratingbar\ProperRatingBar.java,45,1,352,2,0,0,0,0,0,0,0,0,2,1,1,39,3,6,8,3,27,0.642857,0.272727,66,57,9,5,0.226027,66,0,0,0,0,0,176,252,24,3,24,3,24,0,13,4,24,89,0,13,4,226,308,27,3,27,3,33,1,20,4,33,107,1,20,4,0,0,82,0,13,1,0,8,2,0,0,2,68,0,0,0,0,2,0,0,12
L216,MainActivity$1,io.techery.properratingbarsample.MainActivity$1,L147,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\techery\properratingbarsample\MainActivity.java,68,66,75,6,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,8,8,0,0,0,0,1,0,1,0,1,1,0,1,0,8,8,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L408,ProperRatingBar$1,io.techery.properratingbar.ProperRatingBar$1,L157,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\io\techery\properratingbar\ProperRatingBar.java,161,79,169,6,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,5,0,1,0,9,9,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L461,ProperRatingBar$SavedState,io.techery.properratingbar.ProperRatingBar$SavedState,L157,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\io\techery\properratingbar\ProperRatingBar.java,240,5,271,6,0,0,0,0,0,0,0,0,1,0,0,4,0,2,2,0,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,20,25,3,0,3,0,3,1,1,0,3,7,1,1,0,26,32,3,0,3,0,5,1,3,0,5,9,1,3,0,0,0,21,0,2,0,0,2,1,0,0,0,16,0,0,0,0,0,0,0,4
L424,ProperRatingBar$2,io.techery.properratingbar.ProperRatingBar$2,L358,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\io\techery\properratingbar\ProperRatingBar.java,172,42,183,10,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,3,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,12,12,0,0,0,0,1,0,1,0,1,3,0,1,0,12,12,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L514,ProperRatingBar$SavedState$1,io.techery.properratingbar.ProperRatingBar$SavedState$1,L461,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\io\techery\properratingbar\ProperRatingBar.java,262,107,270,10,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L531,ProperRatingBar$3,io.techery.properratingbar.ProperRatingBar$3,L526,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\io\techery\properratingbar\ProperRatingBar.java,290,42,295,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
