ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ProgressHintDelegate,io.techery.progresshint.ProgressHintDelegate,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\techery\progresshint\ProgressHintDelegate.java,32,1,354,2,0,0,0,0,0,0,0,0,1,2,1,46,4,11,13,4,35,0.0454545,0.0366492,7,3,1,21,0.0488722,13,0,0,2,2,0,184,247,19,8,19,8,31,3,21,7,31,92,3,21,7,253,323,21,11,21,11,45,3,33,9,45,124,3,33,9,0,0,137,0,21,0,0,19,1,0,0,2,119,0,0,0,0,0,0,0,17
L717,App,com.example.progresshint.App,L706,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\example\progresshint\App.java,5,1,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,2,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0
L727,MainActivity,com.example.progresshint.MainActivity,L706,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\example\progresshint\MainActivity.java,18,1,66,2,0,0,0,0,0,0,0,0,2,1,1,7,4,0,0,3,6,0.0,0.0243902,1,0,0,3,0.0227273,1,0,0,0,0,0,40,46,1,0,1,0,3,0,2,0,3,19,0,2,0,43,49,1,1,1,1,4,0,3,0,4,20,0,3,0,0,0,15,1,2,1,0,2,1,0,0,0,14,0,0,0,0,0,0,0,0
L768,ScrollActivity,com.example.progresshint.ScrollActivity,L706,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\sample\src\main\java\com\example\progresshint\ScrollActivity.java,10,1,30,2,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,2,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,17,21,3,0,3,0,1,0,0,0,1,9,0,0,0,17,21,3,0,3,0,1,0,0,0,1,9,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
L134,HorizontalProgressHintDelegate,io.techery.progresshint.addition.HorizontalProgressHintDelegate,L121,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library-addition\src\main\java\io\techery\progresshint\addition\HorizontalProgressHintDelegate.java,11,1,53,2,0,0,0,0,0,0,0,0,1,0,0,8,2,1,0,3,10,0.333333,0.135135,5,3,1,2,0.135135,5,1,1,0,0,1,32,43,19,10,0,5,7,0,2,0,34,14,3,22,7,32,43,19,10,0,5,7,0,2,0,34,14,3,22,7,0,0,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3
L220,ProgressHintScrollController,io.techery.progresshint.addition.ProgressHintScrollController,L121,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library-addition\src\main\java\io\techery\progresshint\addition\ProgressHintScrollController.java,8,1,35,2,0,0,0,0,0,0,0,0,1,2,2,8,2,1,1,6,10,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,23,28,2,0,2,0,4,0,3,0,4,11,0,3,0,23,28,2,0,2,0,4,0,3,0,4,11,0,3,0,0,0,11,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
L271,VerticalProgressHintDelegate,io.techery.progresshint.addition.VerticalProgressHintDelegate,L121,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library-addition\src\main\java\io\techery\progresshint\addition\VerticalProgressHintDelegate.java,14,1,115,2,0,0,0,0,0,0,0,0,1,1,1,19,3,1,0,4,12,0.333333,0.0561798,5,3,1,2,0.0555556,5,1,1,0,0,1,84,101,22,11,3,6,8,0,2,0,35,43,3,22,7,85,102,22,11,3,6,8,0,2,0,35,43,3,22,7,0,0,26,1,4,0,0,4,0,0,0,0,22,0,1,0,0,0,0,0,4
L334,ViewUtil,io.techery.progresshint.addition.ViewUtil,L121,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library-addition\src\main\java\io\techery\progresshint\addition\ViewUtil.java,5,1,11,2,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,6,7,0,1,0,1,1,0,0,0,1,3,0,0,0,6,7,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
L567,ProgressHintDelegate$3,io.techery.progresshint.ProgressHintDelegate$3,L135,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\techery\progresshint\ProgressHintDelegate.java,142,67,153,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,1,0,1,5,0,1,0,12,12,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L425,ProgressHintDelegate$ProxyChangeListener,io.techery.progresshint.ProgressHintDelegate$ProxyChangeListener,L135,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\techery\progresshint\ProgressHintDelegate.java,259,3,290,4,0,0,0,0,0,0,0,0,1,1,1,11,0,1,3,0,5,0.25,0.103448,3,3,1,3,0.103448,3,0,0,0,0,0,26,32,2,0,2,0,5,0,3,2,5,14,0,3,2,26,32,2,0,2,0,5,0,3,2,5,14,0,3,2,0,0,13,0,6,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0
