ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L263,MrVector,com.telly.mrvector.MrVector,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\MrVector.java,32,1,113,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,11,4,3,4,5,10,0.666667,0.46875,30,29,4,2,0.384615,30,0,0,0,0,0,34,67,1,0,1,0,5,0,5,0,5,16,0,5,0,48,82,2,1,2,1,7,0,7,0,7,21,0,7,0,0,1,13,0,1,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
L334,PathParser,com.telly.mrvector.PathParser,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\PathParser.java,27,1,653,2,0.0536339,2,8,4,0.0637958,0.0811359,40,40,4,3,3,39,3,4,4,4,13,1.0,0.26087,48,41,6,0,0.190476,116,0,0,0,0,0,136,206,1,1,1,1,9,0,5,0,9,92,0,5,0,493,627,5,1,5,1,16,0,7,0,16,321,0,7,0,0,0,44,6,16,16,17,5,1,1,0,0,18,0,0,0,0,1,0,0,7
L539,Utils,com.telly.mrvector.Utils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\Utils.java,42,1,157,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,26,1,8,13,0,7,0.5,0.166667,17,16,1,1,0.166667,17,0,0,0,0,0,85,116,7,2,7,2,7,0,1,0,7,44,0,1,0,85,116,7,2,7,2,7,0,1,0,7,44,0,1,0,0,0,15,1,16,0,0,16,1,0,0,1,13,0,0,0,0,0,0,0,1
L685,VectorDrawable,com.telly.mrvector.VectorDrawable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\VectorDrawable.java,186,1,1588,2,0.0457371,2,16,4,0.0342124,0.0426321,48,46,2,6,4,93,7,5,5,31,61,0.0952381,0.316384,168,140,2,19,0.189331,252,0,0,0,0,0,363,483,17,8,17,8,30,0,20,6,30,203,0,20,6,1079,1403,76,37,76,33,120,0,83,24,138,541,0,101,26,0,2,310,4,88,7,23,61,4,6,0,2,238,2,5,0,0,17,0,0,39
L308,MrResources,android.content.res.MrResources,L1409,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\android\content\res\MrResources.java,27,1,93,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,10,1,1,1,1,9,0.142857,0.258621,15,15,1,6,0.258621,15,0,0,0,0,0,43,67,1,4,1,4,8,0,6,0,8,15,0,6,0,43,67,1,4,1,4,8,0,6,0,8,15,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
L136,BaseActivity,com.telly.mrvector.demo.BaseActivity,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\telly\mrvector\demo\BaseActivity.java,30,1,63,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,5,0,2,2,0,4,0.0,0.0,0,0,0,3,0.0,0,0,0,2,2,0,29,34,1,0,1,0,4,0,2,0,4,13,0,2,0,29,34,1,0,1,0,4,0,2,0,4,13,0,2,0,0,0,12,0,3,0,0,2,1,0,0,0,11,0,0,0,0,1,0,0,0
L199,BasicInflateActivity,com.telly.mrvector.demo.BasicInflateActivity,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\telly\mrvector\demo\BasicInflateActivity.java,27,1,60,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,2,0,0,2,5,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,30,34,5,0,4,0,3,0,1,0,7,12,0,3,0,30,34,5,0,4,0,3,0,1,0,7,12,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
L246,InflateFromLayoutActivity,com.telly.mrvector.demo.InflateFromLayoutActivity,L124,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\demo\src\main\java\com\telly\mrvector\demo\InflateFromLayoutActivity.java,24,1,50,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,2,0,0,2,5,0.0,0.0833333,2,0,0,2,0.0833333,2,1,1,0,0,1,22,27,1,0,0,0,3,0,1,0,7,5,0,3,0,22,27,1,0,0,0,3,0,1,0,7,5,0,3,0,0,1,8,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0
L299,MrVector$MrResourcesContext,com.telly.mrvector.MrVector$MrResourcesContext,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\MrVector.java,83,3,97,4,0.0,0,0,0,0.0,0.0,0,0,0,1,1,4,1,1,1,2,4,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,14,15,1,1,1,1,2,0,2,0,2,5,0,2,0,14,15,1,1,1,1,2,0,2,0,2,5,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L425,PathParser$ExtractFloatResult,com.telly.mrvector.PathParser$ExtractFloatResult,L334,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\PathParser.java,145,3,150,4,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.333333,2,2,0,1,0.333333,2,0,0,0,0,0,4,6,2,0,2,0,0,0,0,0,0,0,0,0,0,4,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
L356,PathParser$PathDataNode,com.telly.mrvector.PathParser$PathDataNode,L334,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\PathParser.java,238,3,652,4,0.0711707,2,8,4,0.0963855,0.113314,40,40,1,3,3,72,2,2,4,1,8,1.0,0.157518,66,34,3,0,0.157518,66,0,0,0,0,0,353,415,2,0,2,0,7,0,2,0,7,229,0,2,0,353,415,2,0,2,0,7,0,2,0,7,229,0,2,0,0,0,33,3,7,9,15,1,0,1,0,0,10,0,0,0,0,0,0,0,7
L701,VectorDrawable$VectorDrawableState,com.telly.mrvector.VectorDrawable$VectorDrawableState,L685,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\VectorDrawable.java,654,3,803,4,0.0,0,0,0,0.0,0.0,0,0,4,2,2,36,3,1,5,6,22,0.125,0.0615385,8,5,2,14,0.0615385,8,0,0,0,0,0,122,150,14,2,14,2,16,0,15,0,16,49,0,15,0,122,150,14,2,14,2,16,0,15,0,16,49,0,15,0,0,0,38,0,18,0,0,15,1,0,0,2,35,0,0,0,0,1,0,0,2
L837,VectorDrawable$VPathRenderer,com.telly.mrvector.VectorDrawable$VPathRenderer,L685,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\VectorDrawable.java,805,3,1045,4,0.0,0,0,0,0.0,0.0,0,0,1,4,3,39,4,2,14,9,22,0.1,0.146919,31,18,1,9,0.146919,31,0,0,0,0,0,180,241,16,2,16,2,13,0,9,2,13,114,0,9,2,180,241,16,2,16,2,13,0,9,2,13,114,0,9,2,0,0,28,1,15,2,0,8,0,1,0,0,21,0,1,0,0,5,0,0,6
L920,VectorDrawable$VGroup,com.telly.mrvector.VectorDrawable$VGroup,L685,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\VectorDrawable.java,1047,3,1269,4,0.0,0,0,0,0.0,0.0,0,0,1,4,3,38,4,2,6,3,26,0.0454545,0.09375,18,7,1,21,0.09375,18,0,0,0,0,0,174,223,13,9,13,9,23,0,21,7,23,84,0,21,7,174,223,13,9,13,9,23,0,21,7,23,84,0,21,7,0,0,54,1,10,2,0,2,0,0,0,0,47,1,0,0,0,6,0,0,7
L1123,VectorDrawable$VPath,com.telly.mrvector.VectorDrawable$VPath,L685,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\VectorDrawable.java,1274,3,1326,4,0.0,0,0,0,0.0,0.0,0,0,4,1,1,11,2,5,8,4,13,0.2,0.12766,6,4,2,8,0.12766,6,0,0,2,2,0,41,53,3,2,3,2,9,0,9,1,9,13,0,9,1,41,53,3,2,3,2,9,0,9,1,9,13,0,9,1,0,0,20,0,5,1,0,2,1,0,0,0,19,1,0,0,0,1,0,0,0
L952,VectorDrawable$VClipPath,com.telly.mrvector.VectorDrawable$VClipPath,L685,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\telly\mrvector\VectorDrawable.java,1331,3,1367,4,0.0,0,0,0,0.0,0.0,0,0,2,1,1,7,3,2,2,4,9,0.2,0.176471,6,3,1,4,0.176471,6,1,1,0,0,1,28,37,3,2,0,0,5,0,4,0,14,13,0,13,1,28,37,3,2,0,0,5,0,4,0,14,13,0,13,1,0,0,12,0,1,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0
