ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L166,Event<T extends Object>,com.trello.navi2.Event,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\main\java\com\trello\navi2\Event.java,49,1,289,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,1,27,2,0,5,0.2,0.603352,108,108,1,4,0.521127,111,0,0,0,0,0,71,204,31,0,31,0,5,29,4,0,5,15,29,4,0,102,241,60,0,60,0,5,58,4,0,5,15,58,4,0,0,0,30,0,3,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,16
L1376,AddRemoveTest,com.trello.navi2.AddRemoveTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\AddRemoveTest.java,28,1,78,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,5,3,0,0,4,9,0.5,0.0666667,3,3,3,3,0.0666667,3,0,0,0,0,0,42,51,1,0,1,0,5,1,5,0,5,29,1,5,0,42,51,1,0,1,0,5,1,5,0,5,29,1,5,0,0,0,18,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,4
L1394,AllEventTest,com.trello.navi2.AllEventTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\AllEventTest.java,31,1,84,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,4,0,0,6,11,0.5,0.0731707,3,3,3,3,0.0731707,3,0,0,0,0,0,38,54,2,0,2,0,5,0,5,1,5,22,0,5,1,38,54,2,0,2,0,5,0,5,1,5,22,0,5,1,0,0,13,0,1,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0
L1411,ConcurrencyTest,com.trello.navi2.ConcurrencyTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\ConcurrencyTest.java,30,1,158,2,0.588665,3,7,7,0.48062,0.557895,62,53,1,0,0,7,4,8,0,3,10,0.875,0.154762,13,13,7,1,0.12037,13,0,0,0,0,0,71,105,1,0,1,0,7,0,7,0,7,46,0,7,0,95,129,1,0,1,0,15,0,15,0,15,54,0,15,0,0,0,141,0,0,0,84,0,0,0,0,0,57,0,0,0,0,0,0,0,0
L1475,EventHandlingTest,com.trello.navi2.EventHandlingTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\EventHandlingTest.java,26,1,53,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,4,4,0,0,3,7,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,23,28,1,0,1,0,4,1,4,0,4,12,1,4,0,23,28,1,0,1,0,4,1,4,0,4,12,1,4,0,0,0,16,0,8,8,0,0,1,0,0,0,11,0,0,0,0,0,0,0,4
L1484,NaviActivityTest,com.trello.navi2.NaviActivityTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\NaviActivityTest.java,36,1,370,2,0.880314,5,21,21,0.808955,0.877395,271,229,1,0,0,28,6,0,0,27,55,0.0344828,0.00381679,1,1,1,28,0.00381679,1,0,0,0,0,0,261,335,2,0,2,0,28,1,28,0,28,201,1,28,0,261,335,2,0,2,0,28,1,28,0,28,201,1,28,0,0,0,194,0,0,0,128,0,0,0,0,0,59,0,0,0,0,0,0,0,7
L1536,NaviFragmentTest,com.trello.navi2.NaviFragmentTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\NaviFragmentTest.java,37,1,337,2,0.690512,5,16,16,0.644518,0.69869,194,160,1,0,0,29,7,0,0,25,54,0.0333333,0.00434783,1,1,1,29,0.00434783,1,0,0,0,0,0,229,301,2,0,2,0,29,1,29,0,29,167,1,29,0,229,301,2,0,2,0,29,1,29,0,29,167,1,29,0,0,0,165,0,0,0,97,0,0,0,0,0,61,0,0,0,0,0,0,0,7
L1578,NullBundleTest,com.trello.navi2.NullBundleTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\NullBundleTest.java,25,1,74,2,0.0,0,0,0,0.0,0.0,0,0,6,0,0,6,3,0,0,9,15,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,44,50,0,0,0,0,6,0,6,0,6,30,0,6,0,44,50,0,0,0,0,6,0,6,0,6,30,0,6,0,0,0,16,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0
L1586,TestUtils,com.trello.navi2.TestUtils,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\test\java\com\trello\navi2\TestUtils.java,21,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,2,0,2,4,0,1,0.5,0.0666667,1,1,1,1,0.0666667,1,0,0,0,0,0,14,18,0,0,0,0,1,0,1,1,1,8,0,1,1,14,18,0,0,0,0,1,0,1,1,1,8,0,1,1,0,0,5,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
L141,NaviActivity,com.trello.navi2.component.NaviActivity,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\navi\src\main\java\com\trello\navi2\component\NaviActivity.java,31,1,152,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,24,4,0,0,25,49,0.0,0.0,0,0,0,13,0.0,0,1,1,0,0,1,97,122,1,0,1,0,24,0,12,0,24,45,0,12,0,97,122,1,0,1,0,24,0,12,0,24,45,0,12,0,0,0,52,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,1
