ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L288,ExtraBooleanTest,onactivityresult.ExtraBooleanTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraBooleanTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L315,ExtraByteTest,onactivityresult.ExtraByteTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraByteTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L321,ExtraCharTest,onactivityresult.ExtraCharTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraCharTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L327,ExtraDoubleTest,onactivityresult.ExtraDoubleTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraDoubleTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L333,ExtraFloatTest,onactivityresult.ExtraFloatTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraFloatTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L339,ExtraIntTest,onactivityresult.ExtraIntTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraIntTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L345,ExtraLongTest,onactivityresult.ExtraLongTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraLongTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L351,ExtraShortTest,onactivityresult.ExtraShortTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraShortTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L357,ExtraStringTest,onactivityresult.ExtraStringTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraStringTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
L363,ExtraTest,onactivityresult.ExtraTest,L104,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\onactivityresult-annotations\src\test\java\onactivityresult\ExtraTest.java,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,1,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,13,14,0,0,0,0,2,0,2,0,2,5,0,2,0,0,0,8,0,2,2,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
