ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L250,ArrowAlignmentHelper,com.venmo.view.ArrowAlignmentHelper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\venmo\view\ArrowAlignmentHelper.java,6,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,9,2,2,2,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,31,33,0,0,0,0,1,0,1,0,1,18,0,1,0,31,33,0,0,0,0,1,0,1,0,1,18,0,1,0,0,0,5,1,1,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L301,BottomArrowLocation,com.venmo.view.BottomArrowLocation,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\venmo\view\BottomArrowLocation.java,11,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,0,9,10,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,18,22,0,0,0,0,1,0,1,0,1,12,0,1,0,18,22,0,0,0,0,1,0,1,0,1,12,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L262,TooltipView,com.venmo.view.TooltipView,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\venmo\view\TooltipView.java,19,1,210,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,35,4,5,5,2,33,0.0,0.0,0,0,0,24,0.0,0,0,0,0,0,0,160,192,12,10,12,10,31,0,23,14,31,67,0,23,14,160,192,12,10,12,10,31,0,23,14,31,67,0,23,14,0,0,73,0,5,0,0,4,0,0,0,1,65,0,0,0,0,0,0,0,8
L432,TopArrowLocation,com.venmo.view.TopArrowLocation,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\venmo\view\TopArrowLocation.java,11,1,33,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,0,9,10,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,18,23,0,0,0,0,1,0,1,0,1,12,0,1,0,18,23,0,0,0,0,1,0,1,0,1,12,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L508,"AbstractShadowViewAssert<S extends AbstractShadowViewAssert<S, A>, A extends ShadowView>",com.venmo.view.AbstractShadowViewAssert,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\venmo\view\AbstractShadowViewAssert.java,8,1,22,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,1,1,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,1,1,0,13,15,0,0,0,0,2,0,1,0,2,4,0,1,0,13,15,0,0,0,0,2,0,1,0,2,4,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L531,Assertions,com.venmo.view.Assertions,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\venmo\view\Assertions.java,6,1,11,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,1,1,1,2,0.5,0.166667,1,1,1,1,0.166667,1,0,0,0,0,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L535,ShadowViewAssert,com.venmo.view.ShadowViewAssert,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\venmo\view\ShadowViewAssert.java,5,1,9,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,5,5,0,0,0,0,1,0,1,0,3,1,0,2,0,5,5,0,0,0,0,1,0,1,0,3,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L546,TooltipViewTest,com.venmo.view.TooltipViewTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\com\venmo\view\TooltipViewTest.java,17,1,68,2,0.642202,1,2,2,0.538462,0.536585,28,22,1,0,0,2,2,0,0,10,12,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,41,52,1,0,1,0,2,0,1,0,2,29,0,1,0,41,52,1,0,1,0,2,0,1,0,2,29,0,1,0,0,0,19,0,1,1,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L155,ApplicationTest,com.venmo.view.tooltip.example.ApplicationTest,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\androidTest\java\com\venmo\view\tooltip\example\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L169,TooltipActivity,com.venmo.view.tooltip.example.TooltipActivity,L136,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\venmo\view\tooltip\example\TooltipActivity.java,9,1,36,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,4,0,0,0,0,3,0.0,0.166667,4,0,0,3,0.166667,4,0,0,0,0,0,20,28,0,0,0,0,3,0,2,0,3,8,0,2,0,20,28,0,0,0,0,3,0,2,0,3,8,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
