ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L255,ApplicationTest,com.wangjie.wavecompat.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\com\wangjie\wavecompat\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L258,WaveCompat,com.wangjie.wavecompat.WaveCompat,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\wangjie\wavecompat\WaveCompat.java,23,1,182,2,0.249489,1,2,2,0.15,0.189474,24,18,2,0,0,8,3,0,0,1,9,1.0,0.410256,48,44,6,0,0.335664,48,0,0,0,0,0,69,134,1,1,1,1,8,0,5,0,8,44,0,5,0,95,160,5,1,3,1,12,2,7,0,20,54,2,13,0,0,0,48,1,0,1,15,0,1,0,0,0,26,0,0,0,0,0,0,0,6
L325,WaveContainer,com.wangjie.wavecompat.WaveContainer,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\wangjie\wavecompat\WaveContainer.java,15,1,76,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,10,3,4,0,1,6,0.25,0.142857,7,5,1,3,0.122807,7,1,1,2,2,1,42,54,2,0,2,0,5,0,3,0,5,20,0,3,0,50,62,2,0,2,0,6,0,4,0,6,23,0,4,0,0,0,19,2,2,0,0,1,1,0,0,2,18,1,0,0,0,0,0,0,0
L215,WaveDrawable,com.wangjie.wavecompat.WaveDrawable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\wangjie\wavecompat\WaveDrawable.java,15,1,135,2,0.0,0,0,0,0.0,0.0,0,0,2,2,2,18,2,5,3,1,12,0.1,0.0537634,5,5,1,9,0.047619,5,1,1,0,0,1,88,109,12,1,12,0,11,0,9,6,14,41,0,12,8,100,121,12,1,12,0,13,0,11,6,16,46,0,14,8,0,0,39,0,14,0,0,11,1,0,0,2,35,0,1,0,0,0,0,0,3
L333,WaveDrawableBase,com.wangjie.wavecompat.WaveDrawableBase,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\wangjie\wavecompat\WaveDrawableBase.java,11,1,34,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,2,1,0,4,0.2,0.277778,5,5,1,4,0.227273,5,0,0,1,1,0,13,19,0,1,0,1,4,0,4,3,4,1,0,4,3,17,24,0,1,0,1,6,0,6,3,6,1,0,6,3,0,0,17,3,2,0,0,3,0,0,0,0,17,2,0,0,0,0,0,0,0
L238,WaveTouchHelper,com.wangjie.wavecompat.WaveTouchHelper,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\wangjie\wavecompat\WaveTouchHelper.java,13,1,51,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,9,1,1,1,1,4,0.25,0.135135,5,5,1,3,0.125,5,0,0,0,0,0,32,36,2,0,2,0,3,0,3,0,3,14,0,3,0,35,39,2,0,2,0,4,0,4,0,4,14,0,4,0,0,0,14,1,5,1,0,2,0,0,0,2,14,0,0,0,0,1,0,0,0
L149,ApplicationTest,com.wangjie.wavecompat.example.ApplicationTest,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\androidTest\java\com\wangjie\wavecompat\example\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L163,MainActivity,com.wangjie.wavecompat.example.MainActivity,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\wangjie\wavecompat\example\MainActivity.java,18,1,106,2,0.328076,1,6,2,0.314607,0.341463,28,28,3,1,1,10,5,0,0,4,8,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,82,89,5,0,5,0,4,0,2,0,4,26,0,2,0,82,89,5,0,5,0,4,0,2,0,4,26,0,2,0,0,0,24,0,1,0,12,0,1,0,0,0,11,0,0,0,0,1,0,0,0
L227,SecondWareTestActivity,com.wangjie.wavecompat.example.SecondWareTestActivity,L131,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\com\wangjie\wavecompat\example\SecondWareTestActivity.java,16,1,35,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,0,0,2,0.5,0.3,6,5,1,1,0.3,6,0,0,0,0,0,14,20,1,0,1,0,2,0,1,0,2,4,0,1,0,14,20,1,0,1,0,2,0,1,0,2,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L274,WaveCompat$IntentKey,com.wangjie.wavecompat.WaveCompat$IntentKey,L258,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\com\wangjie\wavecompat\WaveCompat.java,27,5,30,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
