ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L123,ContentAdapter,com.webianks.popupbubble.ContentAdapter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\webianks\popupbubble\ContentAdapter.java,14,1,62,2,0,0,0,0,0,0,0,0,2,0,0,4,2,1,0,2,6,0.2,0.12,3,3,1,4,0.09375,3,0,0,0,0,0,22,38,2,1,2,1,4,0,4,0,4,7,0,4,0,29,49,3,1,3,1,5,0,5,0,5,9,0,5,0,0,0,17,2,4,1,0,2,1,0,0,3,16,0,0,0,0,0,0,0,0
L134,DataClass,com.webianks.popupbubble.DataClass,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\webianks\popupbubble\DataClass.java,6,1,17,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,2,0.333333,0.25,3,3,1,2,0.25,3,0,0,0,0,0,9,12,1,1,1,1,2,0,2,1,2,2,0,2,1,9,12,1,1,1,1,2,0,2,1,2,2,0,2,1,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L210,MainActivity,com.webianks.popupbubble.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\webianks\popupbubble\MainActivity.java,18,1,101,2,0,0,0,0,0,0,0,0,1,1,1,4,4,2,1,3,6,1.0,0.162791,7,3,1,0,0.133333,8,0,0,0,0,0,36,64,5,0,5,0,3,0,0,1,3,21,0,0,1,52,84,5,0,5,0,5,0,2,1,5,32,0,2,1,0,0,18,1,1,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0
L288,AnimationUtils,com.webianks.library.AnimationUtils,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popup-bubble\src\main\java\com\webianks\library\AnimationUtils.java,15,1,51,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,0,2,1.0,0.111111,3,3,1,0,0.0857143,3,0,0,0,0,0,24,29,0,0,0,0,2,0,0,0,2,11,0,0,0,32,37,0,0,0,0,3,0,1,0,3,15,0,1,0,0,0,12,0,2,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0
L222,PopupBubble,com.webianks.library.PopupBubble,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popup-bubble\src\main\java\com\webianks\library\PopupBubble.java,42,1,335,2,0,0,0,0,0,0,0,0,2,4,4,38,3,4,3,4,25,0.4375,0.142857,30,22,7,9,0.132159,30,0,0,0,0,0,180,274,12,0,12,0,21,0,15,3,21,105,0,15,3,197,294,12,0,12,0,24,0,18,3,24,108,0,18,3,0,0,58,1,18,0,0,14,1,2,0,4,52,0,1,0,0,0,0,0,3
L372,RecyclerViewListener,com.webianks.library.RecyclerViewListener,L277,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popup-bubble\src\main\java\com\webianks\library\RecyclerViewListener.java,24,1,75,2,0,0,0,0,0,0,0,0,2,2,2,11,1,1,1,1,5,0.25,0.375,21,16,1,3,0.375,21,0,0,0,0,0,35,52,1,0,1,0,4,0,3,0,4,16,0,3,0,35,52,1,0,1,0,4,0,3,0,4,16,0,3,0,0,0,10,1,4,1,0,3,1,0,0,1,9,0,0,0,0,0,0,0,0
L148,ContentAdapter$MyViewHolder,com.webianks.popupbubble.ContentAdapter$MyViewHolder,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\webianks\popupbubble\ContentAdapter.java,49,5,59,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,11,1,0,1,0,1,0,1,0,1,2,0,1,0,7,11,1,0,1,0,1,0,1,0,1,2,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
L244,MainActivity$1,com.webianks.popupbubble.MainActivity$1,L227,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\webianks\popupbubble\MainActivity.java,45,87,53,10,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,2,0.0,0.142857,1,0,0,2,0.142857,1,1,1,0,0,1,6,9,0,0,0,0,1,0,1,0,1,1,0,1,0,6,9,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L263,MainActivity$2,com.webianks.popupbubble.MainActivity$2,L247,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\webianks\popupbubble\MainActivity.java,67,44,81,10,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,14,15,0,0,0,0,1,0,1,0,1,10,0,1,0,14,15,0,0,0,0,1,0,1,0,1,10,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L330,AnimationUtils$1,com.webianks.library.AnimationUtils$1,L319,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\popup-bubble\src\main\java\com\webianks\library\AnimationUtils.java,37,58,46,10,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,10,10,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
