ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L143,MysqlDownloadAndExtract,com.wix.mysql.MysqlDownloadAndExtract,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql-download-and-extract\src\main\java\com\wix\mysql\MysqlDownloadAndExtract.java,11,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,6,0,0,7,9,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,14,16,0,0,0,0,2,0,1,0,2,8,0,1,0,14,16,0,0,0,0,2,0,1,0,2,8,0,1,0,0,0,7,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L1222,EmbeddedMysql,com.wix.mysql.EmbeddedMysql,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\EmbeddedMysql.java,23,1,178,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,19,17,2,9,24,38,0.0,0.0,0,0,0,12,0.0,0,0,0,0,0,0,90,114,5,2,5,2,14,0,11,0,14,38,0,11,0,124,156,8,2,8,2,20,0,17,0,20,52,0,17,0,0,0,49,1,7,1,0,2,1,0,2,4,46,0,0,0,1,0,0,0,0
L1288,MysqlClient,com.wix.mysql.MysqlClient,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\MysqlClient.java,20,1,98,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,12,7,1,6,7,11,0.0,0.0149254,1,0,0,3,0.0149254,1,0,0,0,0,0,66,79,4,0,4,0,4,0,2,0,4,31,0,2,0,66,79,4,0,4,0,4,0,2,0,4,31,0,2,0,0,0,11,1,3,0,0,3,0,0,0,1,11,0,0,0,0,0,0,0,0
L1232,MysqldExecutable,com.wix.mysql.MysqldExecutable,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\MysqldExecutable.java,15,1,44,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,3,4,2,2,5,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,25,30,2,1,2,1,3,0,0,0,3,7,0,0,0,25,30,2,1,2,1,3,0,0,0,3,7,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0
L585,MysqldProcess,com.wix.mysql.MysqldProcess,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\MysqldProcess.java,31,1,165,2,0.0,0,0,0,0.0,0.0,0,0,2,5,5,20,7,2,1,9,16,0.0,0.0714286,8,5,0,3,0.0714286,8,0,0,0,0,0,104,135,2,2,2,2,7,0,2,0,7,53,0,2,0,104,135,2,2,2,2,7,0,2,0,7,53,0,2,0,0,0,18,4,4,2,0,0,1,2,0,4,15,1,0,0,1,0,0,0,0
L190,MysqldStarter,com.wix.mysql.MysqldStarter,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\MysqldStarter.java,9,1,23,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,2,2,1,3,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,13,15,0,0,0,0,2,0,1,0,2,2,0,1,0,13,15,0,0,0,0,2,0,1,0,2,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
L336,PackagePaths,com.wix.mysql.PackagePaths,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\PackagePaths.java,15,1,51,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,11,2,1,0,2,5,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,34,37,0,3,0,3,3,0,3,0,3,13,0,3,0,34,37,0,3,0,3,3,0,3,0,3,13,0,3,0,0,1,9,1,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
L1635,ScriptResolver,com.wix.mysql.ScriptResolver,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\ScriptResolver.java,26,1,137,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,17,4,1,8,4,9,1.0,0.326316,31,31,5,0,0.31,31,0,0,0,0,0,64,107,0,0,0,0,5,0,4,0,5,40,0,4,0,69,112,0,0,0,0,6,0,4,0,6,41,0,4,0,0,0,9,3,2,0,0,2,0,0,0,2,9,0,1,0,0,0,0,0,0
L1729,Sources,com.wix.mysql.Sources,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\main\java\com\wix\mysql\Sources.java,11,1,71,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,3,4,2,3,3,6,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,11,19,0,0,0,0,3,0,3,0,3,3,0,3,0,46,61,3,0,3,0,9,0,6,0,9,12,0,6,0,0,0,31,0,4,1,0,3,1,0,0,0,30,0,0,0,0,0,0,0,0
L1863,JavaUsageExamplesTest,com.wix.mysql.JavaUsageExamplesTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\wix-embedded-mysql\src\test\scala\com\wix\mysql\JavaUsageExamplesTest.java,23,1,147,2,0.15674,1,2,2,0.16,0.168675,20,14,8,0,0,8,12,0,0,24,32,0.0,0.17,17,0,0,9,0.17,17,0,0,0,0,0,83,125,0,0,0,0,8,0,8,0,8,23,0,8,0,83,125,0,0,0,0,8,0,8,0,8,23,0,8,0,0,0,38,10,0,8,15,0,1,0,3,0,19,0,2,0,0,0,0,0,0
