ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L135,ExampleInstrumentedTest,com.k.neleme.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\k\neleme\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L318,BaseActivity,com.k.neleme.BaseActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\BaseActivity.java,11,1,43,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,6,0,6,4,0,6,0.0,0.0,0,0,0,5,0.0,0,0,0,3,3,0,26,33,1,1,1,1,6,0,4,0,6,9,0,4,0,26,33,1,1,1,1,6,0,4,0,6,9,0,4,0,0,0,16,1,2,0,0,1,1,0,0,1,15,1,0,0,0,0,0,0,0
L1066,MainActivity,com.k.neleme.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\MainActivity.java,47,1,286,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,25,11,7,1,18,31,0.0,0.0519481,8,0,0,6,0.0410959,9,1,2,0,0,2,146,171,10,1,9,1,13,5,5,0,18,88,5,9,0,210,240,13,4,12,4,19,5,10,0,24,119,5,14,0,0,3,58,3,8,4,0,1,0,2,1,3,48,0,4,1,0,2,0,0,6
L1229,MyApp,com.k.neleme.MyApp,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\MyApp.java,9,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,1,0,1,3,0,1,0,8,9,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L1799,ExampleUnitTest,com.k.neleme.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\k\neleme\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L164,CarAdapter,com.k.neleme.adapters.CarAdapter,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\adapters\CarAdapter.java,15,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,2,2,5,7,0.0,0.0625,1,0,0,2,0.0625,1,0,0,0,0,0,15,18,1,0,1,0,2,0,1,0,2,5,0,1,0,15,18,1,0,1,0,2,0,1,0,2,5,0,1,0,0,0,7,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
L205,CommentAdapter,com.k.neleme.adapters.CommentAdapter,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\adapters\CommentAdapter.java,13,1,23,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,1,1,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,11,0,0,0,0,2,0,1,0,2,1,0,1,0,8,11,0,0,0,0,2,0,1,0,2,1,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
L217,FoodAdapter,com.k.neleme.adapters.FoodAdapter,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\adapters\FoodAdapter.java,16,1,59,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,3,3,1,6,8,0.0,0.025,1,0,0,2,0.025,1,0,0,0,0,0,39,44,5,0,5,0,2,3,1,0,2,13,3,1,0,39,44,5,0,5,0,2,3,1,0,2,13,3,1,0,0,0,11,0,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,4
L251,TypeAdapter,com.k.neleme.adapters.TypeAdapter,L158,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\adapters\TypeAdapter.java,18,1,109,2,0.0,0,0,0,0.0,0.0,0,0,2,3,2,21,1,6,5,1,7,0.0,0.0365854,3,0,0,5,0.0365854,3,0,0,0,0,0,79,92,5,0,5,0,6,1,4,2,6,41,1,4,2,79,92,5,0,5,0,6,1,4,2,6,41,1,4,2,0,0,20,4,1,3,0,0,1,0,0,1,15,0,1,0,0,0,0,0,4
L209,CommentBean,com.k.neleme.bean.CommentBean,L342,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\k\neleme\bean\CommentBean.java,4,1,23,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,3,0,0,4,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,16,20,2,2,2,2,4,0,4,2,4,4,0,4,2,16,20,2,2,2,2,4,0,4,2,4,4,0,4,2,0,0,11,0,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
