ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L313,ApplicationTest,io.github.codefalling.recyclerviewswipedismiss.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\io\github\codefalling\recyclerviewswipedismiss\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L218,SwipeDismissRecyclerViewTouchListener,io.github.codefalling.recyclerviewswipedismiss.SwipeDismissRecyclerViewTouchListener,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\github\codefalling\recyclerviewswipedismiss\SwipeDismissRecyclerViewTouchListener.java,38,1,548,2,0.347305,2,20,4,0.262231,0.287105,134,118,1,4,3,66,5,10,3,4,10,0.0,0.0670732,22,6,0,4,0.0653153,29,0,0,0,0,0,306,377,27,0,27,0,6,0,3,1,6,181,0,3,1,415,511,36,0,36,0,23,2,20,5,23,229,2,20,5,0,0,130,9,27,5,33,9,0,1,0,18,79,0,0,0,0,4,0,0,17
L149,ApplicationTest,io.github.codefalling.recyclerviewswipedismiss.sample.ApplicationTest,L130,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\io\github\codefalling\recyclerviewswipedismiss\sample\ApplicationTest.java,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L163,MainActivity,io.github.codefalling.recyclerviewswipedismiss.sample.MainActivity,L130,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\github\codefalling\recyclerviewswipedismiss\sample\MainActivity.java,19,1,147,2,0.322581,1,2,2,0.27907,0.323232,36,32,2,1,1,3,5,1,1,5,7,0.0,0.0425532,2,0,0,1,0.019802,2,0,0,0,0,0,45,64,0,0,0,0,2,0,0,0,2,24,0,0,0,99,129,2,1,2,1,12,2,10,0,12,44,2,10,0,0,0,98,0,3,0,42,3,4,0,0,0,42,0,0,0,0,0,0,0,10
L227,SwipeDismissRecyclerViewTouchListener$Builder,io.github.codefalling.recyclerviewswipedismiss.SwipeDismissRecyclerViewTouchListener$Builder,L218,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\github\codefalling\recyclerviewswipedismiss\SwipeDismissRecyclerViewTouchListener.java,458,5,499,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,4,2,1,1,7,0.0,0.0,0,0,0,7,0.0,0,0,0,0,0,0,33,42,7,0,7,0,6,0,6,4,6,12,0,6,4,33,42,7,0,7,0,6,0,6,4,6,12,0,6,4,0,0,16,0,5,0,0,0,0,0,0,2,15,0,0,0,0,3,0,0,1
L348,SwipeDismissRecyclerViewTouchListener$PendingDismissData,io.github.codefalling.recyclerviewswipedismiss.SwipeDismissRecyclerViewTouchListener$PendingDismissData,L218,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\github\codefalling\recyclerviewswipedismiss\SwipeDismissRecyclerViewTouchListener.java,501,5,515,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,2,1,0,2,0.0,0.0769231,1,0,0,3,0.0769231,1,0,0,0,0,0,12,15,2,0,2,0,2,2,2,0,2,3,2,2,0,12,15,2,0,2,0,2,2,2,0,2,3,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
L213,MainActivity$MyAdapter,io.github.codefalling.recyclerviewswipedismiss.sample.MainActivity$MyAdapter,L163,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\io\github\codefalling\recyclerviewswipedismiss\sample\MainActivity.java,111,5,145,6,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,1,3,1,1,5,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,0,21,27,1,1,1,1,4,1,4,0,4,7,1,4,0,28,35,2,1,2,1,5,2,5,0,5,9,2,5,0,0,0,25,0,1,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,8
L502,SwipeDismissRecyclerViewTouchListener$1,io.github.codefalling.recyclerviewswipedismiss.SwipeDismissRecyclerViewTouchListener$1,L417,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\github\codefalling\recyclerviewswipedismiss\SwipeDismissRecyclerViewTouchListener.java,232,76,237,34,1.0,1,5,1,1.0,1.0,6,6,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L514,SwipeDismissRecyclerViewTouchListener$2,io.github.codefalling.recyclerviewswipedismiss.SwipeDismissRecyclerViewTouchListener$2,L417,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\github\codefalling\recyclerviewswipedismiss\SwipeDismissRecyclerViewTouchListener.java,273,76,278,34,1.0,1,5,1,1.0,1.0,6,6,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,15,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L566,SwipeDismissRecyclerViewTouchListener$3,io.github.codefalling.recyclerviewswipedismiss.SwipeDismissRecyclerViewTouchListener$3,L510,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\io\github\codefalling\recyclerviewswipedismiss\SwipeDismissRecyclerViewTouchListener.java,382,60,427,10,0.0,0,0,0,0.0,0.0,0,0,1,3,3,6,3,0,0,1,2,0.0,0.15,6,0,0,2,0.15,6,0,0,0,0,0,34,46,0,0,0,0,1,0,1,0,1,25,0,1,0,34,46,0,0,0,0,1,0,1,0,1,25,0,1,0,0,0,5,0,4,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0
