ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,com.basemoudle.sample.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\basemoudle\sample\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L422,MainActivity,com.basemoudle.sample.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\MainActivity.java,12,1,51,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,7,3,0,0,1,6,0.0,0.0,0,0,0,5,0.0,0,1,1,0,0,1,32,40,12,2,2,2,5,0,4,0,25,10,9,4,4,32,40,12,2,2,2,5,0,4,0,25,10,9,4,4,0,0,16,3,3,1,0,0,1,0,0,2,13,2,0,0,0,1,0,0,2
L486,ExampleUnitTest,com.basemoudle.sample.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\basemoudle\sample\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L506,ExampleInstrumentedTest,com.xusangbo.basemodule.ExampleInstrumentedTest,L491,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\HeavenlyModule\src\androidTest\java\com\xusangbo\basemodule\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L510,ExampleUnitTest,com.xusangbo.basemodule.ExampleUnitTest,L491,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\HeavenlyModule\src\test\java\com\xusangbo\basemodule\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L160,MVCActivity,com.basemoudle.sample.activity.MVCActivity,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\activity\MVCActivity.java,12,1,32,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,4,3,1,0,0,4,0.25,0.166667,3,3,1,3,0.166667,3,1,1,0,0,1,15,21,10,2,0,2,4,0,3,0,24,1,9,3,4,15,21,10,2,0,2,4,0,3,0,24,1,9,3,4,0,0,14,0,3,0,0,0,1,0,0,0,11,3,0,0,0,0,0,0,2
L182,MVPActivity,com.basemoudle.sample.activity.MVPActivity,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\activity\MVPActivity.java,17,1,61,2,0.0,0,0,0,0.0,0.0,0,0,5,0,0,7,6,1,0,1,8,0.142857,0.09375,3,3,1,6,0.0833333,3,2,3,0,0,2,29,40,11,2,1,2,7,0,6,0,27,4,9,6,4,33,45,11,2,1,2,8,0,7,0,28,5,9,7,4,0,0,26,1,4,0,0,0,1,0,0,1,22,4,0,1,0,0,0,0,2
L245,Api,com.basemoudle.sample.api.Api,L239,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\api\Api.java,34,1,185,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,7,4,2,1,2,6,0.75,0.46789,51,47,3,1,0.363636,52,0,0,0,0,0,58,117,9,3,9,3,4,4,3,0,4,20,4,3,0,91,152,9,3,9,3,7,4,6,0,7,31,4,6,0,0,0,26,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6
L334,ApiConstants,com.basemoudle.sample.api.ApiConstants,L239,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\api\ApiConstants.java,19,1,64,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,3,1,1,0,0,1,0.5,0.560976,23,23,1,1,0.560976,23,0,0,0,0,0,18,46,1,1,1,1,1,1,1,0,1,9,1,1,0,18,46,1,1,1,1,1,1,1,0,1,9,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
L371,HostType,com.basemoudle.sample.api.HostType,L239,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\api\HostType.java,19,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.642857,9,9,0,1,0.642857,9,0,0,0,0,0,5,20,3,0,3,0,0,3,0,0,0,0,3,0,0,5,20,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
L379,AppApplication,com.basemoudle.sample.app.AppApplication,L376,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\app\AppApplication.java,11,1,18,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,2,3,0.5,0.363636,4,3,1,1,0.363636,4,1,1,0,0,1,7,8,1,2,0,0,1,0,1,0,6,2,0,5,0,7,8,1,2,0,0,1,0,1,0,6,2,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L364,User,com.basemoudle.sample.bean.User,L392,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\bean\User.java,7,1,8,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5,0,0,0,1.0,0.6,3,3,1,0,0.6,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L188,MVPModel,com.basemoudle.sample.model.MVPModel,L443,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\basemoudle\sample\model\MVPModel.java,15,1,20,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,7,1,0,3,4,0.5,0.333333,3,3,1,1,0.333333,3,2,2,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
