ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L271,ApplicationTest,me.shenfan.updateapp.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\androidTest\java\me\shenfan\updateapp\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L285,UpdateService,me.shenfan.updateapp.UpdateService,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\shenfan\updateapp\UpdateService.java,37,1,627,2,0,0,0,0,0,0,0,0,3,3,3,44,3,3,5,5,25,0.222222,0.0664207,18,14,2,7,0.0653846,34,0,0,0,0,0,253,310,39,4,39,4,20,10,8,1,20,132,10,8,1,486,591,49,13,49,13,47,10,29,10,47,258,10,29,10,0,4,121,5,22,5,0,14,1,1,0,6,99,0,4,0,0,2,0,0,20
L818,ExampleUnitTest,me.shenfan.updateapp.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\test\java\me\shenfan\updateapp\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L158,ApplicationTest,me.shenfan.updateapp.sample.ApplicationTest,L134,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\me\shenfan\updateapp\sample\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L172,MainActivity,me.shenfan.updateapp.sample.MainActivity,L134,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\shenfan\updateapp\sample\MainActivity.java,18,1,78,2,0,0,0,0,0,0,0,0,4,1,1,7,1,0,0,4,10,0.0,0.0851064,4,0,0,6,0.0769231,4,0,0,0,0,0,43,56,1,0,1,0,6,0,5,0,6,17,0,5,0,48,61,1,0,1,0,7,0,6,0,7,18,0,6,0,0,0,19,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0
L264,ExampleUnitTest,me.shenfan.updateapp.sample.ExampleUnitTest,L134,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\me\shenfan\updateapp\sample\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L327,UpdateService$LocalBinder,me.shenfan.updateapp.UpdateService$LocalBinder,L285,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\shenfan\updateapp\UpdateService.java,80,5,89,6,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,1.0,0.615385,8,8,2,0,0.615385,8,0,0,0,0,0,5,10,0,0,0,0,1,0,1,1,1,1,0,1,1,5,10,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L366,UpdateService$DownloadApk,me.shenfan.updateapp.UpdateService$DownloadApk,L285,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\shenfan\updateapp\UpdateService.java,350,5,475,6,0,0,0,0,0,0,0,0,1,3,3,23,1,1,1,6,11,0.0,0.018018,2,0,0,2,0.018018,2,0,0,0,0,0,109,126,1,0,1,0,5,0,1,0,5,67,0,1,0,109,126,1,0,1,0,5,0,1,0,5,67,0,1,0,0,1,15,4,5,4,0,2,0,1,0,2,13,0,1,0,0,1,0,0,1
L741,UpdateService$Builder,me.shenfan.updateapp.UpdateService$Builder,L285,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\library\src\main\java\me\shenfan\updateapp\UpdateService.java,481,5,625,6,0,0,0,0,0,0,0,0,1,1,1,28,1,1,3,0,21,0.05,0.048,6,3,1,19,0.048,6,0,0,0,0,0,119,145,9,9,9,9,21,0,19,8,21,58,0,19,8,119,145,9,9,9,9,21,0,19,8,21,58,0,19,8,0,2,52,1,2,1,0,0,0,0,0,3,45,0,1,0,0,0,0,0,7
L215,MainActivity$1,me.shenfan.updateapp.sample.MainActivity$1,L181,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\me\shenfan\updateapp\sample\MainActivity.java,31,59,37,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
