ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L138,ExampleInstrumentedTest,com.yanyusong.divideritemdecoration.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\androidTest\java\com\yanyusong\divideritemdecoration\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L161,GridLayoutManager1Activity,com.yanyusong.divideritemdecoration.GridLayoutManager1Activity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\main\java\com\yanyusong\divideritemdecoration\GridLayoutManager1Activity.java,25,1,119,2,0.409341,3,8,3,0.326316,0.371795,31,29,1,1,1,2,4,1,0,1,2,1.0,0.115385,3,3,1,0,0.037037,3,0,0,0,0,0,23,36,2,0,2,0,1,0,0,0,1,14,0,0,0,78,95,4,3,2,2,5,0,3,0,12,38,0,6,0,0,0,55,1,1,0,33,0,0,1,0,2,21,0,0,0,0,0,0,0,0
L250,GridLayoutManager2Activity,com.yanyusong.divideritemdecoration.GridLayoutManager2Activity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\main\java\com\yanyusong\divideritemdecoration\GridLayoutManager2Activity.java,25,1,94,2,0.593458,3,6,3,0.342857,0.411765,24,21,1,1,1,2,4,1,0,1,2,1.0,0.125,3,3,1,0,0.15,9,0,0,0,0,0,21,34,2,0,2,0,1,0,0,0,1,13,0,0,0,51,70,4,2,2,1,4,0,2,0,11,23,0,5,0,0,0,38,1,1,0,22,0,0,0,0,2,16,0,0,0,0,0,0,0,0
L276,GridLayoutManagerActivity,com.yanyusong.divideritemdecoration.GridLayoutManagerActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\main\java\com\yanyusong\divideritemdecoration\GridLayoutManagerActivity.java,25,1,92,2,0.850962,4,10,4,0.632353,0.686275,43,35,1,1,1,2,4,1,0,1,2,1.0,0.125,3,3,1,0,0.0892857,5,0,0,0,0,0,21,34,2,0,2,0,1,0,0,0,1,13,0,0,0,51,68,4,2,2,1,4,0,2,0,11,23,0,5,0,0,0,50,1,1,0,34,0,0,0,0,2,16,0,0,0,0,0,0,0,0
L299,LinearLayoutManagerActivity,com.yanyusong.divideritemdecoration.LinearLayoutManagerActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\main\java\com\yanyusong\divideritemdecoration\LinearLayoutManagerActivity.java,25,1,120,2,0.648903,3,19,6,0.489583,0.564103,47,44,1,1,1,2,4,1,0,1,2,1.0,0.130435,3,3,1,0,0.0487805,4,0,0,0,0,0,20,33,2,0,2,0,1,0,0,0,1,12,0,0,0,78,96,4,2,2,1,4,0,3,0,11,33,0,6,0,0,0,50,1,1,0,34,0,0,0,0,2,16,0,0,0,0,0,0,0,0
L322,MainActivity,com.yanyusong.divideritemdecoration.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\main\java\com\yanyusong\divideritemdecoration\MainActivity.java,8,1,37,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,6,4,0,0,0,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,26,30,0,0,0,0,2,0,1,0,2,12,0,1,0,26,30,0,0,0,0,2,0,1,0,2,12,0,1,0,0,0,8,0,4,0,0,4,1,0,0,0,7,0,0,0,0,0,0,0,0
L518,ExampleUnitTest,com.yanyusong.divideritemdecoration.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\app\src\test\java\com\yanyusong\divideritemdecoration\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L547,ExampleInstrumentedTest,com.yanyusong.y_divideritemdecoration.ExampleInstrumentedTest,L522,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\y_divideritemdecoration\src\androidTest\java\com\yanyusong\y_divideritemdecoration\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L551,Dp2Px,com.yanyusong.y_divideritemdecoration.Dp2Px,L522,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\y_divideritemdecoration\src\main\java\com\yanyusong\y_divideritemdecoration\Dp2Px.java,11,1,30,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,1,2,0,2,1.0,0.590909,13,12,2,0,0.590909,13,0,0,0,0,0,9,20,0,0,0,0,2,0,1,0,2,2,0,1,0,9,20,0,0,0,0,2,0,1,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L235,Y_Divider,com.yanyusong.y_divideritemdecoration.Y_Divider,L522,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\DividerItemDecoration\y_divideritemdecoration\src\main\java\com\yanyusong\y_divideritemdecoration\Y_Divider.java,7,1,53,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9,1,6,3,0,9,0.1,0.0769231,3,3,1,9,0.0769231,3,0,0,0,0,0,36,47,4,4,4,4,9,4,9,4,9,12,4,9,4,36,47,4,4,4,4,9,4,9,4,9,12,4,9,4,0,0,25,0,1,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,4
