ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L127,ApplicationTest,com.gospelware.liquildbutton.ApplicationTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\gospelware\liquildbutton\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L245,ExampleUnitTest,com.gospelware.liquildbutton.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\gospelware\liquildbutton\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L273,ApplicationTest,com.gospelware.liquidbutton.ApplicationTest,L252,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\androidTest\java\com\gospelware\liquidbutton\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L159,LiquidButton,com.gospelware.liquidbutton.LiquidButton,L252,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\main\java\com\gospelware\liquidbutton\LiquidButton.java,23,1,254,2,0,0,0,0,0,0,0,0,2,4,3,39,6,11,9,14,35,0.166667,0.0946746,16,12,2,10,0.0860215,16,0,0,0,0,0,153,214,10,1,10,1,21,0,11,3,21,78,0,11,3,170,232,10,1,10,1,25,0,15,3,25,84,0,15,3,0,0,64,0,3,1,0,0,1,0,0,0,60,0,2,0,0,0,0,0,3
L1009,ExampleUnitTest,com.gospelware.liquidbutton.ExampleUnitTest,L252,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\test\java\com\gospelware\liquidbutton\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L149,MainActivity,com.gospelware.liquildbutton.Example.MainActivity,L141,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\gospelware\liquildbutton\Example\MainActivity.java,17,1,85,2,0,0,0,0,0,0,0,0,1,0,0,4,2,3,0,4,8,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,37,52,5,0,5,0,4,0,0,0,4,11,0,0,0,53,69,5,0,5,0,8,0,4,0,8,15,0,4,0,0,0,29,0,7,0,0,7,1,0,0,0,28,0,0,0,0,0,0,0,0
L284,BaseController,com.gospelware.liquidbutton.controller.BaseController,L276,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\main\java\com\gospelware\liquidbutton\controller\BaseController.java,17,1,79,2,0,0,0,0,0,0,0,0,1,0,0,12,1,8,22,0,11,0.142857,0.0888889,4,4,1,6,0.08,4,0,0,2,5,0,41,58,5,4,5,4,11,0,6,2,11,14,0,6,2,46,63,5,4,5,4,12,0,7,2,12,16,0,7,2,0,0,30,0,7,0,0,6,0,0,0,1,30,0,0,0,0,0,0,0,0
L371,PourBaseController,com.gospelware.liquidbutton.controller.PourBaseController,L276,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\main\java\com\gospelware\liquidbutton\controller\PourBaseController.java,15,1,105,2,0,0,0,0,0,0,0,0,1,2,2,12,3,3,13,13,22,0.25,0.0405405,3,3,1,3,0.0405405,3,1,1,3,3,1,71,91,15,5,10,1,9,0,3,1,18,31,0,7,3,71,91,15,5,10,1,9,0,3,1,18,31,0,7,3,0,0,23,0,10,1,0,8,0,0,0,1,21,0,0,0,0,0,0,0,2
L488,PourFinishController,com.gospelware.liquidbutton.controller.PourFinishController,L276,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\main\java\com\gospelware\liquidbutton\controller\PourFinishController.java,14,1,74,2,0,0,0,0,0,0,0,0,2,2,2,11,2,1,1,6,14,0.2,0.0754717,4,3,1,4,0.0754717,4,2,2,0,0,1,49,61,19,6,4,1,8,0,4,1,24,22,0,10,4,49,61,19,6,4,1,8,0,4,1,24,22,0,10,4,0,0,21,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,1
L554,PourStartController,com.gospelware.liquidbutton.controller.PourStartController,L276,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\liquidButtonLib\src\main\java\com\gospelware\liquidbutton\controller\PourStartController.java,11,1,38,2,0,0,0,0,0,0,0,0,2,0,0,4,2,2,1,3,7,0.25,0.115385,3,3,1,3,0.115385,3,2,2,0,0,1,23,28,18,6,3,1,4,0,3,0,20,7,0,9,3,23,28,18,6,3,1,4,0,3,0,20,7,0,9,3,0,0,13,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1
