ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L452,BindingFragment,cn.nekocode.rxlifecycle.BindingFragment,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\BindingFragment.java,34,1,112,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,13,1,1,1,0,13,0.0714286,0.0441176,3,3,1,13,0.0441176,3,0,0,0,0,0,65,79,1,1,1,1,13,0,13,0,13,23,0,13,0,65,79,1,1,1,1,13,0,13,0,13,23,0,13,0,0,0,29,0,2,0,0,1,0,0,0,0,29,1,0,0,0,0,0,0,0
L528,RxLifecycle,cn.nekocode.rxlifecycle.RxLifecycle,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\RxLifecycle.java,43,1,112,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,15,7,1,6,7,19,0.0833333,0.0526316,3,3,1,11,0.0526316,3,0,0,0,0,0,54,70,2,0,2,0,12,0,11,0,12,22,0,11,0,54,70,2,0,2,0,12,0,11,0,12,22,0,11,0,0,0,27,0,1,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0
L133,MainActivity,cn.nekocode.rxlifecycle.sample.MainActivity,L123,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\example\src\main\java\cn\nekocode\rxlifecycle\sample\MainActivity.java,41,1,181,2,0.214162,1,2,2,0.170213,0.192,24,24,7,0,0,8,2,11,11,7,15,1.0,0.04,3,3,1,0,0.0234375,3,0,0,0,0,0,72,87,0,0,0,0,8,0,0,0,8,20,0,0,0,125,141,0,0,0,0,19,0,11,0,19,37,0,11,0,0,0,111,1,2,1,37,1,1,0,0,0,73,0,0,0,0,1,0,0,0
L274,BindingV4Fragment,cn.nekocode.rxlifecycle.compact.BindingV4Fragment,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle-compact\src\main\java\cn\nekocode\rxlifecycle\compact\BindingV4Fragment.java,33,1,110,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,13,1,1,1,0,13,0.0714286,0.0447761,3,3,1,13,0.0447761,3,0,0,0,0,0,64,78,1,1,1,1,13,0,13,0,13,23,0,13,0,64,78,1,1,1,1,13,0,13,0,13,23,0,13,0,0,0,29,0,2,0,0,1,0,0,0,0,29,1,0,0,0,0,0,0,0
L346,RxLifecycleCompact,cn.nekocode.rxlifecycle.compact.RxLifecycleCompact,L263,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle-compact\src\main\java\cn\nekocode\rxlifecycle\compact\RxLifecycleCompact.java,42,1,108,2,0.0,0,0,0,0.0,0.0,0,0,1,2,1,14,7,0,0,7,19,0.0833333,0.0555556,3,3,1,11,0.0555556,3,0,0,0,0,0,51,67,2,0,2,0,12,0,11,0,12,22,0,11,0,51,67,2,0,2,0,12,0,11,0,12,22,0,11,0,0,0,27,0,1,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0
L508,LifecycleEvent$COUNTER,cn.nekocode.rxlifecycle.LifecycleEvent$COUNTER,L209,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\LifecycleEvent.java,36,5,42,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,11,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,6,7,1,1,1,1,1,0,0,0,1,1,0,0,0,6,7,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,5,0,3,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0
L603,AbstractBindLifecycleTransformer,cn.nekocode.rxlifecycle.transformer.AbstractBindLifecycleTransformer,L595,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\transformer\AbstractBindLifecycleTransformer.java,30,1,59,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,11,10,0,2,1.0,0.142857,3,3,1,0,0.103448,3,0,0,5,5,0,18,22,2,0,2,0,2,0,0,0,2,3,0,0,0,26,30,2,0,2,0,4,0,2,0,4,5,0,2,0,0,0,16,0,2,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0
L421,BindLifecycleCompletableTransformer<T extends Object>,cn.nekocode.rxlifecycle.transformer.BindLifecycleCompletableTransformer,L595,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\transformer\BindLifecycleCompletableTransformer.java,32,1,100,2,0.595745,2,2,2,0.463768,0.5,32,27,1,0,0,2,3,2,2,2,4,0.333333,0.2,3,3,1,2,0.0526316,3,1,1,0,0,1,12,17,2,0,0,0,2,0,2,0,4,2,0,2,0,54,69,3,0,1,0,10,0,8,0,12,15,0,8,0,0,0,86,0,0,0,52,0,2,0,0,0,32,0,0,0,0,0,0,0,0
L399,BindLifecycleFlowableTransformer<T extends Object>,cn.nekocode.rxlifecycle.transformer.BindLifecycleFlowableTransformer,L595,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\transformer\BindLifecycleFlowableTransformer.java,42,1,150,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,3,2,2,2,4,0.333333,0.2,3,3,1,2,0.0344828,3,1,1,0,0,1,12,17,2,0,0,0,2,0,2,0,4,2,0,2,0,84,109,10,0,8,0,14,0,11,0,16,26,0,11,0,0,0,42,0,5,0,0,5,1,0,0,0,40,0,0,0,0,0,0,0,1
L445,BindLifecycleMaybeTransformer<T extends Object>,cn.nekocode.rxlifecycle.transformer.BindLifecycleMaybeTransformer,L595,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\rxlifecycle\src\main\java\cn\nekocode\rxlifecycle\transformer\BindLifecycleMaybeTransformer.java,33,1,107,2,0.658824,3,3,3,0.56,0.610169,42,36,1,0,0,2,3,2,2,2,4,0.333333,0.2,3,3,1,2,0.0483871,3,1,1,0,0,1,12,17,2,0,0,0,2,0,2,0,4,2,0,2,0,59,75,3,0,1,0,11,0,9,0,13,17,0,9,0,0,0,98,0,0,0,62,0,2,0,0,0,34,0,0,0,0,0,0,0,0
