ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L133,ExampleInstrumentedTest,com.zhuguohui.horizontalpage.ExampleInstrumentedTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\zhuguohui\horizontalpage\ExampleInstrumentedTest.java,17,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.428571,6,5,1,1,0.428571,6,0,0,0,0,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,8,10,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L308,MainActivity,com.zhuguohui.horizontalpage.MainActivity,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\MainActivity.java,21,1,147,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,12,6,3,1,7,14,0.0,0.0206186,2,0,0,3,0.0183486,2,1,1,0,0,1,95,115,14,0,14,0,7,0,2,0,7,51,0,2,0,107,127,14,0,14,0,10,0,5,0,10,54,0,5,0,0,0,35,2,23,2,0,14,1,0,0,1,32,0,0,0,0,8,0,0,2
L881,ExampleUnitTest,com.zhuguohui.horizontalpage.ExampleUnitTest,L106,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\zhuguohui\horizontalpage\ExampleUnitTest.java,12,1,17,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L160,MyAdapter,com.zhuguohui.horizontalpage.adapter.MyAdapter,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\adapter\MyAdapter.java,20,1,77,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,7,1,1,2,1,7,0.166667,0.0769231,3,3,1,5,0.06,3,0,0,0,0,0,36,46,3,1,3,1,6,0,5,1,6,16,0,5,1,47,58,4,1,4,1,8,0,7,1,8,19,0,7,1,0,0,26,0,4,0,0,1,1,0,0,1,25,0,0,0,0,2,0,0,0
L257,MyDrawable,com.zhuguohui.horizontalpage.adapter.MyDrawable,L156,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\adapter\MyDrawable.java,16,1,53,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,0,0,0,0,6,0.142857,0.09375,3,3,1,6,0.09375,3,0,0,0,0,0,29,38,1,1,1,1,6,0,6,3,6,9,0,6,3,29,38,1,1,1,1,6,0,6,3,6,9,0,6,3,0,0,15,0,1,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0
L426,DividerGridItemDecoration,com.zhuguohui.horizontalpage.view.DividerGridItemDecoration,L416,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\view\DividerGridItemDecoration.java,18,1,156,2,0.354597,2,4,2,0.223022,0.247863,31,29,1,4,3,26,0,0,0,0,8,0.166667,0.10687,14,3,1,5,0.10687,14,0,0,0,0,0,117,139,2,2,2,2,8,0,5,0,8,70,0,5,0,117,139,2,2,2,2,8,0,5,0,8,70,0,5,0,0,0,37,0,6,2,18,3,0,0,0,1,19,0,0,0,0,0,0,0,0
L380,DividerItemDecoration,com.zhuguohui.horizontalpage.view.DividerItemDecoration,L416,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\view\DividerItemDecoration.java,26,1,108,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,12,0,1,0,0,6,0.142857,0.0833333,6,5,1,6,0.0833333,6,0,0,0,0,0,66,83,5,1,5,1,6,2,6,1,6,38,2,6,1,66,83,5,1,5,1,6,2,6,1,6,38,2,6,1,0,0,19,1,3,1,0,2,0,0,0,1,15,0,0,0,0,0,0,0,4
L374,HorizontalPageLayoutManager,com.zhuguohui.horizontalpage.view.HorizontalPageLayoutManager,L416,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\view\HorizontalPageLayoutManager.java,15,1,230,2,0.0900662,1,3,1,0.0509259,0.0647059,11,11,4,4,4,38,1,1,1,0,16,0.0769231,0.0710383,13,3,1,12,0.0710383,13,1,1,0,0,1,170,216,13,2,13,2,16,0,12,0,16,105,0,12,0,170,216,13,2,13,2,16,0,12,0,16,105,0,12,0,0,0,48,0,41,5,8,25,1,2,0,1,35,0,0,0,0,10,0,0,2
L628,MyLayoutManager,com.zhuguohui.horizontalpage.view.MyLayoutManager,L416,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\view\MyLayoutManager.java,16,1,123,2,0.166667,1,3,1,0.101852,0.13253,11,11,3,2,2,16,0,0,0,0,5,0.2,0.0777778,7,3,1,4,0.0777778,7,0,0,0,0,0,83,108,3,0,3,0,5,0,4,0,5,60,0,4,0,83,108,3,0,3,0,5,0,4,0,5,60,0,4,0,0,0,23,0,8,0,9,5,1,0,0,1,13,0,0,0,0,2,0,0,0
L652,MyRecyclerView,com.zhuguohui.horizontalpage.view.MyRecyclerView,L416,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\zhuguohui\horizontalpage\view\MyRecyclerView.java,16,1,75,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,1,1,0,0,5,0.166667,0.102564,4,3,1,5,0.0740741,4,0,0,0,0,0,35,43,3,0,3,0,5,0,5,0,5,17,0,5,0,50,60,3,0,3,0,6,0,6,0,6,25,0,6,0,0,0,18,1,5,2,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0
