ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Runtime Rules,Security Rules,Size Metric Rules
L137,ApplicationTest,com.carpediem.homer.demo.ApplicationTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\androidTest\java\com\carpediem\homer\demo\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L151,MainActivity,com.carpediem.homer.demo.MainActivity,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\main\java\com\carpediem\homer\demo\MainActivity.java,6,1,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,0,0,1,2,0,0,0,7,8,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L167,ExampleUnitTest,com.carpediem.homer.demo.ExampleUnitTest,L107,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\app\src\test\java\com\carpediem\homer\demo\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L205,ApplicationTest,com.carpediem.homer.funswitch.ApplicationTest,L179,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\androidTest\java\com\carpediem\homer\funswitch\ApplicationTest.java,9,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.375,3,3,1,1,0.375,3,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
L208,FunSwitch,com.carpediem.homer.funswitch.FunSwitch,L179,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\main\java\com\carpediem\homer\funswitch\FunSwitch.java,23,1,406,2,0,0,0,0,0,0,0,0,2,3,2,50,1,1,0,1,28,0.0769231,0.0791139,25,5,1,12,0.0722543,25,0,0,0,0,0,291,348,28,1,28,1,27,0,12,1,27,175,0,12,1,321,384,30,1,30,1,33,1,18,1,33,183,1,18,1,0,3,92,12,10,8,0,1,2,0,0,9,78,0,4,0,0,3,0,0,12
L542,IOSSwitch,com.carpediem.homer.funswitch.IOSSwitch,L179,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\main\java\com\carpediem\homer\funswitch\IOSSwitch.java,20,1,255,2,0,0,0,0,0,0,0,0,2,4,2,39,1,0,0,0,15,0.166667,0.131222,29,3,1,5,0.129464,29,0,0,0,0,0,192,233,25,3,25,3,15,0,5,1,15,124,0,5,1,195,236,29,3,29,3,15,4,5,1,15,124,4,5,1,0,0,43,11,6,9,0,0,1,0,0,7,32,0,0,0,0,1,0,0,10
L676,SmileFace,com.carpediem.homer.funswitch.SmileFace,L179,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\main\java\com\carpediem\homer\funswitch\SmileFace.java,11,1,32,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0.25,0.166667,4,4,1,3,0.166667,4,0,0,0,0,0,20,22,6,0,6,0,3,0,3,2,3,6,0,3,2,20,22,6,0,6,0,3,0,3,2,3,6,0,3,2,0,0,10,12,4,6,0,0,0,0,0,10,9,0,0,0,0,0,0,0,1
L698,ExampleUnitTest,com.carpediem.homer.funswitch.ExampleUnitTest,L179,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\test\java\com\carpediem\homer\funswitch\ExampleUnitTest.java,10,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
L493,FunSwitch$SavedState,com.carpediem.homer.funswitch.FunSwitch$SavedState,L208,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\main\java\com\carpediem\homer\funswitch\FunSwitch.java,376,5,405,6,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,3,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,18,21,2,0,2,0,3,1,3,0,3,5,1,3,0,26,30,2,0,2,0,5,1,5,0,5,7,1,5,0,0,0,21,0,1,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,4
L464,FunSwitch$1,com.carpediem.homer.funswitch.FunSwitch$1,L451,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\main\java\com\carpediem\homer\funswitch\FunSwitch.java,310,85,317,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,1,0,1,1,0,1,0,6,8,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L533,FunSwitch$SavedState$1,com.carpediem.homer.funswitch.FunSwitch$SavedState$1,L493,L103,C:\Users\User\Desktop\sa_proj\temp_repo_dir3\funswitch\src\main\java\com\carpediem\homer\funswitch\FunSwitch.java,394,56,404,10,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,3,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,10,11,0,0,0,0,2,0,2,0,2,2,0,2,0,10,11,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
